Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,693.0,697.8,683.0,684.25,687.4858437146092,16777,1209,11533950.0,6511.0,38.81,14.8,-8.75
02-January-2014,689.8,698.25,670.0,672.85,686.2214137908018,14981,1291,10280283.0,3631.0,24.24,28.25,-16.95
03-January-2014,670.0,692.0,658.0,668.6,673.5703831252689,30199,1925,20341152.0,8155.0,27.0,34.0,-1.4
06-January-2014,670.0,677.8,664.1,669.75,670.1461538461538,13130,935,8799019.0,6767.0,51.54,13.7,-0.25
07-January-2014,670.0,680.0,655.55,662.0,666.0280624204676,14931,1087,9944465.0,7980.0,53.45,24.45,-8.0
08-January-2014,665.0,677.0,660.0,662.15,667.9303743525866,15253,1186,10187942.0,4443.0,29.13,17.0,-2.85
09-January-2014,668.05,675.9,660.0,660.75,667.2093723534392,10627,811,7090434.0,2953.0,27.79,15.9,-7.3
10-January-2014,663.7,671.0,650.0,653.2,659.6361569490281,13635,1160,8994139.0,5567.0,40.83,21.0,-10.5
13-January-2014,655.9,666.0,642.15,647.15,651.8299069627851,13328,970,8687589.0,5571.0,41.8,23.85,-8.75
14-January-2014,647.9,658.9,645.0,648.7,652.9037777564164,10403,742,6792158.0,2092.0,20.11,13.9,0.8
15-January-2014,651.0,661.0,637.1,647.6,648.8898040858112,21489,1294,13943993.0,10472.0,48.73,23.9,-3.4
16-January-2014,654.8,655.95,641.4,643.9,649.2686740974877,6011,548,3902754.0,2394.0,39.83,14.55,-10.9
17-January-2014,647.8,657.8,635.2,638.95,641.0407288317256,9330,616,5980910.0,3581.0,38.38,22.6,-8.85
20-January-2014,636.0,638.9,631.2,633.8,634.3959129423492,6019,558,3818429.0,2447.0,40.65,7.7,-2.2
21-January-2014,637.0,650.0,635.0,638.05,641.836022967664,16545,1228,10619177.0,6168.0,37.28,15.0,1.05
22-January-2014,640.0,646.0,633.1,634.8,640.1866506107002,17439,1089,11164215.0,6943.0,39.81,12.9,-5.2
23-January-2014,638.0,648.0,634.5,637.0,641.1421222199127,19244,1373,12338139.0,2942.0,15.29,13.5,-1.0
24-January-2014,638.0,640.35,612.0,616.2,623.4340517241379,13920,1218,8678202.0,4637.0,33.31,28.35,-21.8
27-January-2014,615.0,615.0,595.0,598.85,600.7539267015705,14516,1296,8720544.0,4403.0,30.33,20.0,-16.15
28-January-2014,600.0,605.0,587.55,590.6,594.8470416124837,6152,751,3659499.0,2050.0,33.32,17.45,-9.4
29-January-2014,590.6,604.0,586.0,588.9,591.8535680603585,15905,912,9413431.0,9223.0,57.99,18.0,-1.7
30-January-2014,594.65,594.65,568.05,579.95,578.5281816922866,21663,1108,12532656.0,13988.0,64.57,26.6,-14.7
31-January-2014,583.85,589.95,573.05,579.55,579.0424712579529,17918,1272,10375283.0,7150.0,39.9,16.9,-4.3
03-February-2014,580.6,610.0,570.0,576.9,581.0591357088705,10552,776,6131336.0,2494.0,23.64,40.0,-3.7
04-February-2014,585.0,585.0,570.05,576.75,576.0581113801453,9086,659,5234064.0,5699.0,62.72,14.95,-8.25
05-February-2014,576.55,611.6,576.55,600.2,601.1490052145111,44683,3113,26861141.0,7777.0,17.4,35.05,23.65
06-February-2014,605.0,615.0,583.15,589.8,596.5855855855858,13209,1256,7880299.0,3173.0,24.02,31.85,-15.2
07-February-2014,590.0,594.8,583.5,589.15,589.3226719501839,7066,686,4164154.0,2815.0,39.84,11.3,-0.85
10-February-2014,592.0,593.95,576.0,578.35,583.1595654797826,8285,880,4831477.0,3214.0,38.79,17.95,-13.65
11-February-2014,581.95,583.0,572.35,575.1,577.7671654929578,4544,442,2625374.0,1734.0,38.16,10.65,-6.85
12-February-2014,572.95,595.0,572.85,584.3,586.8004076513014,19134,1336,11227839.0,6128.0,32.03,22.15,11.35
13-February-2014,585.0,591.6,572.0,574.05,581.7828411714668,8229,772,4787491.0,2831.0,34.4,19.6,-10.95
14-February-2014,575.9,583.0,570.4,578.45,577.7335481682497,5896,551,3406317.0,2113.0,35.84,12.6,2.55
17-February-2014,579.15,594.9,575.95,591.0,584.4278840579711,17250,1130,10081381.0,8314.0,48.2,18.95,11.85
18-February-2014,592.0,677.3,592.0,666.65,651.1810243673999,760196,38320,495025210.0,37981.0,5.0,85.3,74.65
19-February-2014,669.0,698.4,652.15,679.05,679.7188907600618,616963,30159,419361406.0,31240.0,5.06,46.25,10.05
20-February-2014,668.0,693.0,666.4,680.2,682.3680614556782,225984,11463,154204264.0,18488.0,8.18,26.6,12.2
21-February-2014,683.0,689.0,673.4,682.55,681.5234927931082,65701,3268,44776775.0,16300.0,24.81,15.6,-0.45
24-February-2014,680.25,687.4,675.1,679.35,681.2687327658554,33364,2028,22729850.0,6992.0,20.96,12.3,-0.9
25-February-2014,678.5,686.0,673.7,676.05,679.0629454701589,23290,1452,15815376.0,5351.0,22.98,12.3,-2.45
26-February-2014,675.0,735.0,675.0,706.2,720.0935035105575,574695,26541,413834136.0,62474.0,10.87,60.0,31.2
28-February-2014,710.8,721.9,708.1,716.25,713.5848537066316,112582,5948,80336810.0,22487.0,19.97,13.8,5.45
03-March-2014,716.9,732.95,710.05,720.05,721.697040662123,99921,5254,72112690.0,13551.0,13.56,22.9,3.15
04-March-2014,720.05,744.0,720.05,730.55,732.2462202573352,95906,5804,70226806.0,16969.0,17.69,23.95,10.5
05-March-2014,736.65,803.2,730.5,795.0,779.1800686641168,469532,23514,365849976.0,36595.0,7.79,72.7,58.35
06-March-2014,810.1,829.0,774.7,780.35,806.4217954820947,203767,10975,164322150.0,31596.0,15.51,54.3,-29.75
07-March-2014,783.5,822.4,772.1,805.05,802.2553002254535,241735,12718,193933185.0,42702.0,17.66,50.3,21.55
10-March-2014,803.4,818.0,786.1,795.45,803.3644722549452,65363,4329,52510312.0,8990.0,13.75,31.9,-7.95
11-March-2014,800.55,806.5,776.0,778.85,789.6566853651469,37971,2343,29984054.0,9133.0,24.05,30.5,-21.7
12-March-2014,783.25,801.25,768.35,792.95,789.7386082078758,79509,4866,62791327.0,5756.0,7.24,32.9,9.7
13-March-2014,793.0,822.4,787.8,818.55,807.7979567502318,135862,7948,109749046.0,25711.0,18.92,34.6,25.55
14-March-2014,821.0,833.0,791.25,797.65,810.2791357905883,83128,4388,67356884.0,22182.0,26.68,41.75,-23.35
18-March-2014,796.0,813.6,792.05,798.85,800.8720592506535,41316,2880,33088830.0,8800.0,21.3,21.55,2.85
19-March-2014,792.0,808.9,788.4,792.55,799.9394855858606,36041,2083,28830619.0,6214.0,17.24,20.5,0.55
20-March-2014,792.55,801.95,782.65,783.8,791.5856268238257,17477,1297,13834542.0,2879.0,16.47,19.3,-8.75
21-March-2014,787.5,801.0,781.6,785.45,790.7235195854497,29333,1832,23194293.0,3462.0,11.8,19.4,-2.05
22-March-2014,785.0,791.55,779.2,781.25,783.8204064703442,2411,266,1889791.0,832.0,34.51,12.35,-3.75
24-March-2014,786.0,801.6,785.0,798.2,795.1772274573684,48497,2781,38563710.0,11254.0,23.21,16.6,12.2
25-March-2014,804.55,840.0,796.0,822.5,824.8016415014848,192263,11173,158578838.0,24918.0,12.96,44.0,17.95
26-March-2014,828.0,838.0,818.25,822.0,828.9491361604446,49662,3140,41167272.0,8107.0,16.32,19.75,-6.0
27-March-2014,820.1,834.4,818.05,821.45,826.2989988448212,25970,1871,21458985.0,5604.0,21.58,16.35,1.35
28-March-2014,824.0,831.0,812.6,817.05,821.9110606570242,35676,2336,29322499.0,8118.0,22.75,18.4,-6.95
31-March-2014,819.0,858.0,817.95,849.95,838.7558686454329,93122,4931,78106624.0,13941.0,14.97,40.05,30.95
01-April-2014,857.1,863.3,844.5,847.1,853.3798182073558,49837,2988,42529890.0,9199.0,18.46,18.8,-10.0
02-April-2014,850.2,869.9,850.2,855.15,860.1162119424715,39841,2291,34267890.0,7903.0,19.84,19.7,4.95
03-April-2014,855.15,862.4,834.0,839.95,845.9396239801347,14095,998,11923519.0,2797.0,19.84,28.4,-15.2
04-April-2014,840.0,847.6,831.2,834.55,839.7712375134157,12113,1030,10172149.0,2606.0,21.51,16.4,-5.45
07-April-2014,830.0,835.0,813.0,822.45,821.3399042523233,7102,729,5833156.0,2819.0,19.85,22.0,-7.55
09-April-2014,824.95,848.0,824.95,839.15,835.6762690355331,15760,1691,13170258.0,4053.0,12.86,23.05,14.2
10-April-2014,837.0,856.45,835.0,838.65,845.4254293974263,17641,2179,14914150.0,3663.0,20.76,21.45,1.65
11-April-2014,836.0,838.0,819.05,825.0,830.4484668154392,12099,1237,10047596.0,3303.0,27.3,18.95,-11.0
15-April-2014,830.0,834.25,810.4,814.05,822.3183224475763,11636,1343,9568496.0,2215.0,19.04,23.85,-15.95
16-April-2014,819.9,842.0,819.9,831.6,833.6084250837721,27157,2551,22638304.0,8871.0,32.67,22.1,11.7
17-April-2014,817.0,861.9,817.0,847.8,848.4274975170383,58398,5531,49546469.0,8761.0,15.0,44.9,30.8
21-April-2014,845.25,846.85,830.15,833.75,838.0308062388452,12887,1280,10799703.0,3567.0,27.68,16.7,-11.5
22-April-2014,833.05,843.4,819.1,821.5,831.9604646090088,18338,1820,15256491.0,5071.0,27.65,24.3,-11.55
23-April-2014,825.0,829.7,818.6,821.9,823.3413768630234,7045,909,5800440.0,1371.0,19.46,11.1,-3.1
25-April-2014,820.8,838.2,820.8,825.65,828.9214679742566,13052,1185,10819083.0,3444.0,26.39,17.4,4.85
