Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,1303.05,1304.9,1288.5,1291.75,1293.5085670203553,73888,3340,95574761.0,14385.0,19.47,16.4,-11.3
02-January-2014,1297.0,1324.6,1262.25,1272.75,1298.752114132749,262992,11763,341561416.0,58629.0,22.29,62.35,-24.25
03-January-2014,1260.0,1270.0,1246.05,1260.65,1256.6820972920925,245097,10753,308009012.0,70053.0,28.58,23.95,0.65
06-January-2014,1261.9,1261.9,1242.25,1255.95,1252.0900126299425,205860,7463,257755250.0,100439.0,48.79,19.65,-5.95
07-January-2014,1260.0,1266.0,1215.0,1234.3,1231.1402981412186,505331,21694,622133358.0,241878.0,47.87,51.0,-25.7
08-January-2014,1248.0,1248.0,1208.0,1212.8,1218.1901398112752,510903,15977,622376997.0,300319.0,58.78,40.0,-35.2
09-January-2014,1209.7,1210.25,1176.2,1184.95,1183.7124458338612,977548,21201,1157135734.0,740191.0,75.72,34.05,-24.75
10-January-2014,1191.0,1196.95,1160.1,1164.55,1170.702967994323,503067,18464,588942030.0,239157.0,47.54,36.85,-26.45
13-January-2014,1176.0,1194.0,1165.0,1183.45,1176.9627568648846,192465,8649,226524137.0,50823.0,26.41,29.0,7.45
14-January-2014,1185.0,1193.0,1169.25,1175.7,1184.1020412699118,314951,10868,372934122.0,205938.0,65.39,23.75,-9.3
15-January-2014,1182.35,1190.0,1165.8,1178.15,1175.9830016463998,346210,17774,407137075.0,106106.0,30.65,24.2,-4.2
16-January-2014,1187.9,1197.95,1168.15,1176.95,1182.2489855480349,518753,20525,613295208.0,93332.0,17.99,29.8,-10.95
17-January-2014,1182.0,1187.65,1145.0,1152.8,1157.742473522312,827678,14301,958237975.0,601314.0,72.65,42.65,-29.2
20-January-2014,1148.0,1167.0,1133.0,1161.55,1151.056797392882,270030,12628,310819867.0,61808.0,22.89,34.0,13.55
21-January-2014,1168.0,1192.35,1159.0,1189.1,1174.2331486084156,569315,12362,668508545.0,366310.0,64.34,33.35,21.1
22-January-2014,1189.0,1202.0,1172.9,1186.85,1188.8621238085636,267849,12379,318435531.0,78348.0,29.25,29.1,-2.15
23-January-2014,1187.0,1219.8,1181.75,1216.3,1204.4219070940633,298926,18392,360033023.0,96523.0,32.29,38.05,29.3
24-January-2014,1206.0,1228.5,1196.0,1206.95,1210.775283854653,235684,11120,285360362.0,35064.0,14.88,32.5,0.95
27-January-2014,1181.0,1183.65,1155.0,1159.95,1168.4699750591544,172007,8470,200985015.0,46609.0,27.1,28.65,-21.05
28-January-2014,1163.0,1179.2,1115.95,1121.95,1142.2236814194152,263996,12656,301542483.0,47020.0,17.81,63.25,-41.05
29-January-2014,1129.7,1149.3,1122.1,1139.65,1136.8122000250605,183557,11885,208669837.0,16477.0,8.98,27.2,9.95
30-January-2014,1116.0,1127.15,1105.8,1109.95,1115.6027525982238,141539,7917,157901298.0,28421.0,20.08,21.35,-6.05
31-January-2014,1118.9,1125.65,1109.0,1119.55,1117.4264203563193,263191,12530,294096577.0,106743.0,40.56,16.65,0.65
03-February-2014,1117.0,1133.4,1110.75,1123.05,1124.6043876968981,113955,6583,128154293.0,18010.0,15.8,22.65,6.05
04-February-2014,1113.0,1127.85,1101.1,1123.25,1116.995868209704,159253,8552,177884943.0,9189.0,5.77,26.75,10.25
05-February-2014,1127.8,1130.05,1112.0,1121.2,1121.3093836413668,148631,8291,166661335.0,24055.0,16.18,18.05,-6.6
06-February-2014,1127.9,1135.55,1098.9,1102.85,1111.7289370703334,189100,8974,210227942.0,48100.0,25.44,36.65,-25.05
07-February-2014,1123.0,1129.0,1111.1,1125.75,1120.0097194230254,145379,6631,162825893.0,36075.0,24.81,17.9,2.75
10-February-2014,1134.7,1138.7,1115.85,1120.1,1126.3726529468386,82071,4458,92442530.0,12253.0,14.93,22.85,-14.6
11-February-2014,1128.65,1131.0,1118.25,1122.6,1124.9335338796177,73466,3803,82644367.0,7249.0,9.87,12.75,-6.05
12-February-2014,1133.15,1133.65,1114.6,1119.2,1124.4625452022538,95128,4679,106967873.0,14107.0,14.83,19.05,-13.95
13-February-2014,1125.0,1125.0,1095.05,1101.2,1111.9482280617162,82960,4774,92247225.0,15082.0,18.18,29.95,-23.8
14-February-2014,1106.5,1111.0,1083.4,1102.7,1098.2820216158252,141748,7064,155679280.0,23848.0,16.82,27.6,-3.8
17-February-2014,1111.0,1119.95,1105.2,1115.35,1112.9147794313549,78819,4961,87718830.0,10238.0,12.99,14.75,4.35
18-February-2014,1112.25,1171.7,1108.35,1164.6,1149.1989012516888,280501,14372,322351441.0,53232.0,18.98,63.35,52.35
19-February-2014,1164.5,1177.0,1158.4,1164.7,1167.145627258992,119799,5310,139822879.0,9354.0,7.81,18.6,0.2
20-February-2014,1158.0,1170.0,1146.6,1156.75,1157.0710301433776,126031,5560,145826819.0,11666.0,9.26,23.4,-1.25
21-February-2014,1161.0,1194.5,1161.0,1189.75,1183.2737896259673,213591,8508,252736632.0,72695.0,34.03,33.5,28.75
24-February-2014,1187.8,1243.0,1183.4,1235.5,1224.690595101416,313560,12089,384013983.0,58598.0,18.69,59.6,47.7
25-February-2014,1237.5,1250.0,1225.3,1235.15,1237.8526856822978,196505,8757,243244242.0,13748.0,7.0,24.7,-2.35
26-February-2014,1238.0,1244.7,1228.1,1236.2,1236.6198158501536,126636,5386,156600587.0,14150.0,11.17,16.6,-1.8
28-February-2014,1239.0,1269.0,1237.2,1265.9,1259.2013510341408,153364,7412,193116156.0,30186.0,19.68,31.8,26.9
03-March-2014,1260.0,1284.25,1247.3,1253.8,1264.9216751980068,154919,7946,195960401.0,13360.0,8.62,36.95,-6.2
04-March-2014,1259.0,1304.7,1255.9,1295.05,1289.99551760067,244735,11490,315707053.0,63385.0,25.9,48.8,36.05
05-March-2014,1296.0,1312.9,1294.0,1306.75,1304.6241783620535,180128,8773,234999344.0,37851.0,21.01,18.9,10.75
06-March-2014,1307.0,1332.9,1307.0,1328.3,1322.197839969292,171942,7465,227341341.0,34012.0,19.78,25.9,21.3
07-March-2014,1326.0,1423.85,1326.0,1406.9,1391.664814165611,464957,22696,647064297.0,116959.0,25.15,97.85,80.9
