Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,324.75,327.0,318.05,320.5,323.4535958904109,5840,477,1888969.0,2852.0,48.84,8.95,-4.25
02-January-2014,317.05,335.4,317.05,320.45,325.697551245013,14538,824,4734991.0,8041.0,55.31,18.35,3.4
03-January-2014,325.0,325.0,315.65,319.25,318.7383470426949,2553,249,813739.0,1576.0,61.73,9.35,-5.75
06-January-2014,320.0,323.95,315.0,315.5,317.7325462012321,1948,225,618943.0,1159.0,59.5,8.95,-4.5
07-January-2014,318.95,318.95,314.05,315.75,315.9275998244844,2279,181,719999.0,1558.0,68.36,4.9,-3.2
08-January-2014,318.0,318.75,313.1,316.2,317.00174367916304,1147,147,363601.0,807.0,70.36,5.65,-1.8
09-January-2014,320.0,320.0,315.0,315.4,316.8162037037036,2160,179,684323.0,1560.0,72.22,5.0,-4.6
10-January-2014,317.2,319.0,312.75,315.35,315.9224422442244,1818,206,574347.0,1296.0,71.29,6.25,-1.85
13-January-2014,315.0,325.0,310.0,312.45,314.108650723354,3387,404,1063886.0,2040.0,60.23,15.0,-2.55
14-January-2014,312.45,316.5,312.0,312.55,313.6622406639004,1205,140,377963.0,921.0,76.43,4.5,0.1
15-January-2014,317.0,318.7,311.25,311.8,314.2409693644261,4374,279,1374490.0,2612.0,59.72,7.45,-5.2
16-January-2014,314.45,314.45,308.5,312.4,311.65634075508217,3099,158,965823.0,1752.0,56.53,5.95,-2.05
17-January-2014,311.9,315.45,310.0,312.4,312.247311827957,3906,273,1219638.0,2295.0,58.76,5.45,0.5
20-January-2014,315.0,317.0,310.05,312.2,313.1158798283262,699,146,218868.0,507.0,72.53,6.95,-2.8
21-January-2014,313.0,315.0,309.0,311.2,311.14912280701753,798,92,248297.0,711.0,89.1,6.0,-1.8
22-January-2014,310.0,315.4,308.9,312.1,311.17487437185935,995,125,309619.0,789.0,79.3,6.5,2.1
23-January-2014,310.05,310.05,307.5,309.05,309.2915742793792,902,148,278981.0,695.0,77.05,2.55,-1.0
24-January-2014,310.0,312.5,307.55,309.3,309.6470037453184,1068,156,330703.0,694.0,64.98,4.95,-0.7
27-January-2014,307.0,307.8,304.1,306.1,306.1279143037177,1587,209,485825.0,1182.0,74.48,3.7,-0.9
28-January-2014,305.5,307.9,304.5,305.5,305.64137155705447,1779,179,543736.0,1469.0,82.57,3.4,0.0
29-January-2014,309.75,309.75,304.1,305.25,305.82797427652736,1244,188,380450.0,747.0,60.05,5.65,-4.5
30-January-2014,306.0,306.0,302.0,303.15,303.2438502673797,935,84,283533.0,773.0,82.67,4.0,-2.85
31-January-2014,303.05,306.8,299.2,300.75,302.4223433242507,5872,444,1775824.0,4088.0,69.62,7.6,-2.3
03-February-2014,316.15,316.15,299.0,301.4,301.77512355848444,1214,140,366355.0,948.0,78.09,17.15,-14.75
04-February-2014,300.0,304.0,300.0,302.5,301.6924242424243,660,70,199117.0,598.0,90.61,4.0,2.5
05-February-2014,307.9,307.9,299.0,299.6,300.26636143280376,3713,241,1114889.0,2710.0,72.99,8.9,-8.3
06-February-2014,300.0,305.5,300.0,303.8,302.0362694300518,579,116,174879.0,480.0,82.9,5.5,3.8
07-February-2014,305.0,308.3,302.0,305.3,305.8719898605829,1578,188,482666.0,1083.0,68.63,6.3,0.3
10-February-2014,302.1,308.95,298.1,300.1,300.3100192678228,5190,288,1558609.0,4092.0,78.84,10.85,-2.0
11-February-2014,300.2,303.0,300.0,302.0,301.4001549987084,3871,483,1166720.0,2746.0,70.94,3.0,1.8
12-February-2014,300.0,302.45,298.0,299.55,299.00580973129985,1377,248,411731.0,956.0,69.43,4.45,-0.45
13-February-2014,301.2,301.2,296.5,298.1,298.61904761904765,1596,171,476596.0,1344.0,84.21,4.7,-3.1
14-February-2014,298.1,298.85,295.05,297.05,297.0391903531438,2322,214,689725.0,1707.0,73.51,3.8,-1.05
17-February-2014,297.05,299.3,294.5,295.05,295.63427751882386,2789,189,824524.0,1768.0,63.39,4.8,-2.0
18-February-2014,295.0,298.75,290.55,292.45,293.7870868562644,2602,413,764434.0,1869.0,71.83,8.2,-2.55
19-February-2014,293.5,293.5,289.05,290.65,290.6134529147982,2230,220,648068.0,1495.0,67.04,4.45,-2.85
20-February-2014,290.0,291.9,287.5,288.7,289.14119214119216,3003,206,868291.0,2134.0,71.06,4.4,-1.3
21-February-2014,290.0,291.0,288.0,288.9,289.641006097561,1312,157,380009.0,868.0,66.16,3.0,-1.1
24-February-2014,290.0,294.95,290.0,294.65,292.78638497652577,3834,261,1122543.0,3000.0,78.25,4.95,4.65
25-February-2014,293.4,296.0,290.65,291.35,293.07901444350045,1177,99,344954.0,952.0,80.88,5.35,-2.05
26-February-2014,295.0,296.0,287.95,289.0,289.8268868910725,4783,378,1386242.0,2880.0,60.21,8.05,-6.0
28-February-2014,294.8,297.05,287.0,289.6,289.9521713615024,3408,574,988157.0,2221.0,65.17,10.05,-5.2
03-March-2014,292.9,294.8,287.0,287.65,288.7716033647718,3923,285,1132851.0,2915.0,74.31,7.8,-5.25
04-March-2014,290.0,292.0,286.6,290.05,289.17277812305775,1609,122,465279.0,1250.0,77.69,5.4,0.05
05-March-2014,290.15,304.0,290.15,301.45,300.2759581881533,4305,546,1292688.0,2359.0,54.8,13.85,11.3
06-March-2014,304.9,308.0,301.2,306.8,305.99122807017545,3078,648,941841.0,2065.0,67.09,6.8,1.9
07-March-2014,304.9,315.9,304.0,308.9,308.3429859957275,4213,415,1299049.0,2916.0,69.21,11.9,4.0
10-March-2014,305.0,310.0,303.55,306.05,305.65982905982906,1170,143,357622.0,812.0,69.4,6.45,1.05
11-March-2014,308.0,309.0,305.0,307.5,306.5996967399545,1319,161,404405.0,1027.0,77.86,4.0,-0.5
12-March-2014,305.0,309.0,305.0,305.9,306.29597156398114,4220,110,1292569.0,3980.0,94.31,4.0,0.9
13-March-2014,307.75,308.0,302.0,303.95,305.5056289769947,2043,198,624148.0,1152.0,56.39,6.0,-3.8
14-March-2014,302.55,305.0,299.9,300.7,301.77964743589746,1248,176,376621.0,803.0,64.34,5.1,-1.85
18-March-2014,305.9,306.0,301.0,302.5,302.8483033932136,1002,153,303454.0,574.0,57.29,5.0,-3.4
19-March-2014,305.0,305.0,301.1,302.55,303.17940199335544,602,106,182514.0,473.0,78.57,3.9,-2.45
20-March-2014,304.9,306.65,302.25,306.2,304.70496768982224,4952,433,1508899.0,4345.0,87.74,4.4,1.3
21-March-2014,305.0,305.6,301.95,303.5,303.1525712893004,4103,227,1243835.0,1625.0,39.61,3.65,-1.5
22-March-2014,306.0,307.0,304.15,305.45,305.84958677685955,1210,198,370078.0,835.0,69.01,2.85,-0.55
24-March-2014,304.5,311.0,304.5,306.9,307.8536151279199,4495,369,1383802.0,3589.0,79.84,6.5,2.4
25-March-2014,314.5,314.5,306.85,308.85,308.24107820804863,2634,265,811907.0,2103.0,79.84,7.65,-5.65
26-March-2014,308.0,310.0,302.6,307.35,307.3131313131313,1485,159,456360.0,1086.0,73.13,7.4,-0.65
27-March-2014,310.0,311.0,306.0,308.6,308.38608058608054,1365,187,420947.0,963.0,70.55,5.0,-1.4
28-March-2014,309.4,311.0,307.0,308.1,307.87819905213274,2110,87,649623.0,1988.0,94.22,4.0,-1.3
31-March-2014,310.0,320.0,300.0,304.6,310.6068952234207,15576,1147,4838013.0,11806.0,75.8,20.0,-5.4
01-April-2014,308.0,308.4,303.1,306.65,306.0334291876348,2782,286,851385.0,1831.0,65.82,5.3,-1.35
02-April-2014,308.9,322.0,305.0,317.75,313.8055555555556,9972,880,3129269.0,4785.0,47.98,17.0,8.85
03-April-2014,320.0,321.0,311.85,317.85,317.22527472527474,2912,366,923760.0,2019.0,69.33,9.15,-2.15
04-April-2014,319.9,324.0,316.0,319.8,320.4075342465754,2920,308,935590.0,1433.0,49.08,8.0,-0.1
07-April-2014,318.0,323.0,315.0,320.7,318.8616600790514,1265,155,403360.0,817.0,32.29,8.0,2.7
09-April-2014,320.0,332.0,317.05,326.2,326.5451940396267,12214,682,3988423.0,7678.0,31.43,14.95,6.2
10-April-2014,326.2,335.9,326.2,328.65,330.89276672694393,5530,461,1829837.0,3897.0,70.47,9.7,2.45
11-April-2014,330.0,348.75,329.0,339.4,340.59135439089755,22763,1421,7752881.0,9645.0,42.37,19.75,9.4
15-April-2014,345.0,348.0,338.0,341.45,341.6584017687935,6332,510,2163381.0,4114.0,64.97,10.0,-3.55
16-April-2014,340.0,342.0,330.1,334.25,336.9181853431562,5158,255,1737824.0,3208.0,62.19,11.9,-5.75
