Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,332.0,339.0,330.5,337.6,335.48413054120965,145027,3158,48654257.0,35622.0,24.56,8.5,5.6
02-January-2014,339.7,339.7,325.95,328.1,333.9216770429261,969039,4577,323583128.0,807581.0,83.34,13.75,-11.6
03-January-2014,329.0,330.5,324.25,328.85,328.2410714285715,136976,2627,44961149.0,20800.0,15.19,6.25,-0.15
06-January-2014,329.8,330.25,325.7,328.8,328.80201885678827,66077,1806,21726251.0,12388.0,18.75,4.55,-1.0
07-January-2014,329.55,334.4,327.0,331.65,330.43777834997474,104859,2507,34649375.0,20659.0,19.7,7.4,2.1
08-January-2014,333.7,333.85,328.0,332.55,331.86464459470136,88589,1650,29399557.0,18946.0,21.39,5.85,-1.15
09-January-2014,332.75,333.0,327.6,329.2,331.18125719731563,125915,1739,41700688.0,50291.0,39.94,5.4,-3.55
10-January-2014,330.0,333.0,327.8,330.6,330.5314974985779,68561,1506,22661570.0,11462.0,16.72,5.2,0.6
13-January-2014,334.0,334.0,329.1,331.25,331.1023153417041,53599,1416,17746753.0,12167.0,22.7,4.9,-2.75
14-January-2014,330.0,330.9,326.45,328.7,329.0894392903095,59068,1373,19438655.0,12190.0,20.64,4.45,-1.3
15-January-2014,330.0,332.85,329.25,331.55,331.21812336069036,70914,1543,23488002.0,21225.0,29.93,3.6,1.55
16-January-2014,332.05,332.05,314.0,315.5,320.9230211015142,1197497,12428,384304355.0,888819.0,74.22,18.05,-16.55
17-January-2014,317.0,318.45,306.7,311.2,312.79112948693853,319260,8343,99861696.0,85874.0,26.9,11.75,-5.8
20-January-2014,313.0,313.0,307.5,308.75,309.31897303266305,206472,5198,63865707.0,68387.0,33.12,5.5,-4.25
21-January-2014,311.0,311.0,302.6,305.0,305.52127810686284,401281,13460,122599884.0,183346.0,45.69,8.4,-6.0
22-January-2014,305.0,311.9,305.0,309.75,309.85651380351777,244358,7651,75715918.0,91956.0,37.63,6.9,4.75
23-January-2014,311.0,315.9,306.8,314.65,313.56740555410886,176662,8454,55395445.0,88474.0,50.08,9.1,3.65
24-January-2014,313.9,314.25,308.05,313.3,311.57381845152247,145614,5199,45369510.0,52071.0,35.76,6.2,-0.6
27-January-2014,309.9,312.2,304.0,307.05,308.15660132220887,226288,5135,69732141.0,67363.0,29.77,8.2,-2.85
28-January-2014,308.0,309.75,302.0,306.3,305.4795610425241,215055,5623,65694907.0,73321.0,34.09,7.75,-1.7
29-January-2014,310.0,314.8,291.25,301.65,306.2830455349588,728056,21957,222991209.0,248663.0,34.15,23.55,-8.35
30-January-2014,302.9,311.0,300.9,308.4,307.37823667711604,765600,14108,235328778.0,450503.0,58.84,10.1,5.5
31-January-2014,310.9,316.4,309.1,315.15,313.4236738610125,189686,7056,59452083.0,90975.0,47.96,7.3,4.25
03-February-2014,314.5,314.5,304.3,305.95,307.03820473554015,212225,11901,65161183.0,103205.0,48.63,10.2,-8.55
04-February-2014,304.0,317.65,299.55,316.45,310.9090793045747,791228,16381,245999969.0,410869.0,51.93,18.1,12.45
05-February-2014,318.0,318.0,311.4,314.45,314.4770463611561,198291,5782,62357968.0,100579.0,50.72,6.6,-3.55
06-February-2014,314.45,319.3,312.0,315.25,314.9782024362736,391007,5253,123158682.0,294366.0,75.28,7.3,0.8
07-February-2014,316.0,318.3,307.5,315.5,313.8241996417404,414783,9542,130168943.0,231851.0,55.9,10.8,-0.5
10-February-2014,315.85,315.85,305.6,307.4,309.5551006140425,389061,6355,120435817.0,275499.0,70.81,10.25,-8.45
11-February-2014,305.0,307.8,299.8,305.35,302.69209435077784,1226275,11649,371183748.0,903997.0,73.72,8.0,0.35
12-February-2014,306.0,308.95,301.6,308.15,306.5314025034183,719656,16999,220597163.0,505193.0,70.2,7.35,2.15
13-February-2014,308.0,309.85,301.15,302.6,303.57238115565497,135871,3035,41246683.0,38966.0,28.68,8.7,-5.4
14-February-2014,302.6,317.5,302.1,305.2,307.7871239298646,476108,10383,146539912.0,138006.0,28.99,15.4,2.6
17-February-2014,310.0,310.75,303.1,305.1,306.21938551234297,172892,3665,52942882.0,39563.0,22.88,7.65,-4.9
18-February-2014,307.0,312.0,299.4,302.2,302.96299406413243,415609,12070,125914147.0,133516.0,32.13,12.6,-4.8
19-February-2014,303.0,305.5,301.75,302.85,303.6211378297632,157651,3468,47866176.0,29552.0,18.75,3.75,-0.15
20-February-2014,303.0,303.5,296.1,296.85,298.71268196943873,271062,5541,80969657.0,73281.0,27.03,7.4,-6.15
21-February-2014,297.2,298.35,286.55,288.2,291.5658387721744,515122,10236,150191978.0,187784.0,36.45,11.8,-9.0
24-February-2014,288.5,292.0,282.1,282.9,286.36751898484766,477091,11305,136623366.0,122399.0,25.66,9.9,-5.6
25-February-2014,284.1,289.3,284.1,287.35,287.4723101079539,806919,4733,231966869.0,587247.0,72.78,5.2,3.25
26-February-2014,289.95,291.95,285.5,288.15,289.3290063188441,361142,7183,104488856.0,89050.0,24.66,6.45,-1.8
