Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,666.75,670.0,662.6,665.05,665.9584068802342,53254,1297,35464949.0,27237.0,51.15,7.4,-1.7
02-January-2014,669.9,674.1,653.9,656.85,666.225732719309,88813,2501,59169506.0,28720.0,32.34,20.2,-13.05
03-January-2014,655.0,665.95,651.05,663.35,661.0245354853405,184386,2962,121883670.0,110012.0,59.66,14.9,8.35
06-January-2014,664.0,664.0,657.35,662.0,660.5869809380997,504829,3376,333483465.0,421098.0,83.41,6.65,-2.0
07-January-2014,670.0,670.0,654.0,664.75,660.3132364560787,203763,2661,134547406.0,141923.0,69.65,16.0,-5.25
08-January-2014,664.05,667.2,661.0,664.65,664.904387979749,251642,3983,167317870.0,201891.0,80.23,6.2,0.6
09-January-2014,665.0,665.85,657.15,663.05,662.4296292442688,115332,1690,76399334.0,77347.0,67.06,8.7,-1.95
10-January-2014,663.05,674.85,656.8,662.15,667.0630831462131,123361,7832,82289569.0,52286.0,42.38,18.05,-0.9
13-January-2014,662.0,676.0,657.3,672.75,670.1880705805937,83139,2565,55718766.0,29959.0,36.03,18.7,10.75
14-January-2014,673.4,676.0,668.9,672.15,673.3041667711913,39863,1170,26839924.0,13199.0,33.11,7.1,-1.25
15-January-2014,674.0,682.6,670.15,680.35,677.5470515450489,61422,2085,41616295.0,23546.0,38.33,12.45,6.35
16-January-2014,685.0,685.0,671.1,673.95,677.7151917038505,145224,2568,98420511.0,92253.0,63.52,13.9,-11.05
17-January-2014,676.5,678.4,659.2,668.3,667.8963935683305,417310,6993,278719844.0,205903.0,49.34,19.2,-8.2
20-January-2014,665.0,676.9,665.0,669.85,671.9826749475689,98701,3576,66325362.0,53601.0,54.31,11.9,4.85
21-January-2014,671.5,679.0,670.3,676.75,674.8752994468401,114795,2506,77472310.0,67355.0,58.67,8.7,5.25
22-January-2014,678.0,684.4,674.95,677.7,680.1549991024951,89136,2376,60626296.0,31184.0,34.98,9.45,-0.3
23-January-2014,676.75,681.5,673.2,679.4,679.2281992803203,197310,1827,134018516.0,150536.0,76.29,8.3,2.65
24-January-2014,674.0,675.0,665.75,673.95,673.4937393901171,401159,3286,270178075.0,344454.0,85.86,9.25,-0.05
27-January-2014,665.0,665.0,644.95,649.7,651.4387397974309,468877,5697,305444642.0,322963.0,68.88,20.05,-15.3
28-January-2014,652.0,656.0,639.0,645.25,644.9177426252039,568253,8925,366476442.0,336199.0,59.16,17.0,-6.75
29-January-2014,645.0,651.0,641.55,645.6,645.7161183823229,416177,5124,268732197.0,291453.0,70.03,9.45,0.6
30-January-2014,638.0,640.0,629.0,632.4,633.2841604655064,89365,2734,56593439.0,32153.0,35.98,11.0,-5.6
31-January-2014,632.55,636.0,625.2,628.9,628.5479956881675,376638,4461,236735060.0,295959.0,78.58,10.8,-3.65
03-February-2014,632.5,634.0,625.0,626.35,629.0179222099822,47204,1820,29692162.0,16070.0,34.04,9.0,-6.15
04-February-2014,622.25,635.0,618.0,630.55,626.798080696372,56062,2223,35139554.0,13674.0,24.39,17.0,8.3
05-February-2014,634.0,640.0,625.75,637.2,636.6078791951056,141385,3049,90006805.0,98826.0,69.9,14.25,3.2
06-February-2014,638.4,649.75,629.8,647.35,641.1952169120079,513434,5498,329211425.0,407848.0,79.44,19.95,8.95
07-February-2014,652.45,654.6,643.0,647.9,647.9492259153276,109032,2139,70647200.0,70756.0,64.89,11.6,-4.55
10-February-2014,647.55,649.75,636.85,643.75,643.4949479333458,90557,1836,58272972.0,41252.0,45.55,12.9,-3.8
11-February-2014,644.0,646.8,640.55,645.1,644.959403809878,37639,958,24275627.0,16192.0,43.02,6.25,1.1
12-February-2014,647.0,652.6,643.5,645.65,645.9751222930406,298259,3096,192667894.0,234798.0,78.72,9.1,-1.35
13-February-2014,648.0,648.0,632.15,633.25,636.2714485409751,34338,1354,21848289.0,10829.0,31.54,15.85,-14.75
14-February-2014,635.0,644.7,629.6,641.75,637.782945736434,54567,2344,34801902.0,17786.0,32.59,15.1,6.75
17-February-2014,646.2,653.0,641.5,650.55,648.7592807745506,108450,3186,70357944.0,47767.0,44.05,11.5,4.35
18-February-2014,650.6,664.9,646.25,660.55,660.8104063832848,83468,3666,55156523.0,36387.0,43.59,18.65,9.95
19-February-2014,660.0,672.7,655.4,669.35,664.5065555158094,64297,2124,42725778.0,20010.0,31.12,17.3,9.35
20-February-2014,668.0,668.0,661.25,662.75,663.1375458773338,75473,1447,50048980.0,42662.0,56.53,6.75,-5.25
21-February-2014,663.45,669.8,661.2,664.8,664.8975282863843,132661,2013,88205971.0,92433.0,69.68,8.6,1.35
24-February-2014,664.0,673.5,656.0,670.2,667.9958382877528,178292,2728,119098314.0,101354.0,56.85,17.5,6.2
25-February-2014,672.0,676.0,666.55,670.8,671.6180713144029,101354,1733,68071178.0,52187.0,51.49,9.45,-1.2
26-February-2014,669.4,678.85,669.4,676.4,674.5947093403005,45930,1464,30984135.0,23003.0,50.08,9.45,7.0
28-February-2014,680.0,682.15,665.0,667.5,667.9703522819771,264135,10095,176434349.0,152980.0,57.92,17.15,-12.5
03-March-2014,666.0,672.55,663.35,666.15,667.6181571340983,45668,1738,30488786.0,13183.0,28.87,9.2,0.15
04-March-2014,661.15,671.9,661.15,670.45,669.0356347438752,58819,1599,39352007.0,24512.0,41.67,10.75,9.3
05-March-2014,672.5,674.0,663.05,669.1,667.6152228094674,56573,1824,37768996.0,16515.0,29.19,10.95,-3.4
06-March-2014,671.0,677.4,668.15,675.5,673.338511352315,76284,2092,51364955.0,28348.0,37.16,9.25,4.5
07-March-2014,676.2,714.85,676.2,711.35,701.2957631290593,377826,10522,264967773.0,184430.0,48.81,38.65,35.15
10-March-2014,705.0,737.7,703.0,734.35,725.9608950798863,474237,10316,344277517.0,242559.0,51.15,34.7,29.35
11-March-2014,735.2,740.0,720.0,725.35,726.1517940405878,450380,5003,327044245.0,337121.0,74.85,20.0,-9.85
12-March-2014,724.7,732.75,713.85,725.55,724.7770040923887,114603,2791,83061619.0,56654.0,49.44,18.9,0.85
13-March-2014,732.75,749.25,729.0,742.25,741.9836226391715,193682,5172,143708872.0,90479.0,46.72,20.25,9.5
14-March-2014,737.0,739.0,724.1,731.7,731.093030739218,348057,4058,254462047.0,255103.0,73.29,14.9,-5.3
18-March-2014,732.05,744.3,728.15,733.75,734.5534447482646,209188,2794,153659766.0,144826.0,69.23,16.15,1.7
