Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,570.0,574.1,565.0,571.8,571.8828144326253,28297,1078,16182568.0,9247.0,32.68,9.1,1.8
02-January-2014,574.0,575.25,559.05,562.75,567.4369488536155,47628,1568,27025887.0,18236.0,38.29,16.2,-11.25
03-January-2014,560.05,566.95,558.5,565.3,563.3402260726641,203209,2653,114475804.0,147811.0,72.74,8.45,5.25
06-January-2014,565.4,567.0,561.0,563.75,563.0372858624967,79038,1824,44501341.0,57432.0,72.66,6.0,-1.65
07-January-2014,563.75,565.9,556.85,559.3,559.9031268681932,76946,1665,43082306.0,45774.0,59.49,9.05,-4.45
08-January-2014,559.0,561.9,557.3,559.15,559.2635575614299,55836,1209,31227040.0,28824.0,51.62,4.6,0.15
09-January-2014,559.0,559.35,554.0,554.75,555.8085771334318,103671,2387,57621231.0,54930.0,52.98,5.35,-4.25
10-January-2014,556.0,556.55,549.1,550.3,552.5762640429024,68807,2181,38021115.0,29741.0,43.22,7.45,-5.7
13-January-2014,551.0,552.35,544.1,546.4,546.5912767666695,72198,2470,39462797.0,31039.0,42.99,8.25,-4.6
14-January-2014,547.7,548.75,537.65,538.85,541.0361940167642,85539,2590,46279695.0,45140.0,52.77,11.1,-8.85
15-January-2014,536.0,546.25,536.0,545.3,543.1680289818137,109862,3818,59673526.0,53234.0,48.46,10.25,9.3
16-January-2014,545.0,552.9,545.0,552.0,549.5693398269912,286228,2427,157302133.0,185676.0,64.87,7.9,7.0
17-January-2014,553.5,562.7,553.0,559.0,558.9706215684547,170295,4450,95189902.0,120401.0,70.7,9.7,5.5
20-January-2014,562.0,563.8,548.7,555.25,555.195088739431,108689,3735,60343599.0,52010.0,47.85,15.1,-6.75
21-January-2014,554.1,561.7,549.35,560.55,557.1042229063066,126690,3856,70579534.0,27778.0,21.93,12.35,6.45
22-January-2014,562.0,567.95,553.6,565.95,561.1590419077017,84877,2751,47629496.0,22102.0,26.04,14.35,3.95
23-January-2014,566.0,569.8,560.5,567.25,566.2656339559971,68041,1737,38529280.0,31979.0,47.0,9.3,1.25
24-January-2014,562.35,568.9,557.05,565.9,564.2925010963309,82092,1942,46323900.0,42885.0,52.24,11.85,3.55
27-January-2014,560.5,584.4,556.0,575.55,571.0817093565537,514837,11877,294013994.0,168069.0,32.65,28.4,15.05
28-January-2014,583.0,583.0,555.0,570.15,565.7024163899489,500209,8969,282969440.0,244598.0,48.9,28.0,-12.85
29-January-2014,571.0,574.65,564.35,569.95,570.2210118369957,128242,2806,73126283.0,55949.0,43.63,10.3,-1.05
30-January-2014,567.5,572.8,560.4,570.45,567.5709008851696,74449,2172,42255086.0,29646.0,39.82,12.4,2.95
31-January-2014,573.0,573.85,565.85,570.35,569.1205802357207,59562,1492,33897960.0,27764.0,46.61,8.0,-2.65
03-February-2014,573.0,574.0,565.0,570.05,570.385617223734,58431,1134,33328202.0,31186.0,53.37,9.0,-2.95
04-February-2014,568.55,575.0,566.0,570.75,570.5754134675354,46497,1386,26530045.0,19582.0,42.11,9.0,2.2
05-February-2014,571.0,571.0,562.45,570.0,568.6856004152921,59717,1604,33960198.0,31502.0,52.75,8.55,-1.0
06-February-2014,570.95,588.05,570.95,586.55,582.5926627708868,125606,4704,73177134.0,48193.0,38.37,17.1,15.6
07-February-2014,588.0,589.9,576.0,577.65,581.9976730570025,66611,2535,38767447.0,17708.0,26.58,13.9,-10.35
10-February-2014,578.1,579.0,563.5,564.85,567.3096204016928,80111,3530,45447741.0,29477.0,36.8,15.5,-13.25
