Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,3491.0,3497.0,3461.4,3466.4,3471.6028065117853,23588,2034,81888167.0,8440.0,35.78,35.6,-24.6
02-January-2014,3466.4,3507.4,3464.95,3474.75,3483.702500749952,36669,2891,127743887.0,10599.0,28.9,42.45,8.35
03-January-2014,3471.0,3572.05,3456.0,3565.45,3536.57541766409,79789,7999,282179816.0,30687.0,38.46,116.05,94.45
06-January-2014,3580.0,3581.0,3470.0,3514.2,3527.098011209055,73512,6577,259284029.0,28615.0,38.93,111.0,-65.8
07-January-2014,3510.0,3522.25,3447.0,3457.4,3477.993171509745,40126,3776,139557954.0,15335.0,38.22,75.25,-52.6
08-January-2014,3466.0,3474.0,3420.85,3428.5,3437.022131597148,41931,3802,144117775.0,11304.0,26.96,53.15,-37.5
09-January-2014,3435.6,3481.95,3417.3,3451.05,3453.108804706967,91099,12049,314574759.0,32994.0,36.22,64.65,15.45
10-January-2014,3494.0,3575.2,3449.0,3548.9,3536.9717916342584,494995,36950,1750783352.0,107769.0,21.77,126.2,54.9
13-January-2014,3572.0,3674.4,3572.0,3665.7,3660.303316001275,200784,14872,734930341.0,101856.0,50.73,102.4,93.7
14-January-2014,3636.0,3697.3,3636.0,3688.85,3671.847387243852,58999,6366,216635324.0,13623.0,23.09,61.3,52.85
15-January-2014,3685.1,3723.1,3678.0,3710.55,3704.736901842945,137443,8415,509190154.0,83572.0,60.8,45.1,25.45
16-January-2014,3704.0,3737.0,3695.0,3724.7,3718.4188004122466,162039,5773,602528864.0,124679.0,76.94,42.0,20.7
17-January-2014,3725.0,3759.9,3723.1,3728.05,3739.8388317892295,138160,11792,516696133.0,75487.0,54.64,36.8,3.05
20-January-2014,3712.0,3760.0,3704.0,3749.9,3729.7125748828807,183787,9524,685472685.0,124199.0,67.58,56.0,37.9
21-January-2014,3745.0,3770.5,3720.0,3755.65,3751.193092047517,68356,5558,256416555.0,16149.0,23.62,50.5,10.65
22-January-2014,3735.0,3775.0,3735.0,3767.1,3761.476330386073,36418,3767,136985445.0,5310.0,14.58,40.0,32.1
23-January-2014,3770.0,3799.0,3758.7,3792.8,3781.746012289992,61188,7966,231397475.0,23076.0,37.71,40.3,22.8
24-January-2014,3769.05,3798.0,3754.45,3759.05,3773.9605113636358,35200,3850,132843410.0,7480.0,21.25,43.55,-10.0
27-January-2014,3718.0,3770.0,3718.0,3732.6,3741.9290532275545,28613,2964,107067816.0,5714.0,19.97,52.0,14.6
28-January-2014,3718.15,3718.15,3671.0,3677.0,3685.590317374932,18590,2469,68515124.0,3954.0,21.27,47.15,-41.15
29-January-2014,3669.9,3743.9,3656.6,3717.65,3709.0000211492493,47283,4380,175372648.0,16725.0,35.37,87.3,47.75
30-January-2014,3696.25,3717.0,3663.0,3704.75,3690.8116713506374,30245,2764,111628599.0,8149.0,26.94,54.0,8.5
31-January-2014,3704.0,3736.8,3613.0,3699.45,3708.000452373548,35369,3872,131148268.0,7814.0,22.09,123.8,-4.55
03-February-2014,3685.0,3692.5,3623.5,3628.7,3651.1443940966506,39503,2637,144231157.0,26838.0,67.94,69.0,-56.3
04-February-2014,3588.1,3590.0,3550.0,3566.65,3568.5861852084795,27029,3209,96455316.0,7114.0,26.32,40.0,-21.45
05-February-2014,3576.1,3588.0,3540.6,3581.55,3569.634009009009,30192,2948,107774390.0,14080.0,46.63,47.4,5.45
06-February-2014,3566.55,3583.9,3540.75,3563.45,3557.059557929975,87226,20386,310268077.0,42939.0,49.23,43.15,-3.1
07-February-2014,3580.0,3603.4,3548.05,3566.7,3591.6137952606305,172639,5259,620052614.0,150741.0,87.32,55.35,-13.3
10-February-2014,3570.3,3584.15,3555.55,3568.5,3569.8702500000004,60000,2013,214192215.0,46071.0,76.78,28.6,-1.8
11-February-2014,3569.0,3622.0,3569.0,3595.8,3597.659732660945,61869,2805,222583610.0,41104.0,66.44,53.0,26.8
12-February-2014,3606.0,3624.9,3592.0,3599.6,3608.2862634898247,109249,4858,394201666.0,81085.0,74.22,32.9,-6.4
13-February-2014,3600.0,3618.8,3581.0,3586.45,3592.5357414600926,24971,1985,89709210.0,11561.0,46.3,37.8,-13.55
14-February-2014,3596.0,3655.0,3596.0,3645.6,3626.668622165848,31535,3122,114366995.0,11320.0,35.9,59.0,49.6
17-February-2014,3670.25,3677.0,3650.0,3662.25,3664.358115855616,21803,2856,79894000.0,4316.0,19.8,27.0,-8.0
18-February-2014,3652.0,3690.5,3651.1,3680.0,3675.0348572682647,186819,2458,686566337.0,169923.0,90.96,39.4,28.0
19-February-2014,3689.0,3763.05,3689.0,3753.95,3732.612233890669,63038,5639,235296410.0,23125.0,36.68,74.05,64.95
20-February-2014,3750.0,3750.0,3705.5,3713.7,3722.954495614035,20064,2571,74697359.0,3982.0,19.85,44.5,-36.3
21-February-2014,3728.0,3755.0,3728.0,3751.7,3743.026257090052,15691,1947,58731825.0,3430.0,21.86,27.0,23.7
24-February-2014,3745.0,3755.0,3730.0,3750.75,3745.916878837802,20031,1422,75034461.0,5097.0,25.45,25.0,5.75
25-February-2014,3751.5,3790.0,3751.5,3782.7,3782.0605569639542,104926,2038,396836486.0,87241.0,83.15,38.5,31.2
26-February-2014,3779.5,3809.0,3772.0,3803.85,3797.6957474182,28759,2838,109217932.0,8091.0,28.13,37.0,24.35
28-February-2014,3779.0,3832.1,3779.0,3820.2,3807.426902846535,25856,2739,98444830.0,5587.0,21.61,53.1,41.2
03-March-2014,3823.0,3847.2,3780.1,3793.05,3813.15520696832,25946,2310,98936125.0,6705.0,25.84,67.1,-29.95
04-March-2014,3764.0,3821.0,3763.7,3799.9,3799.5406751402033,46183,3195,175474187.0,29536.0,63.95,57.3,35.9
05-March-2014,3821.0,3840.0,3809.45,3815.3,3823.3387390008,27502,2452,105149462.0,6364.0,23.14,30.55,-5.7
06-March-2014,3832.0,3846.35,3816.7,3835.7,3831.786257820867,17741,2002,67979720.0,4312.0,24.31,29.65,3.7
07-March-2014,3825.0,3830.9,3705.0,3740.95,3776.6877985809465,106127,7636,400808546.0,72813.0,68.61,125.9,-84.05
10-March-2014,3726.15,3726.6,3645.1,3672.75,3676.142239402476,45789,4815,168326877.0,14700.0,32.1,81.5,-53.4
11-March-2014,3667.0,3706.95,3630.0,3672.75,3675.891711868693,35581,3624,130791903.0,5846.0,16.43,76.95,5.75
12-March-2014,3680.0,3698.4,3651.9,3670.9,3671.682738807756,20885,2071,76683094.0,4158.0,19.91,46.5,-9.1
13-March-2014,3430.2,3449.0,3340.0,3357.5,3388.8913691146477,466221,38883,1579972323.0,177344.0,38.04,109.0,-72.7
14-March-2014,3357.5,3401.0,3341.35,3389.45,3382.7900700966943,72186,7466,244190084.0,10797.0,14.96,59.65,31.95
18-March-2014,3397.95,3412.8,3342.0,3349.25,3371.2291911015395,52009,6135,175334259.0,14143.0,27.19,70.8,-48.7
19-March-2014,3360.0,3366.5,3240.15,3271.55,3270.012866953945,148520,17024,485662311.0,61555.0,41.45,126.35,-88.45
20-March-2014,3275.0,3349.0,3272.0,3303.0,3319.4717770613056,84364,9656,280043917.0,27845.0,33.01,77.0,28.0
21-March-2014,3330.0,3337.0,3270.55,3305.25,3301.193080670853,85384,9574,281869070.0,23831.0,27.91,66.45,-24.75
22-March-2014,3304.0,3311.75,3287.0,3293.95,3297.59883252818,4968,597,16382471.0,1338.0,26.93,24.75,-10.05
24-March-2014,3280.0,3316.95,3270.0,3274.05,3283.3294122670304,46841,6243,153794433.0,20304.0,43.35,46.95,-5.95
25-March-2014,3257.0,3279.5,3245.0,3251.6,3261.0064724020112,35999,5118,117392972.0,11055.0,30.71,34.5,-5.4
26-March-2014,3264.95,3271.5,3232.0,3244.65,3250.022852764193,44371,4521,144206764.0,14874.0,33.52,39.5,-20.3
27-March-2014,3246.0,3262.0,3217.0,3228.5,3239.2427873693773,35216,4078,114073174.0,10012.0,28.43,45.0,-17.5
28-March-2014,3232.25,3270.0,3231.0,3257.75,3250.110327368717,46217,4693,150210349.0,9178.0,19.86,39.0,25.5
31-March-2014,3275.0,3304.2,3230.25,3278.85,3258.953301922638,105272,6054,343076532.0,12047.0,11.44,73.95,3.85
01-April-2014,3285.0,3322.85,3279.1,3310.6,3308.0689703478865,42830,4542,141684594.0,11644.0,27.19,43.75,25.6
02-April-2014,3344.0,3348.55,3300.0,3320.2,3331.884074360105,36256,4034,120800789.0,13270.0,36.6,48.55,-23.8
03-April-2014,3332.0,3345.0,3320.0,3338.6,3333.74657305249,26919,4187,89741124.0,8979.0,33.36,25.0,6.6
04-April-2014,3343.0,3354.75,3303.0,3315.5,3329.1216662692873,29359,2782,97739683.0,11158.0,38.01,51.75,-27.5
07-April-2014,3310.0,3320.0,3196.0,3291.25,3281.517405130379,23585,3563,77394588.0,6748.0,14.31,124.0,-18.75
09-April-2014,3300.0,3300.0,3231.0,3253.1,3245.204161011284,98726,11672,320386026.0,74347.0,37.65,69.0,-46.9
10-April-2014,3264.0,3264.0,3186.6,3206.6,3223.326610623139,53054,8270,171010370.0,20837.0,39.28,77.4,-57.4
11-April-2014,3190.25,3256.0,3165.0,3235.85,3207.104598286728,105996,18036,339940259.0,32450.0,30.61,91.0,45.6
15-April-2014,3347.0,3371.8,3245.35,3260.45,3286.9149634391247,503407,33645,1654656001.0,314118.0,62.4,126.45,-86.55
16-April-2014,3257.0,3257.0,3150.0,3156.4,3178.145276972379,117954,23190,374874948.0,40998.0,34.76,107.0,-100.6
17-April-2014,3175.0,3207.95,3158.0,3189.9,3188.3385034398602,56543,10159,180278224.0,12367.0,21.87,49.95,14.9
21-April-2014,3202.0,3217.0,3170.0,3181.25,3186.585209003216,34521,5434,110004108.0,13534.0,39.21,47.0,-20.75
22-April-2014,3179.4,3200.0,3143.0,3149.9,3164.476190476191,44289,8026,140151486.0,17534.0,39.59,57.0,-29.5
23-April-2014,3165.3,3190.0,3165.0,3172.75,3177.927703325919,36862,5112,117144771.0,16581.0,44.98,25.0,7.45
25-April-2014,3180.0,3194.4,3164.7,3174.25,3174.115146556631,28112,3556,89230725.0,11485.0,40.85,29.7,-5.75
28-April-2014,3172.7,3193.0,3172.7,3178.15,3180.6076452480224,25663,3451,81623934.0,9510.0,37.06,20.3,5.45
29-April-2014,3172.5,3195.05,3172.5,3178.6,3183.417489634376,26530,3296,84456066.0,10868.0,40.96,22.55,6.1
