Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,215.1,215.1,207.25,208.35,211.331534797454,47446,1182,10026836.0,22491.0,47.4,7.85,-6.75
02-January-2014,211.0,211.6,205.1,205.9,209.45534738071228,94205,1962,19731741.0,28214.0,29.95,6.5,-5.1
03-January-2014,206.0,207.05,202.65,203.3,204.0730542100723,45213,1060,9226755.0,20488.0,45.31,4.4,-2.7
06-January-2014,206.8,206.8,203.05,204.4,204.69188680858338,70182,1200,14365686.0,18886.0,26.91,3.75,-2.4
07-January-2014,204.9,211.0,198.3,199.9,201.75177111039295,80458,1892,16232544.0,39312.0,48.86,12.7,-5.0
08-January-2014,200.0,200.2,195.05,195.5,196.6123332553241,162374,4054,31924731.0,71578.0,44.08,5.15,-4.5
09-January-2014,196.9,200.65,194.5,198.95,197.99389521573872,137597,2813,27243366.0,40871.0,29.7,6.15,2.05
10-January-2014,200.0,203.0,199.75,200.35,201.2944683118526,90081,1891,18132807.0,23102.0,25.65,3.25,0.35
13-January-2014,201.1,208.35,201.1,207.3,204.68398693445843,102866,2546,21055023.0,47434.0,46.11,7.25,6.2
14-January-2014,207.25,208.3,204.0,205.95,206.01856158577667,46009,1164,9478708.0,14983.0,32.57,4.3,-1.3
15-January-2014,205.55,209.5,205.55,208.95,208.36346014849855,60876,1486,12684334.0,25122.0,41.27,3.95,3.4
16-January-2014,208.8,212.5,208.8,212.05,211.0975426311353,77115,1864,16278787.0,30988.0,40.18,3.7,3.25
17-January-2014,215.0,227.45,213.95,224.5,222.69963347930772,515387,10958,114776496.0,128119.0,24.86,13.5,9.5
20-January-2014,225.0,225.0,220.0,224.0,223.26856039928253,102584,2650,22903782.0,23839.0,23.24,5.0,-1.0
21-January-2014,225.0,227.45,222.6,225.05,224.72290081544918,58618,1561,13172807.0,19747.0,33.69,4.85,0.05
22-January-2014,226.75,229.8,225.65,228.6,227.40773033357982,51382,1421,11684664.0,17854.0,34.75,4.15,1.85
23-January-2014,229.45,230.95,226.7,227.55,228.571104387292,34372,1305,7856446.0,12689.0,36.92,4.25,-1.9
24-January-2014,228.9,229.0,225.25,227.3,227.30341136380474,53996,1409,12273475.0,18158.0,33.63,3.75,-1.6
27-January-2014,227.0,227.35,221.7,223.65,224.06514307662758,52070,1340,11667072.0,19887.0,38.19,5.65,-3.35
28-January-2014,225.0,225.0,221.25,223.5,223.50220857680492,50485,936,11283509.0,8058.0,15.96,3.75,-1.5
29-January-2014,224.0,239.35,223.6,235.45,233.56274680279574,205883,4432,48086599.0,69593.0,33.8,15.75,11.45
