Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,945.0,952.2,943.15,947.6,947.9970198675496,81540,1995,77299677.0,56357.0,69.12,9.05,2.6
02-January-2014,947.0,958.75,930.0,936.05,948.698065213908,49928,3204,47366597.0,21198.0,42.46,28.75,-10.95
03-January-2014,932.0,932.0,897.6,900.05,906.7875879832933,111811,6850,101388827.0,39808.0,35.6,34.4,-31.95
06-January-2014,910.0,910.0,888.0,896.1,894.9941133186165,36693,2017,32840019.0,8013.0,21.84,22.0,-13.9
07-January-2014,901.0,907.35,891.0,903.15,899.6296464036501,59616,2580,53632321.0,8966.0,15.04,16.35,2.15
08-January-2014,907.85,914.8,899.0,907.3,907.6430862680864,58608,2633,53195146.0,12676.0,21.63,15.8,-0.55
09-January-2014,910.0,917.55,890.1,893.5,905.384827203844,54110,2523,48990373.0,11418.0,21.1,27.45,-16.5
10-January-2014,894.0,894.0,865.45,874.45,875.6877996302602,95743,4606,83840977.0,27829.0,29.07,28.55,-19.55
13-January-2014,875.1,890.95,875.1,889.05,885.0994761281104,33596,2088,29735802.0,11306.0,33.65,15.85,13.95
14-January-2014,891.9,900.0,883.2,889.45,891.9135366307178,26890,1468,23983555.0,6415.0,23.86,16.8,-2.45
15-January-2014,891.0,905.0,888.0,903.05,896.5522551339521,84097,3294,75397355.0,35175.0,41.83,17.0,12.05
16-January-2014,906.85,907.0,889.5,892.55,893.9112382984914,41234,2602,36859536.0,16916.0,41.02,17.5,-14.3
17-January-2014,889.45,905.0,889.45,898.45,898.54803751779,58319,1875,52402423.0,29675.0,50.88,15.55,9.0
20-January-2014,897.0,912.85,892.0,907.4,907.1052499142168,43715,2542,39654106.0,15728.0,35.98,20.85,10.4
21-January-2014,909.7,920.0,899.3,904.7,915.9064866693941,735863,2112,673981695.0,703916.0,95.66,20.7,-5.0
22-January-2014,904.6,917.1,902.0,916.05,912.3338697863472,96933,2766,88435259.0,53910.0,55.62,15.1,11.45
23-January-2014,916.0,916.05,887.2,890.2,892.8477643229527,72506,3290,64736820.0,25689.0,35.43,28.85,-25.8
24-January-2014,892.0,892.4,870.0,885.25,877.6290237395249,441163,2659,387177453.0,404019.0,91.58,22.4,-6.75
27-January-2014,865.0,874.85,859.0,867.3,866.1991509782208,37926,1886,32851469.0,12693.0,33.47,15.85,2.3
28-January-2014,877.0,879.5,864.0,873.45,874.5313661202188,64050,1931,56013734.0,29273.0,45.7,15.5,-3.55
29-January-2014,878.0,885.45,859.3,861.75,871.3231952388312,25876,1287,22546359.0,6408.0,24.76,26.15,-16.25
30-January-2014,862.5,877.0,851.0,869.3,865.2963446112852,36029,1957,31175762.0,8297.0,23.03,26.0,6.8
