Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,137.4,138.45,136.5,138.0,137.53445239178072,120935,1455,16632729.0,54464.0,45.04,1.95,0.6
02-January-2014,138.55,138.6,134.7,135.0,136.48887826523986,407895,4831,55673131.0,263907.0,64.7,3.9,-3.55
03-January-2014,135.1,135.9,131.7,132.0,133.10948115578145,483517,11359,64360697.0,293324.0,60.66,4.2,-3.1
06-January-2014,132.25,132.95,130.5,132.15,131.90176125522743,281447,3127,37123355.0,98492.0,34.99,2.45,-0.1
07-January-2014,132.1,132.65,129.5,129.8,130.55198806885042,365430,4293,47707613.0,221463.0,60.6,3.15,-2.3
08-January-2014,130.5,132.8,129.3,129.55,130.67290358068064,450864,9183,58915708.0,223892.0,49.66,3.5,-0.95
09-January-2014,130.0,134.1,129.95,133.7,132.69855322936178,386516,5597,51290114.0,158453.0,41.0,4.15,3.7
10-January-2014,133.9,134.0,130.9,131.4,132.53344144645678,165259,2339,21902344.0,63201.0,38.24,3.1,-2.5
13-January-2014,131.2,133.5,131.05,132.75,132.40037792338464,122247,1478,16185549.0,40261.0,32.93,2.45,1.55
14-January-2014,131.2,132.25,131.0,131.4,131.4460304485542,97870,1394,12864623.0,34465.0,35.22,1.25,0.2
15-January-2014,131.25,132.8,131.25,132.35,132.24987517475537,120168,1513,15892203.0,50342.0,41.89,1.55,1.1
16-January-2014,132.5,134.1,132.5,133.0,133.36661816442663,986896,1761,131618982.0,907948.0,92.0,1.6,0.5
17-January-2014,133.0,133.65,131.1,131.6,132.62165907992778,157292,2629,20860326.0,69492.0,44.18,2.55,-1.4
20-January-2014,131.8,133.4,131.55,131.85,132.1788856010833,99695,1336,13177574.0,38229.0,38.35,1.85,0.05
21-January-2014,131.8,132.8,129.95,130.75,130.85707213228378,262587,2746,34361366.0,110001.0,41.89,2.85,-1.05
22-January-2014,130.5,133.1,130.0,132.55,132.45973613042125,170463,1873,22579484.0,75140.0,44.08,3.1,2.05
23-January-2014,132.2,132.4,130.8,131.1,131.91736193708002,1144279,1208,150950267.0,570109.0,49.82,1.6,-1.1
24-January-2014,130.9,131.85,130.55,131.6,131.42724922454164,379453,2196,49870464.0,267902.0,70.6,1.3,0.7
27-January-2014,130.9,130.9,129.0,129.45,129.68229960001105,252757,2432,32778109.0,126687.0,50.12,1.9,-1.45
28-January-2014,129.75,131.55,128.2,128.7,129.27527458305485,258847,3434,33462517.0,114524.0,44.24,3.35,-1.05
29-January-2014,130.3,131.8,127.4,127.85,128.99864762738156,427397,3762,55133635.0,163606.0,38.28,4.4,-2.45
30-January-2014,128.0,130.15,126.35,128.1,128.0944634994996,322749,3395,41342360.0,138715.0,42.98,3.8,0.1
31-January-2014,126.05,126.9,123.75,126.4,125.18697718146652,353134,4283,44207778.0,158543.0,44.9,3.15,0.35
03-February-2014,126.9,126.9,125.15,126.0,125.62807616959249,235317,2973,29562422.0,165733.0,70.43,1.75,-0.9
04-February-2014,125.3,130.7,125.0,130.25,128.20021759392398,288611,4038,36999993.0,164616.0,57.04,5.7,4.95
05-February-2014,130.9,132.8,127.15,132.55,131.63793633215624,1109791,4610,146090597.0,757187.0,68.23,5.65,1.65
06-February-2014,132.75,134.2,130.8,133.75,133.23263819228129,947050,7739,126177970.0,693853.0,73.26,3.4,1.0
07-February-2014,133.85,136.15,132.7,136.0,135.56745308634527,994380,5337,134805564.0,739412.0,74.36,3.45,2.15
10-February-2014,136.0,136.6,133.3,135.7,135.65061017689536,2179368,5558,295632599.0,1640171.0,75.26,3.3,-0.3
11-February-2014,135.0,135.0,131.65,132.7,133.87826850093631,382859,1697,51256500.0,293477.0,76.65,3.35,-2.3
12-February-2014,132.7,132.7,130.45,131.1,131.77054670034474,751033,2972,98964029.0,513631.0,68.39,2.25,-1.6
13-February-2014,131.9,131.9,129.65,130.15,130.36524720728738,184319,1434,24028792.0,66946.0,36.32,2.25,-1.75
14-February-2014,130.6,132.8,129.75,132.2,131.94700430753167,145559,1909,19206074.0,37961.0,26.08,3.05,1.6
17-February-2014,131.6,134.25,131.6,133.65,133.35114706880577,109017,1098,14537542.0,52215.0,47.9,2.65,2.05
18-February-2014,133.65,134.45,133.0,133.85,133.79065981059944,97043,1291,12983447.0,38925.0,40.11,1.45,0.2
19-February-2014,133.55,134.0,131.95,132.1,132.64789935025948,74953,1028,9942358.0,26660.0,35.57,2.05,-1.45
