Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,ABB,EQ,693.3,688.2,698.2,683.65,687.0,686.1,688.77,68753,4735484640000.0,2572,28977,0.4215
02-January-2014,ABB,EQ,686.1,688.0,697.85,668.0,673.0,672.5,685.52,58490,4009630725000.0,3042,22446,0.3838
03-January-2014,ABB,EQ,672.5,670.0,691.95,650.2,667.0,666.4,671.94,103286,6940160225000.0,5489,44029,0.4263
06-January-2014,ABB,EQ,666.4,667.0,678.4,662.0,669.0,669.25,669.85,46407,3108562870000.0,2452,20312,0.4377
07-January-2014,ABB,EQ,669.25,664.0,678.0,657.45,660.0,661.8,668.38,48601,3248417510000.0,2755,22113,0.455
08-January-2014,ABB,EQ,661.8,662.1,675.0,661.0,663.0,663.2,668.42,58781,3929038965000.0,2831,14244,0.2423
09-January-2014,ABB,EQ,663.2,666.0,676.3,656.05,659.0,660.9,667.06,44472,2966530455000.0,2127,13540,0.3045
10-January-2014,ABB,EQ,660.9,655.05,671.45,650.0,650.0,652.1,660.26,45948,3033744405000.0,2705,13513,0.29410000000000003
13-January-2014,ABB,EQ,652.1,648.1,665.5,637.3,648.0,645.35,651.22,36848,2399628080000.0,2336,13640,0.3702
14-January-2014,ABB,EQ,645.35,643.3,660.0,643.3,650.5,649.25,653.21,45780,2990385775000.0,2027,11240,0.2455
15-January-2014,ABB,EQ,649.25,653.8,661.6,637.35,650.0,648.9,649.67,84151,5467042795000.0,4136,33212,0.3947
16-January-2014,ABB,EQ,648.9,651.1,656.45,642.6,643.0,644.0,648.6,29965,1943527855000.0,1560,11243,0.3752
17-January-2014,ABB,EQ,644.0,640.5,648.75,634.1,638.0,637.2,641.56,23162,1485971370000.0,1542,7536,0.3254
20-January-2014,ABB,EQ,637.2,631.05,639.0,631.05,636.5,634.35,634.94,17605,1117804585000.0,1221,5525,0.3138
21-January-2014,ABB,EQ,634.35,636.55,650.7,636.5,639.3,639.8,643.19,51868,3336108280000.0,2514,12672,0.2443
22-January-2014,ABB,EQ,639.8,639.9,646.0,635.0,636.9,636.75,641.13,35711,2289553955000.0,1641,9079,0.25420000000000004
23-January-2014,ABB,EQ,636.75,635.05,648.5,635.05,637.0,637.25,641.89,48735,3128257885000.0,2722,7465,0.1532
24-January-2014,ABB,EQ,637.25,637.0,639.95,614.35,615.5,616.85,623.04,48468,3019765930000.0,2855,25326,0.5225
27-January-2014,ABB,EQ,616.85,610.4,610.4,594.0,597.0,596.65,598.94,36680,2196898840000.0,2364,14130,0.3852
28-January-2014,ABB,EQ,596.65,595.0,605.9,586.0,590.0,588.4,594.36,25837,1535645955000.0,1945,9708,0.3757
29-January-2014,ABB,EQ,588.4,590.1,596.95,585.2,588.25,587.45,591.16,26116,1543865195000.0,2467,10856,0.4157
30-January-2014,ABB,EQ,587.45,590.65,595.05,566.95,583.9,579.15,578.44,78879,4562655530000.0,3913,46301,0.5870000000000001
31-January-2014,ABB,EQ,579.15,579.0,587.45,573.0,587.0,579.9,578.87,65542,3794056590000.0,3948,39810,0.6074
03-February-2014,ABB,EQ,579.9,576.2,588.0,572.95,574.0,575.15,576.16,126076,7264048870000.0,10799,98062,0.7778
04-February-2014,ABB,EQ,575.15,577.4,582.9,567.4,577.0,577.3,576.35,48422,2790788050000.0,3528,17896,0.3696
05-February-2014,ABB,EQ,577.3,575.2,611.9,575.2,601.0,601.75,601.05,190958,11477439445000.0,8885,58405,0.3059
06-February-2014,ABB,EQ,601.75,605.25,617.0,578.0,587.7,588.05,598.11,88187,5274568935000.0,4758,27300,0.30960000000000004
07-February-2014,ABB,EQ,588.05,591.15,594.5,583.05,592.0,590.1,589.69,37851,2232052785000.0,1929,16976,0.4485
10-February-2014,ABB,EQ,590.1,586.0,593.95,575.7,577.95,578.85,582.32,40865,2379641020000.0,2096,16236,0.3973
11-February-2014,ABB,EQ,578.85,578.05,582.85,571.7,574.0,574.45,577.95,23280,1345469945000.0,1577,9871,0.424
