Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,HINDUNILVR,EQ,570.65,570.65,574.4,569.3,572.75,572.35,571.86,251204,14365449290000.0,5393,100873,0.4016
02-January-2014,HINDUNILVR,EQ,572.35,571.0,575.75,558.6,563.5,562.4,566.94,531660,30141815755000.0,14035,305505,0.5746
03-January-2014,HINDUNILVR,EQ,562.4,560.0,567.4,558.05,565.0,565.0,563.2,1018173,57343042375000.0,16911,745360,0.7321
06-January-2014,HINDUNILVR,EQ,565.0,567.0,567.8,560.2,563.95,563.5,562.8,603727,33977803015000.0,9750,465931,0.7718
07-January-2014,HINDUNILVR,EQ,563.5,563.0,565.9,556.0,557.05,558.95,559.66,605461,33885093010000.004,12854,430436,0.7109000000000001
08-January-2014,HINDUNILVR,EQ,558.95,558.0,562.15,557.0,558.25,559.15,559.41,564149,31559054170000.0,19903,358422,0.6353
09-January-2014,HINDUNILVR,EQ,559.15,560.0,560.0,553.8,554.7,554.15,555.32,854783,47467768460000.0,30473,614294,0.7187
10-January-2014,HINDUNILVR,EQ,554.15,555.35,556.95,548.4,548.95,549.8,552.47,985783,54461442570000.01,35986,710809,0.7211
13-January-2014,HINDUNILVR,EQ,549.8,550.0,552.0,543.5,546.0,545.7,545.76,1488598,81241567945000.0,32845,1171924,0.7873000000000001
14-January-2014,HINDUNILVR,EQ,545.7,545.1,548.9,537.2,537.3,538.4,541.18,925057,50062640660000.0,30141,604210,0.6531999999999999
15-January-2014,HINDUNILVR,EQ,538.4,538.5,546.2,538.1,545.55,545.2,543.8,2060042,112026062340000.02,44449,1633516,0.7929999999999999
16-January-2014,HINDUNILVR,EQ,545.2,545.0,552.65,544.25,552.0,552.1,549.17,1221864,67101540635000.0,22198,817016,0.6687000000000001
17-January-2014,HINDUNILVR,EQ,552.1,553.0,563.0,552.5,559.5,558.9,558.98,1475015,82449877360000.0,26845,1085154,0.7356999999999999
20-January-2014,HINDUNILVR,EQ,558.9,559.9,562.3,548.3,556.0,555.1,555.06,1549558,86010370390000.0,32804,1238153,0.799
21-January-2014,HINDUNILVR,EQ,555.1,555.8,561.0,548.8,560.0,559.8,556.23,1927455,107211462245000.0,24725,1117746,0.5799000000000001
22-January-2014,HINDUNILVR,EQ,559.8,561.95,567.85,552.9,565.4,566.45,560.22,1892894,106043064855000.0,46708,1415001,0.7475
23-January-2014,HINDUNILVR,EQ,566.45,567.0,570.0,560.15,567.5,567.1,565.75,856175,48438498295000.0,29030,561037,0.6553
24-January-2014,HINDUNILVR,EQ,567.1,563.0,568.85,556.6,568.0,565.8,563.73,2366263,133392888959999.98,29804,1968336,0.8318000000000001
