Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,ITC,EQ,321.85,322.3,323.4,321.1,322.75,322.4,322.59,1239519,39986049175000.0,17450,640346,0.5166
02-January-2014,ITC,EQ,322.4,322.35,325.0,314.3,315.8,314.95,319.06,4523191,144318886690000.0,55314,3189507,0.7051000000000001
03-January-2014,ITC,EQ,314.95,315.0,316.0,310.35,316.0,314.75,313.36,7999918,250686339840000.0,88945,6092996,0.7615999999999999
06-January-2014,ITC,EQ,314.75,315.0,316.7,313.5,316.55,315.65,315.55,5436752,171559339725000.0,55433,4340089,0.7983
07-January-2014,ITC,EQ,315.65,316.5,317.4,312.75,317.0,316.7,315.82,5186092,163789513295000.0,56963,4043530,0.7797000000000001
08-January-2014,ITC,EQ,316.7,317.5,318.0,313.75,316.85,316.85,316.15,4983658,157557836915000.0,67758,3988207,0.8003
09-January-2014,ITC,EQ,316.85,316.7,316.7,312.65,316.0,315.6,314.63,5109246,160752574730000.0,77106,3922350,0.7676999999999999
10-January-2014,ITC,EQ,315.6,317.7,324.5,314.0,322.6,322.6,321.26,6124872,196768136125000.0,72982,3666709,0.5987
13-January-2014,ITC,EQ,322.6,323.6,326.3,322.6,326.0,325.45,324.85,4238931,137700838725000.0,65986,2813451,0.6637000000000001
14-January-2014,ITC,EQ,325.45,326.0,330.0,323.85,324.1,324.45,326.49,5045534,164731390330000.0,77542,3303772,0.6548
15-January-2014,ITC,EQ,324.45,325.1,329.5,321.35,328.7,328.85,325.53,5899190,192037900665000.0,161397,4190655,0.7104
16-January-2014,ITC,EQ,328.85,329.0,330.9,323.65,326.6,325.5,325.94,3163725,103118024075000.0,56529,1878168,0.5937
17-January-2014,ITC,EQ,325.5,326.0,328.0,322.5,325.0,324.85,324.93,7518595,244304474980000.03,71280,4020978,0.5347999999999999
20-January-2014,ITC,EQ,324.85,324.5,330.5,323.1,330.1,330.2,328.5,5738121,188499500580000.0,64788,3746063,0.6528
21-January-2014,ITC,EQ,330.2,330.25,332.35,328.5,328.5,329.05,329.93,4650020,153416103370000.0,41384,3419690,0.7354
22-January-2014,ITC,EQ,329.05,328.5,328.75,322.8,326.5,327.35,324.71,7578940,246095637465000.0,61872,6055571,0.799
23-January-2014,ITC,EQ,327.35,326.35,330.0,325.3,329.55,328.95,328.22,4195413,137700872295000.0,48121,2910026,0.6936
24-January-2014,ITC,EQ,328.95,327.9,330.4,323.4,324.5,324.25,325.65,3418348,111317323975000.0,75045,2021880,0.5915
27-January-2014,ITC,EQ,324.25,320.5,325.5,318.65,324.7,324.2,323.2,6162652,199175184850000.0,69520,4080358,0.6620999999999999
28-January-2014,ITC,EQ,324.2,324.15,327.95,318.9,327.4,326.65,322.79,8743040,282215937715000.0,95507,6430409,0.7354999999999999
29-January-2014,ITC,EQ,326.65,327.3,328.5,324.2,325.55,325.0,325.52,6083587,198032804205000.0,96824,4472299,0.7351000000000001
30-January-2014,ITC,EQ,325.0,321.55,325.7,318.0,325.0,324.6,321.14,10228302,328471750000000.0,82138,7750834,0.7578
31-January-2014,ITC,EQ,324.6,324.9,325.7,322.1,325.0,325.1,324.61,6254388,203021966480000.0,96224,5297874,0.8471
03-February-2014,ITC,EQ,325.1,322.65,324.75,319.7,321.3,320.3,321.8,4410235,141921112435000.0,74789,3385220,0.7676000000000001
04-February-2014,ITC,EQ,320.3,318.5,325.75,315.9,325.2,324.9,321.0,8587629,275661983315000.0,88437,6464161,0.7526999999999999
05-February-2014,ITC,EQ,324.9,322.5,324.75,317.5,318.75,318.95,319.03,6082648,194055976655000.0,81996,4067855,0.6688
06-February-2014,ITC,EQ,318.95,320.0,325.3,316.5,325.0,324.55,321.47,7733999,248623716285000.0,56582,5884496,0.7609
07-February-2014,ITC,EQ,324.55,327.0,327.0,320.2,324.0,323.45,322.57,7953386,256549967855000.03,57788,6106226,0.7678
10-February-2014,ITC,EQ,323.45,322.55,325.35,321.0,325.0,325.0,323.53,4546761,147102691370000.0,48189,3304103,0.7267
11-February-2014,ITC,EQ,325.0,324.1,326.25,322.55,325.1,325.1,325.08,5051779,164223700940000.0,50199,3519420,0.6967
12-February-2014,ITC,EQ,325.1,325.5,327.0,319.0,319.8,320.55,322.4,6080660,196039526665000.0,94977,4625902,0.7608
13-February-2014,ITC,EQ,320.55,320.7,323.0,315.25,316.2,316.9,319.47,2762835,88264079615000.0,46793,1745560,0.6318
14-February-2014,ITC,EQ,316.9,318.1,320.3,314.7,319.75,319.8,317.3,3872073,122859595440000.02,57430,2429771,0.6275000000000001
