Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,NTPC,EQ,137.0,137.5,138.65,136.6,138.05,138.2,137.53,1213227,16685840865000.0,7992,625986,0.516
02-January-2014,NTPC,EQ,138.2,138.8,138.8,134.65,134.8,134.9,136.49,4764799,65033888475000.0,30661,3528700,0.7406
03-January-2014,NTPC,EQ,134.9,135.0,135.5,131.5,132.05,131.75,132.93,7228862,96090255530000.0,51709,5613128,0.7765000000000001
06-January-2014,NTPC,EQ,131.75,132.8,133.0,130.35,132.2,132.15,131.92,3035769,40047719880000.0,20584,1724998,0.5682
07-January-2014,NTPC,EQ,132.15,132.15,132.8,129.5,130.0,129.85,130.43,3445366,44938136940000.0,29290,2459549,0.7139
08-January-2014,NTPC,EQ,129.85,130.65,132.9,129.1,129.3,129.55,130.61,5938919,77570522910000.0,64402,3625301,0.6104
09-January-2014,NTPC,EQ,129.55,129.8,134.0,129.5,133.5,133.65,133.18,7315773,97431205370000.0,43439,5022328,0.6865000000000001
10-January-2014,NTPC,EQ,133.65,133.75,133.9,131.0,131.1,131.4,132.58,2480925,32892929220000.0,18407,1370782,0.5525
13-January-2014,NTPC,EQ,131.4,130.5,133.4,130.4,132.5,132.75,132.27,2283443,30204032185000.004,11981,1591846,0.6970999999999999
14-January-2014,NTPC,EQ,132.75,131.7,132.5,130.8,131.3,131.25,131.37,2715535,35675210250000.0,27700,2066626,0.7609999999999999
15-January-2014,NTPC,EQ,131.25,132.25,132.85,131.45,132.1,132.25,132.17,5583147,73789927800000.0,51008,4604947,0.8248000000000001
16-January-2014,NTPC,EQ,132.25,132.55,134.2,132.55,133.05,133.15,133.79,5238158,70080621775000.0,24330,4341721,0.8289
17-January-2014,NTPC,EQ,133.15,133.2,133.75,131.15,132.0,131.6,132.99,9686445,128819915370000.0,41462,8321097,0.8590000000000001
20-January-2014,NTPC,EQ,131.6,132.0,133.5,131.5,131.55,131.85,132.33,2288260,30279879845000.0,10282,1576076,0.6888
21-January-2014,NTPC,EQ,131.85,131.6,133.0,129.75,130.7,130.75,130.68,9067857,118494591800000.0,19701,7949817,0.8767
22-January-2014,NTPC,EQ,130.75,130.5,133.2,130.5,132.4,132.65,132.61,4438582,58861149200000.0,22067,3588703,0.8085
23-January-2014,NTPC,EQ,132.65,131.75,132.4,130.75,131.3,131.1,131.62,3964418,52180566520000.0,14937,2918028,0.7361
24-January-2014,NTPC,EQ,131.1,130.8,131.9,130.65,131.65,131.5,131.16,3080062,40397746025000.0,19052,2518696,0.8177
27-January-2014,NTPC,EQ,131.5,130.25,130.7,129.1,129.5,129.45,129.61,2699822,34992907790000.0,16514,1882754,0.6973999999999999
28-January-2014,NTPC,EQ,129.45,129.8,132.0,128.15,128.4,128.5,129.12,3764855,48611794985000.0,26133,2710863,0.72
29-January-2014,NTPC,EQ,128.5,129.75,130.5,127.25,127.75,127.8,128.82,4019121,51776209120000.0,45412,2629467,0.6542
30-January-2014,NTPC,EQ,127.8,127.05,130.15,126.15,128.6,128.2,127.67,6001934,76629659750000.0,35561,3928316,0.6545000000000001
31-January-2014,NTPC,EQ,128.2,125.7,126.95,123.5,126.2,126.45,125.52,4369223,54842491295000.01,33801,2822382,0.6459999999999999
03-February-2014,NTPC,EQ,126.45,126.0,126.3,125.1,126.2,126.0,125.74,2904211,36518619935000.0,35093,2358398,0.8120999999999999
04-February-2014,NTPC,EQ,126.0,125.9,130.65,125.4,130.6,130.2,128.75,10508446,135295894045000.0,45421,8716589,0.8295
05-February-2014,NTPC,EQ,130.2,130.6,132.7,127.1,132.5,132.4,130.55,8496884,110930168325000.0,67970,6700988,0.7886
06-February-2014,NTPC,EQ,132.4,132.0,134.1,130.8,133.3,133.6,132.85,8205918,109016093715000.02,36328,6758935,0.8237000000000001
07-February-2014,NTPC,EQ,133.6,133.7,136.1,132.75,135.8,135.95,135.24,12080553,163374328060000.0,33126,9979307,0.8261000000000001
10-February-2014,NTPC,EQ,135.95,135.15,136.6,133.3,133.8,135.2,135.34,10642466,144034474650000.0,67668,8361444,0.7857
11-February-2014,NTPC,EQ,135.2,134.4,134.7,130.05,131.25,132.15,133.65,3603027,48155414285000.0,13030,2295945,0.6372
12-February-2014,NTPC,EQ,132.15,132.2,132.5,130.05,131.0,130.75,131.49,6154520,80923069630000.0,38955,4674784,0.7595999999999999
13-February-2014,NTPC,EQ,130.75,131.2,131.45,129.65,130.1,130.1,130.25,6901586,89895026065000.0,12541,6173699,0.8945000000000001
14-February-2014,NTPC,EQ,130.1,131.4,132.9,129.65,132.65,132.25,132.01,2251143,29716892715000.0,18816,1300742,0.5778
17-February-2014,NTPC,EQ,132.25,132.3,134.25,132.3,134.1,133.85,133.39,1194673,15935314040000.0,8290,691303,0.5787
18-February-2014,NTPC,EQ,133.85,133.6,134.55,133.0,133.8,133.85,133.83,1691351,22634773655000.0,16697,1056813,0.6248
19-February-2014,NTPC,EQ,133.85,134.4,134.4,132.05,132.25,132.35,132.93,1113395,14799989775000.0,24014,661501,0.5941
20-February-2014,NTPC,EQ,132.35,132.0,132.6,130.6,131.55,131.1,131.42,1838865,24165799280000.0,22451,1215868,0.6612
