Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,SHREECEM,EQ,4342.2,4340.0,4361.5,4311.05,4333.05,4344.55,4335.63,1041,451338585000.0,223,734,0.7051000000000001
02-January-2014,SHREECEM,EQ,4344.55,4360.7,4410.1,4349.95,4370.0,4374.15,4367.14,14506,6334977870000.0,1755,8811,0.6074
03-January-2014,SHREECEM,EQ,4374.15,4375.0,4420.0,4352.4,4420.0,4405.2,4377.86,5005,2191119810000.0,2122,4380,0.8751000000000001
06-January-2014,SHREECEM,EQ,4405.2,4400.0,4483.95,4370.05,4440.0,4459.85,4437.06,97536,43277308155000.0,1541,93678,0.9604
07-January-2014,SHREECEM,EQ,4459.85,4426.7,4465.0,4356.0,4375.0,4394.85,4416.27,4855,2144100890000.0,2563,3844,0.7918000000000001
08-January-2014,SHREECEM,EQ,4394.85,4395.0,4526.8,4394.95,4513.9,4509.95,4492.29,122019,54814456279999.99,2388,119562,0.9799
09-January-2014,SHREECEM,EQ,4509.95,4478.45,4500.0,4440.95,4500.0,4484.45,4487.09,52909,23740769140000.0,1720,52050,0.9838
10-January-2014,SHREECEM,EQ,4484.45,4450.0,4525.0,4420.0,4500.0,4489.6,4489.21,56362,25302108285000.0,1977,54977,0.9754
13-January-2014,SHREECEM,EQ,4489.6,4489.6,4499.9,4415.0,4420.0,4455.45,4482.08,4828,2163949055000.0,2798,4292,0.8890000000000001
14-January-2014,SHREECEM,EQ,4455.45,4489.05,4550.0,4439.5,4525.0,4525.55,4470.16,14655,6551018390000.0,1384,14012,0.9561
15-January-2014,SHREECEM,EQ,4525.55,4531.05,4549.8,4489.95,4507.05,4527.3,4517.66,1557,703400055000.0,331,858,0.5511
16-January-2014,SHREECEM,EQ,4527.3,4514.65,4550.1,4482.5,4492.0,4493.8,4546.02,9526,4330537205000.0,328,9126,0.958
17-January-2014,SHREECEM,EQ,4493.8,4545.0,4545.0,4475.05,4481.05,4490.15,4490.55,1636,734654060000.0,864,1429,0.8734999999999999
20-January-2014,SHREECEM,EQ,4490.15,4489.9,4500.0,4381.35,4390.0,4419.05,4489.29,16403,7363789609999.999,382,15789,0.9626
21-January-2014,SHREECEM,EQ,4419.05,4438.95,4500.0,4401.45,4500.0,4493.0,4496.13,14782,6646182920000.0,349,14415,0.9752
22-January-2014,SHREECEM,EQ,4493.0,4436.25,4480.0,4410.0,4420.0,4441.3,4438.76,5567,2471054980000.0,1586,3920,0.7041
23-January-2014,SHREECEM,EQ,4441.3,4445.0,4479.9,4430.0,4440.05,4444.95,4442.86,1787,793939175000.0,203,1278,0.7152
24-January-2014,SHREECEM,EQ,4444.95,4385.75,4486.0,4380.0,4392.0,4389.9,4456.49,5732,2554459450000.0,963,3568,0.6225
27-January-2014,SHREECEM,EQ,4389.9,4351.0,4379.7,4100.1,4329.9,4310.5,4242.97,26330,11171743655000.0,4616,12522,0.4756
28-January-2014,SHREECEM,EQ,4310.5,4252.0,4399.0,4125.25,4370.0,4313.25,4211.83,9204,3876568115000.0,3152,4941,0.5368
29-January-2014,SHREECEM,EQ,4313.25,4266.0,4442.9,4254.1,4422.0,4402.5,4341.64,11951,5188691970000.0,2907,8091,0.677
30-January-2014,SHREECEM,EQ,4402.5,4261.05,4489.45,4261.0,4320.05,4369.9,4396.17,12017,5282878345000.0,1452,9568,0.7962
31-January-2014,SHREECEM,EQ,4369.9,4320.05,4469.9,4261.0,4449.0,4436.7,4400.46,13606,5987259230000.0,3732,9831,0.7225
03-February-2014,SHREECEM,EQ,4436.7,4380.0,4460.0,4322.0,4365.95,4391.95,4431.13,4741,2100796865000.0,479,3861,0.8144
04-February-2014,SHREECEM,EQ,4391.95,4355.1,4445.0,4307.65,4310.0,4322.35,4344.65,1148,498766265000.0001,300,676,0.5889
05-February-2014,SHREECEM,EQ,4322.35,4369.65,4390.0,4309.95,4320.05,4338.3,4330.02,17263,7474916730000.0,759,16594,0.9612
06-February-2014,SHREECEM,EQ,4338.3,4399.95,4405.0,4300.0,4360.0,4369.55,4350.79,14534,6323438820000.0,3258,11834,0.8142
07-February-2014,SHREECEM,EQ,4369.55,4402.6,4435.0,4305.0,4305.0,4344.65,4379.09,6291,2754883005000.0,1299,5197,0.8261000000000001
10-February-2014,SHREECEM,EQ,4344.65,4349.1,4360.4,4286.2,4304.9,4305.65,4309.48,1301,560663410000.0,464,733,0.5634
11-February-2014,SHREECEM,EQ,4305.65,4365.0,4365.0,4210.8,4265.0,4261.25,4282.6,2340,1002129010000.0,474,1736,0.7419
12-February-2014,SHREECEM,EQ,4261.25,4266.0,4349.95,4250.05,4304.65,4306.55,4294.04,1293,555219355000.0,447,614,0.4749
13-February-2014,SHREECEM,EQ,4306.55,4395.0,4395.0,4282.5,4305.0,4299.85,4302.37,3216,1383642110000.0,920,2417,0.7515999999999999
14-February-2014,SHREECEM,EQ,4299.85,4267.0,4305.0,4225.0,4229.0,4262.4,4267.14,11561,4933237790000.0,1325,10063,0.8704000000000001
17-February-2014,SHREECEM,EQ,4262.4,4251.8,4305.0,4227.6,4305.0,4281.75,4255.05,34857,14831823610000.0,719,34281,0.9835
18-February-2014,SHREECEM,EQ,4281.75,4281.75,4290.05,4259.0,4290.0,4282.65,4274.39,46742,19979368620000.0,241,46461,0.994
19-February-2014,SHREECEM,EQ,4282.65,4290.0,4401.0,4272.6,4392.3,4377.8,4332.95,4308,1866633310000.0,1103,3440,0.7985
20-February-2014,SHREECEM,EQ,4377.8,4336.0,4395.0,4312.5,4371.0,4373.45,4358.74,10170,4432841070000.0,932,9516,0.9357
21-February-2014,SHREECEM,EQ,4373.45,4400.0,4573.0,4352.45,4560.0,4548.35,4418.07,23005,10163776595000.0,1366,21529,0.9358
24-February-2014,SHREECEM,EQ,4548.35,4572.3,4825.0,4551.0,4800.0,4786.75,4687.5,11646,5459058720000.0,2596,6506,0.5586
25-February-2014,SHREECEM,EQ,4786.75,4798.95,4838.9,4652.0,4680.0,4719.5,4787.69,6893,3300152400000.0,714,5637,0.8178000000000001
26-February-2014,SHREECEM,EQ,4719.5,4744.95,4763.15,4621.0,4625.05,4695.85,4708.15,3418,1609245110000.0,1058,2329,0.6814
28-February-2014,SHREECEM,EQ,4695.85,4694.95,4765.05,4623.0,4751.0,4688.5,4702.03,22560,10607768745000.0,3329,19425,0.861
03-March-2014,SHREECEM,EQ,4688.5,4688.55,4749.0,4631.15,4748.0,4720.9,4696.03,1460,685620140000.0,507,993,0.6801
04-March-2014,SHREECEM,EQ,4720.9,4674.0,4825.0,4673.45,4800.0,4772.25,4750.74,58472,27778502155000.0,626,57394,0.9816
05-March-2014,SHREECEM,EQ,4772.25,4874.05,4874.4,4780.0,4818.0,4820.6,4819.31,41006,19762082460000.0,1431,39911,0.9733
06-March-2014,SHREECEM,EQ,4820.6,4838.2,5080.0,4824.95,4999.95,4999.05,4875.38,71328,34775121110000.004,4645,66228,0.9285
07-March-2014,SHREECEM,EQ,4999.05,5089.0,5140.1,5011.0,5095.0,5118.95,5067.4,30702,15557941894999.998,2516,26877,0.8754000000000001
10-March-2014,SHREECEM,EQ,5118.95,5174.0,5209.9,5120.0,5180.0,5168.45,5170.5,10758,5562425705000.0,2291,8491,0.7893000000000001
11-March-2014,SHREECEM,EQ,5168.45,5215.0,5249.0,5130.0,5200.0,5231.8,5194.69,15336,7966570695000.0,2941,13281,0.866
12-March-2014,SHREECEM,EQ,5231.8,5209.95,5270.0,5130.0,5245.0,5247.2,5232.47,4828,2526235370000.0,1658,2644,0.5476
13-March-2014,SHREECEM,EQ,5247.2,5229.0,5262.05,5001.0,5100.0,5093.15,5125.86,18204,9331114195000.0,6125,12353,0.6786
14-March-2014,SHREECEM,EQ,5093.15,5100.0,5150.0,5091.0,5100.0,5103.25,5112.95,1134,579808080000.0,349,789,0.6958
18-March-2014,SHREECEM,EQ,5103.25,5164.0,5209.0,5140.0,5180.0,5194.0,5187.5,8150,4227810635000.0,847,7614,0.9342
19-March-2014,SHREECEM,EQ,5194.0,5190.0,5215.0,5129.95,5215.0,5199.8,5198.54,32595,16944635044999.998,1609,31643,0.9708
20-March-2014,SHREECEM,EQ,5199.8,5213.15,5244.4,5195.0,5220.0,5200.4,5213.67,11975,6243373710000.0,829,11203,0.9355
21-March-2014,SHREECEM,EQ,5200.4,5231.3,5250.0,5025.0,5100.0,5084.1,5106.52,7149,3650653825000.0,1972,4716,0.6597
22-March-2014,SHREECEM,EQ,5084.1,5134.25,5148.95,5111.05,5138.0,5135.55,5128.64,99,50773490000.0,34,78,0.7879
24-March-2014,SHREECEM,EQ,5135.55,5141.1,5310.0,5140.0,5308.0,5298.95,5291.93,60837,32194544080000.0,3051,58319,0.9586
25-March-2014,SHREECEM,EQ,5298.95,5298.7,5309.9,5270.25,5309.8,5276.45,5284.04,25960,13717378755000.002,2636,25348,0.9764
26-March-2014,SHREECEM,EQ,5276.45,5324.95,5365.0,5301.0,5355.0,5351.25,5333.12,5279,2815356005000.0,1014,4656,0.882
27-March-2014,SHREECEM,EQ,5351.25,5365.0,5525.0,5290.0,5450.0,5503.45,5403.22,27225,14710261110000.0,2397,24844,0.9125
28-March-2014,SHREECEM,EQ,5503.45,5406.3,5699.7,5406.3,5659.0,5634.75,5593.51,6626,3706262865000.0,1536,4407,0.6651
31-March-2014,SHREECEM,EQ,5634.75,5650.05,5754.0,5540.05,5690.0,5670.95,5663.3,8353,4730552685000.0,2316,5935,0.7105
01-April-2014,SHREECEM,EQ,5670.95,5670.0,5757.0,5525.0,5699.0,5694.45,5693.57,17727,10092998300000.0,4211,13619,0.7683
02-April-2014,SHREECEM,EQ,5694.45,5700.05,5751.0,5450.0,5751.0,5747.2,5723.58,3894,2228762155000.0,995,2920,0.7499
03-April-2014,SHREECEM,EQ,5747.2,5749.95,5915.05,5670.0,5730.0,5796.1,5801.72,15965,9262439555000.0,2769,11165,0.6993
04-April-2014,SHREECEM,EQ,5796.1,5701.0,5792.75,5631.0,5631.0,5661.0,5731.11,7829,4486885370000.0,1632,6398,0.8172
07-April-2014,SHREECEM,EQ,5661.0,5632.0,5730.0,5585.5,5619.9,5615.35,5634.18,3823,2153945795000.0,913,2297,0.6008
09-April-2014,SHREECEM,EQ,5615.35,5586.0,5686.0,5580.05,5600.0,5598.45,5624.81,3133,1762253985000.0002,1082,2243,0.7159000000000001
10-April-2014,SHREECEM,EQ,5598.45,5522.05,5670.0,5482.0,5635.0,5613.0,5576.11,17427,9717494905000.0,5142,13070,0.75
11-April-2014,SHREECEM,EQ,5613.0,5605.35,5889.7,5600.0,5850.0,5849.35,5711.26,49046,28011459365000.0,2284,46136,0.9407
15-April-2014,SHREECEM,EQ,5849.35,5840.0,5998.95,5750.0,5874.95,5831.6,5840.51,4484,2618885620000.0,1185,2848,0.6351
16-April-2014,SHREECEM,EQ,5831.6,5776.05,5999.4,5776.05,5850.0,5857.75,5893.35,5828,3434646940000.0,1774,3560,0.6108
17-April-2014,SHREECEM,EQ,5857.75,5800.0,5839.9,5690.55,5780.0,5768.45,5777.74,8587,4961342825000.0,2784,5611,0.6534000000000001
21-April-2014,SHREECEM,EQ,5768.45,5800.0,5871.9,5702.0,5747.35,5738.45,5783.68,3014,1743199710000.0002,1486,1863,0.6181
22-April-2014,SHREECEM,EQ,5738.45,5760.05,5880.0,5705.1,5800.0,5847.55,5825.95,2625,1529312065000.0,1270,1377,0.5246000000000001
23-April-2014,SHREECEM,EQ,5847.55,5775.85,5998.95,5775.85,5910.0,5906.4,5928.6,22312,13227902110000.0,2284,19282,0.8642000000000001
25-April-2014,SHREECEM,EQ,5906.4,5990.0,5990.0,5777.85,5800.0,5812.65,5873.26,3750,2202471025000.0,1800,2638,0.7034999999999999
28-April-2014,SHREECEM,EQ,5812.65,5820.0,5890.0,5655.1,5682.5,5732.8,5753.59,20612,11859293575000.0,3663,9706,0.4709
29-April-2014,SHREECEM,EQ,5732.8,5677.6,5785.0,5675.5,5714.9,5701.05,5715.38,15881,9076590230000.0,1967,13482,0.8489
30-April-2014,SHREECEM,EQ,5701.05,5701.0,5739.95,5690.0,5715.0,5701.45,5705.55,28305,16149565669999.998,2523,22397,0.7913
02-May-2014,SHREECEM,EQ,5701.45,5715.0,5730.0,5660.05,5700.4,5700.4,5700.6,6139,3499601215000.0,1274,5258,0.8565
05-May-2014,SHREECEM,EQ,5700.4,5661.0,5735.1,5661.0,5700.0,5700.05,5700.85,18503,10548290060000.0,909,18039,0.9749
06-May-2014,SHREECEM,EQ,5700.05,5703.2,5809.95,5698.0,5730.0,5727.35,5742.64,3605,2070220815000.0,542,2505,0.6949
07-May-2014,SHREECEM,EQ,5727.35,5727.35,5800.0,5720.05,5800.0,5786.4,5782.42,3064,1771734125000.0,699,2350,0.767
08-May-2014,SHREECEM,EQ,5786.4,5794.95,5799.0,5698.8,5728.9,5715.95,5756.76,7894,4544386005000.0,975,1824,0.2311
09-May-2014,SHREECEM,EQ,5715.95,5695.0,5801.8,5695.0,5800.05,5766.05,5734.28,22913,13138966210000.0,989,20973,0.9153
