Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,TCS,EQ,2172.05,2180.1,2184.5,2151.1,2153.7,2153.3,2159.55,264976,57222810010000.0,15040,105354,0.3976
02-January-2014,TCS,EQ,2153.3,2166.0,2189.0,2156.15,2167.95,2167.0,2170.96,863474,187456523040000.0,60050,550431,0.6375000000000001
03-January-2014,TCS,EQ,2167.0,2164.7,2229.1,2147.25,2224.1,2222.2,2206.7,1309087,288875665920000.0,84697,660519,0.5046
06-January-2014,TCS,EQ,2222.2,2229.0,2244.0,2197.0,2234.8,2239.6,2224.18,1155905,257094080345000.0,75432,685611,0.5931000000000001
07-January-2014,TCS,EQ,2239.6,2240.0,2256.45,2199.0,2207.9,2206.15,2227.87,1448743,322761303935000.0,62312,891246,0.6152000000000001
08-January-2014,TCS,EQ,2206.15,2212.0,2244.0,2210.0,2229.95,2232.65,2230.54,1275010,284395479830000.0,98989,885134,0.6942
09-January-2014,TCS,EQ,2232.65,2228.75,2255.5,2222.1,2239.0,2241.95,2239.21,1291103,289105711830000.0,65056,951806,0.7372
10-January-2014,TCS,EQ,2241.95,2260.0,2309.8,2235.0,2290.0,2280.9,2277.05,1684667,383607188890000.0,114749,919520,0.5458
13-January-2014,TCS,EQ,2280.9,2285.0,2384.0,2285.0,2380.0,2368.75,2345.06,1907158,447240315265000.0,98245,1205443,0.6321
14-January-2014,TCS,EQ,2368.75,2372.0,2384.8,2320.0,2330.0,2326.75,2339.0,1487482,347922265695000.0,80128,923510,0.6209
15-January-2014,TCS,EQ,2326.75,2342.45,2378.2,2327.0,2361.0,2353.6,2353.56,1524427,358783122670000.0,96472,946527,0.6209
16-January-2014,TCS,EQ,2353.6,2380.0,2380.1,2325.0,2359.0,2350.3,2348.09,1498981,351974319780000.0,71105,780159,0.5205
17-January-2014,TCS,EQ,2350.3,2298.0,2298.0,2206.05,2219.85,2213.05,2243.52,3782378,848584147905000.0,175551,1795473,0.4747
20-January-2014,TCS,EQ,2213.05,2218.95,2350.0,2215.5,2334.9,2338.2,2297.8,3005279,690552909590000.0,117743,1466375,0.4879
21-January-2014,TCS,EQ,2338.2,2334.0,2339.25,2275.1,2285.25,2280.3,2296.99,1566141,359741784630000.0,80762,648210,0.4139
22-January-2014,TCS,EQ,2280.3,2287.1,2296.85,2264.1,2270.35,2274.05,2278.77,1192015,271633348725000.0,46033,678030,0.5688000000000001
23-January-2014,TCS,EQ,2274.05,2268.1,2276.7,2237.3,2254.15,2252.45,2255.27,1145381,258313954630000.03,76521,630085,0.5501
24-January-2014,TCS,EQ,2252.45,2244.0,2283.25,2235.0,2249.0,2248.7,2265.0,925133,209542638345000.0,47071,439013,0.4745
27-January-2014,TCS,EQ,2248.7,2226.0,2259.5,2220.1,2237.0,2229.6,2238.52,1266474,283502195015000.0,66877,746905,0.5898
28-January-2014,TCS,EQ,2229.6,2232.0,2247.85,2196.1,2215.0,2212.35,2218.54,1426083,316382743070000.0,86501,1007345,0.7064
29-January-2014,TCS,EQ,2212.35,2240.0,2240.0,2205.0,2213.05,2209.8,2218.34,849038,188345504345000.0,71191,537879,0.6335000000000001
30-January-2014,TCS,EQ,2209.8,2198.05,2227.0,2190.0,2222.25,2217.6,2203.42,1112625,245158260400000.0,55368,711029,0.6391
31-January-2014,TCS,EQ,2217.6,2225.1,2269.8,2221.0,2230.95,2241.05,2252.12,1087123,244832637130000.03,50891,630268,0.5798
03-February-2014,TCS,EQ,2241.05,2222.0,2244.25,2190.8,2192.7,2194.45,2205.35,681240,150237551280000.0,42400,473787,0.6955
04-February-2014,TCS,EQ,2194.45,2174.0,2175.0,2112.05,2162.0,2151.35,2142.57,1347083,288622002410000.0,104256,803065,0.5962
05-February-2014,TCS,EQ,2151.35,2163.8,2200.0,2140.0,2196.25,2194.4,2172.56,926825,201358489665000.0,70158,445505,0.4807
06-February-2014,TCS,EQ,2194.4,2180.0,2189.9,2145.0,2169.6,2175.25,2169.33,961326,208543556555000.0,69578,559364,0.5819
07-February-2014,TCS,EQ,2175.25,2190.0,2195.0,2131.0,2142.9,2144.4,2157.53,995456,214772885645000.0,59579,569008,0.5716
10-February-2014,TCS,EQ,2144.4,2144.0,2144.0,2085.1,2092.55,2093.55,2105.79,2009635,423187629360000.0,97216,1459488,0.7262000000000001
11-February-2014,TCS,EQ,2093.55,2100.0,2126.5,2096.0,2100.0,2101.7,2111.34,1784393,376746765445000.0,74292,1177759,0.66
12-February-2014,TCS,EQ,2101.7,2118.0,2123.6,2095.0,2098.8,2105.45,2111.78,1537174,324617008770000.0,66032,1142769,0.7434000000000001
