Date,Open,High,Low,Close
1-January-2014,21222.19,21244.35,21133.82,21140.48,
2-January-2014,21179.91,21331.32,20846.67,20888.33,
3-January-2014,20819.58,20885.18,20731.33,20851.33,
6-January-2014,20913.79,20913.79,20721.98,20787.30,
7-January-2014,20845.77,20890.48,20637.18,20693.24,
8-January-2014,20767.42,20786.41,20688.18,20729.38,
9-January-2014,20755.73,20778.13,20652.69,20713.37,
10-January-2014,20760.72,20971.23,20625.17,20758.49,
13-January-2014,20850.54,21169.08,20850.54,21134.21,
14-January-2014,21115.00,21154.76,21009.05,21032.88,
15-January-2014,21091.46,21302.73,21091.46,21289.49,
16-January-2014,21366.91,21379.29,21199.65,21265.18,
17-January-2014,21236.65,21270.11,21015.61,21063.62,
20-January-2014,21083.53,21221.37,21001.13,21205.05,
21-January-2014,21237.96,21302.52,21189.20,21251.12,
22-January-2014,21251.65,21377.91,21168.43,21337.67,
23-January-2014,21319.69,21409.66,21264.71,21373.66,
24-January-2014,21289.15,21333.66,21123.99,21133.56,
27-January-2014,20899.03,20899.03,20688.03,20707.45,
28-January-2014,20721.17,20795.35,20554.28,20683.51,
29-January-2014,20784.04,20828.68,20613.62,20647.30,
30-January-2014,20491.74,20528.41,20343.78,20498.25,
31-January-2014,20544.64,20572.32,20448.43,20513.85,
3-February-2014,20479.03,20480.35,20182.20,20209.26,
4-February-2014,20050.99,20255.52,19963.12,20211.93,
5-February-2014,20241.12,20289.33,20076.10,20261.03,
6-February-2014,20286.09,20358.19,20079.82,20310.74,
7-February-2014,20441.04,20450.51,20282.30,20376.56,
10-February-2014,20429.16,20434.50,20312.21,20334.27,
11-February-2014,20400.94,20443.35,20349.51,20363.37,
12-February-2014,20449.83,20516.60,20427.23,20448.49,
13-February-2014,20478.67,20503.86,20164.67,20193.35,
14-February-2014,20265.13,20391.95,20149.01,20366.82,
17-February-2014,20438.87,20492.43,20338.95,20464.06,
18-February-2014,20457.56,20685.02,20436.48,20634.21,
19-February-2014,20643.85,20750.52,20629.56,20722.97,
20-February-2014,20661.07,20662.66,20522.04,20536.64,
21-February-2014,20600.58,20725.04,20599.91,20700.75,
24-February-2014,20695.48,20828.63,20637.30,20811.44,
25-February-2014,20877.72,20912.54,20777.73,20852.47,
26-February-2014,20869.61,21005.04,20860.02,20986.99,
28-February-2014,20995.39,21140.51,20989.66,21120.12,
