Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,479.0,479.0,470.05,472.45,474.4912579957357,7035,465,3338046.0,3620.0,51.46,8.95,-6.55
02-January-2014,475.0,476.3,457.35,459.05,467.60592509782,17890,1005,8365470.0,9135.0,51.06,18.95,-15.95
03-January-2014,465.0,468.0,456.55,460.8,461.3549880633727,13823,739,6377310.0,6835.0,49.45,11.45,-4.2
06-January-2014,465.5,481.0,463.1,470.5,474.05320363771455,72683,2393,34455609.0,42832.0,58.93,17.9,5.0
07-January-2014,467.0,478.9,467.0,473.85,476.1431493732592,22976,1190,10939865.0,10371.0,45.14,11.9,6.85
08-January-2014,477.5,477.5,465.25,470.05,472.07222762645927,8224,482,3882322.0,3405.0,41.4,12.25,-7.45
09-January-2014,470.15,477.0,467.6,468.9,471.3667693630436,13957,675,6578866.0,4060.0,29.09,9.4,-1.25
10-January-2014,473.7,473.7,458.1,459.75,463.3445832923349,10163,675,4708971.0,3958.0,38.95,15.6,-13.95
13-January-2014,470.0,470.0,446.05,452.75,454.29639325189066,10314,703,4685613.0,5496.0,53.29,23.95,-17.25
14-January-2014,457.0,471.0,456.0,469.45,463.84957088366167,12584,929,5837083.0,6512.0,51.75,15.0,12.45
15-January-2014,474.45,475.0,454.0,464.6,465.3945623745514,16441,773,7651552.0,10347.0,62.93,21.0,-9.85
16-January-2014,465.25,471.0,460.35,465.9,468.8062000103648,115774,768,54275569.0,109848.0,94.88,10.65,0.65
17-January-2014,466.3,466.3,451.5,453.75,457.4136733876352,7489,659,3425571.0,4265.0,56.95,14.8,-12.55
20-January-2014,457.0,459.0,451.05,452.75,456.4864048338369,15226,536,6950462.0,11369.0,74.67,7.95,-4.25
21-January-2014,455.5,464.0,455.35,460.15,462.98885256696684,42521,595,19686749.0,39121.0,92.0,8.65,4.65
22-January-2014,460.0,466.7,455.1,457.45,460.7574087680626,8166,552,3762545.0,2824.0,34.58,11.6,-2.55
23-January-2014,460.1,463.7,454.35,454.95,458.5386759581881,5740,368,2632012.0,3150.0,54.88,9.35,-5.15
24-January-2014,456.55,459.95,446.5,448.4,451.00177541056365,4506,318,2032214.0,2425.0,53.82,13.45,-8.15
27-January-2014,456.0,456.0,431.0,435.0,440.9762986256697,17172,937,7572445.0,11554.0,67.28,25.0,-21.0
28-January-2014,431.0,445.0,431.0,434.25,435.60306432603437,16121,463,7022357.0,12184.0,75.58,14.0,3.25
29-January-2014,440.0,441.4,426.5,429.8,432.1825047888352,54815,491,23690084.0,50783.0,92.64,14.9,-10.2
30-January-2014,428.0,439.0,423.25,432.1,434.2377728888137,11818,918,5131822.0,4698.0,39.75,15.75,4.1
31-January-2014,435.9,443.0,428.0,435.55,433.6435912244752,126397,2004,54811249.0,116164.0,91.9,15.0,-0.35
03-February-2014,442.0,448.9,437.15,440.75,442.633275462963,17280,1241,7648703.0,9841.0,56.95,11.75,-1.25
04-February-2014,445.0,445.0,436.0,439.25,439.2083654290556,12982,642,5701803.0,5380.0,41.44,9.0,-5.75
05-February-2014,443.0,451.2,436.25,444.95,447.38200519081033,52015,2577,23270575.0,28807.0,55.38,14.95,1.95
06-February-2014,444.0,445.6,433.05,435.7,436.61491694193114,20889,898,9120449.0,11871.0,56.83,12.55,-8.3
07-February-2014,438.5,447.9,433.0,445.5,440.6593122639632,15093,958,6650871.0,6754.0,44.75,14.9,7.0
10-February-2014,446.6,448.85,438.0,446.95,444.6866546864656,10573,646,4701672.0,3746.0,35.43,10.85,0.35
11-February-2014,449.35,451.0,441.55,446.0,445.64118792599805,6162,385,2746041.0,2573.0,41.76,9.45,-3.35
12-February-2014,442.0,456.5,442.0,446.75,450.41827168413846,68587,1159,30892838.0,53500.0,78.0,14.5,4.75
13-February-2014,443.0,446.0,433.8,435.15,436.994791101465,18430,853,8053814.0,8810.0,47.8,12.2,-7.85
14-February-2014,442.55,443.5,437.6,438.3,439.44288669271424,4351,374,1912016.0,1930.0,44.36,5.9,-4.25
17-February-2014,439.1,439.9,431.6,434.7,435.9667638483965,6860,416,2990732.0,2509.0,36.57,8.3,-4.4
18-February-2014,434.6,463.0,431.7,459.55,451.18905472636817,32763,1839,14782307.0,15743.0,48.05,31.3,24.95
19-February-2014,459.0,476.0,459.0,474.05,469.99245057571136,36824,2115,17307002.0,15259.0,41.44,17.0,15.05
20-February-2014,477.0,477.0,460.1,463.05,465.86015305587586,9539,687,4443840.0,2713.0,28.44,16.9,-13.95
21-February-2014,466.4,470.35,461.0,466.9,464.7571652801757,63710,1204,29609679.0,49066.0,77.01,9.35,0.5
