Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,478.0,486.5,474.5,476.0,478.93415989739196,4678,650,2240454.0,1634.0,34.93,12.0,-2.0
02-January-2014,476.0,483.5,472.6,480.8,480.6621538461536,8125,635,3905380.0,4262.0,52.46,10.9,4.8
03-January-2014,480.0,484.0,475.0,479.0,479.5956432947583,2938,391,1409052.0,1597.0,54.36,9.0,-1.0
06-January-2014,479.45,483.9,473.5,475.4,479.03731053245247,5146,472,2465126.0,2996.0,58.22,10.4,-4.05
07-January-2014,478.0,482.7,475.1,477.45,478.08835341365454,2490,316,1190440.0,1252.0,50.28,7.6,-0.55
08-January-2014,480.0,481.0,471.7,474.2,475.2137493742701,5993,590,2847956.0,3600.0,60.07,9.3,-5.8
09-January-2014,475.1,479.5,474.15,475.65,476.6537567776916,2582,283,1230720.0,996.0,38.57,5.35,0.55
10-January-2014,476.0,478.9,473.0,474.7,474.571902196436,7239,465,3435426.0,4486.0,61.97,5.9,-1.3
13-January-2014,475.0,477.5,469.15,471.35,472.53770812928497,3063,299,1447383.0,1714.0,55.96,8.35,-3.65
14-January-2014,471.4,473.0,460.0,462.05,464.5998753289928,14438,1494,6707893.0,8654.0,59.94,13.0,-9.35
15-January-2014,463.0,463.9,457.1,458.1,460.6279479533748,7378,864,3398513.0,5393.0,73.1,6.8,-4.9
16-January-2014,459.5,464.95,446.7,449.3,454.32680091094323,16686,1427,7580897.0,10780.0,64.61,18.25,-10.2
17-January-2014,448.0,448.65,431.6,435.5,437.78247806753996,24963,2153,10928364.0,14444.0,57.86,17.05,-12.5
20-January-2014,444.5,445.95,439.5,443.85,442.71908953376425,14542,1205,6438021.0,5632.0,38.73,6.45,-0.65
21-January-2014,456.05,467.9,446.55,447.95,456.83599597502297,72547,4146,33142081.0,25328.0,34.91,21.35,-8.1
22-January-2014,451.0,456.0,448.0,454.1,452.4275220981865,24097,1437,10902146.0,11575.0,48.04,8.0,3.1
23-January-2014,458.9,459.9,450.25,456.6,456.06102800763847,12568,894,5731775.0,5406.0,43.01,9.65,-2.3
24-January-2014,457.0,458.7,447.2,451.05,449.49126155233284,66545,812,29911396.0,61726.0,92.76,11.5,-5.95
27-January-2014,447.0,447.0,433.0,443.7,441.30838751056825,34301,1652,15137319.0,18108.0,52.79,14.0,-3.3
28-January-2014,443.65,443.7,421.0,433.25,431.15507163732264,28058,2694,12097349.0,11134.0,39.68,22.7,-10.4
29-January-2014,437.0,449.5,425.6,445.3,433.8186296462159,24563,1985,10655887.0,11398.0,46.4,23.9,8.3
30-January-2014,437.0,452.0,435.1,450.45,442.83553421368555,7497,574,3319938.0,3108.0,41.46,16.9,13.45
31-January-2014,451.2,462.0,444.0,456.05,453.10082756291166,11842,894,5365620.0,4573.0,38.62,18.0,4.85
03-February-2014,450.1,455.0,445.05,446.4,449.093878954608,2908,466,1305965.0,1332.0,45.8,9.95,-3.7
04-February-2014,440.65,457.65,440.6,452.15,450.51971636112086,5782,465,2604905.0,2163.0,37.41,17.05,11.5
05-February-2014,450.7,459.8,445.0,455.9,453.21812796208525,8440,673,3825161.0,3202.0,37.94,14.8,5.2
06-February-2014,454.0,455.15,451.1,452.15,453.05136186770414,2570,268,1164342.0,1271.0,49.46,4.05,-1.85
07-February-2014,452.1,465.0,448.65,459.1,456.32964176743144,8849,604,4038061.0,6192.0,69.97,16.35,7.0
10-February-2014,458.95,458.95,449.1,452.25,452.7925874769796,4344,388,1966931.0,1959.0,45.1,9.85,-6.7
11-February-2014,452.3,452.3,446.1,448.05,449.11314611314623,2457,336,1103471.0,1295.0,52.71,6.2,-4.25
12-February-2014,451.8,451.8,444.0,445.3,447.0222344221795,3643,322,1628502.0,1116.0,30.63,7.8,-6.5
13-February-2014,443.0,443.0,429.0,432.45,435.178947368421,13300,1164,5787880.0,6675.0,50.19,14.0,-10.55
14-February-2014,435.0,439.55,432.0,435.15,435.11625203441065,4301,339,1871435.0,1584.0,36.83,7.55,0.15
17-February-2014,435.0,440.0,427.0,434.25,433.83325693330266,8726,707,3785629.0,3812.0,43.69,13.0,-0.75
18-February-2014,434.5,441.9,433.65,435.6,435.80345951366263,3989,449,1738420.0,2269.0,56.88,8.25,1.1
19-February-2014,437.9,439.6,431.7,437.9,436.8965120735914,2609,234,1139863.0,1500.0,57.49,7.9,0.0
20-February-2014,440.7,450.9,435.1,448.15,443.775697935608,9349,907,4148859.0,4222.0,45.16,15.8,7.45
21-February-2014,448.0,457.5,443.0,452.65,448.3868223943127,7877,706,3531943.0,3415.0,43.35,14.5,4.65
24-February-2014,452.1,462.8,450.1,460.05,457.2143268953588,6938,902,3172153.0,3496.0,50.39,12.7,7.95
25-February-2014,460.05,464.5,457.55,462.6,461.38230500582085,4295,610,1981637.0,2960.0,68.92,6.95,2.55
26-February-2014,462.8,471.5,455.0,469.5,465.589253059502,14218,1585,6619748.0,8236.0,57.93,16.5,6.7
28-February-2014,466.8,473.0,462.5,463.1,465.49184032136566,3983,320,1854054.0,1973.0,49.54,10.5,-3.7
03-March-2014,467.0,468.95,460.0,460.75,462.96100583090373,2744,231,1270365.0,1300.0,47.38,8.95,-6.25
04-March-2014,462.9,462.9,454.0,455.75,458.3209114139693,4696,363,2152275.0,3885.0,82.73,8.9,-7.15
05-March-2014,456.0,466.75,454.55,456.3,459.34726277372255,5480,560,2517223.0,1476.0,26.93,12.2,0.3
06-March-2014,461.3,466.0,458.5,464.65,463.11451990632327,4270,596,1977499.0,2666.0,62.44,7.5,3.35
07-March-2014,466.25,466.25,451.0,452.45,457.72853708791206,5824,810,2665811.0,3848.0,66.07,15.25,-13.8
10-March-2014,452.45,457.1,442.8,445.7,446.4068374247831,18779,792,8383074.0,11622.0,61.89,14.3,-6.75
11-March-2014,449.35,449.35,441.0,441.8,442.5322090129941,3617,525,1600639.0,2231.0,61.68,8.35,-7.55
12-March-2014,441.55,453.6,439.1,447.25,446.83035891992307,15073,948,6735074.0,5108.0,33.89,14.5,5.7
13-March-2014,446.0,453.0,445.0,445.45,449.3571428571429,3696,345,1660824.0,992.0,26.84,8.0,-0.55
14-March-2014,445.35,445.35,440.75,441.3,441.87899235267656,2223,252,982297.0,1371.0,61.67,4.6,-4.05
18-March-2014,454.0,458.45,443.55,455.1,451.09695197390624,8891,801,4010703.0,4865.0,54.72,14.9,1.1
19-March-2014,457.0,457.0,444.4,446.1,449.0209897610922,5860,390,2631263.0,2982.0,50.89,12.6,-10.9
20-March-2014,449.9,449.9,440.0,440.8,443.16082591399885,5279,787,2339446.0,3592.0,68.04,9.9,-9.1
21-March-2014,444.85,444.85,437.05,440.05,439.7500450369304,11102,710,4882105.0,7496.0,67.52,7.8,-4.8
22-March-2014,441.0,444.5,440.0,443.15,442.9073543457498,1047,115,463724.0,905.0,86.44,4.5,2.15
24-March-2014,444.5,444.5,433.0,434.3,436.16450969029677,15531,929,6774071.0,10492.0,67.56,11.5,-10.2
25-March-2014,434.5,437.0,428.0,430.0,432.06903414391434,16079,2111,6947238.0,11332.0,70.48,9.0,-4.5
26-March-2014,433.5,438.65,426.3,435.5,431.50343517029677,20523,1174,8855745.0,16886.0,82.28,12.35,2.0
27-March-2014,437.65,444.95,436.0,443.15,441.583203663362,22493,1215,9932531.0,13477.0,59.92,8.95,5.5
28-March-2014,446.0,446.95,436.1,439.1,441.3295925183701,7485,670,3303352.0,4327.0,57.81,10.85,-6.9
31-March-2014,440.0,443.8,434.0,435.1,436.9323581703572,12374,777,5406601.0,8667.0,70.04,9.8,-4.9
01-April-2014,437.8,437.8,430.0,433.4,433.134309027328,7721,730,3344230.0,5763.0,74.64,7.8,-4.4
02-April-2014,435.9,441.8,430.95,440.2,436.6076739348178,12979,1351,5666731.0,6790.0,52.32,10.85,4.3
03-April-2014,442.0,452.0,440.1,450.25,447.77560861787356,25714,1400,11514102.0,11270.0,43.83,11.9,8.25
04-April-2014,452.9,458.0,448.8,455.25,454.9038514141912,36558,1058,16630375.0,25232.0,69.02,9.2,2.35
07-April-2014,457.0,459.9,450.0,455.55,455.54107924161406,4114,360,1874096.0,2873.0,34.92,9.9,-1.45
09-April-2014,459.0,459.0,451.1,454.05,454.9259533506108,8103,520,3686265.0,3821.0,23.58,7.9,-4.95
10-April-2014,453.0,463.9,450.45,462.55,459.55862308762164,14380,827,6608453.0,9057.0,62.98,13.45,9.55
11-April-2014,460.15,467.0,458.0,465.1,464.30537221154646,11969,890,5557271.0,7003.0,58.51,9.0,4.95
15-April-2014,469.6,469.65,462.0,467.45,466.310808288221,5357,586,2498027.0,3497.0,65.28,7.65,-2.15
16-April-2014,467.55,469.55,462.95,465.05,466.7310438626316,5882,434,2745312.0,4480.0,76.16,6.6,-2.5
17-April-2014,468.85,474.45,465.0,471.7,468.63593442622965,15250,740,7146698.0,10580.0,69.38,9.45,2.85
21-April-2014,472.0,475.9,466.15,466.95,472.8973799126638,22442,801,10612763.0,17370.0,77.4,9.75,-5.05
22-April-2014,460.15,476.0,460.15,471.45,472.10167003119835,5449,486,2572482.0,2647.0,48.58,15.85,11.3
23-April-2014,470.2,472.35,465.8,467.3,468.23391370174124,3963,375,1855611.0,1905.0,48.07,6.55,-2.9
25-April-2014,464.25,469.0,461.05,463.3,465.32219723739166,3113,306,1448548.0,1808.0,58.08,7.95,-0.95
28-April-2014,467.0,476.0,461.15,471.4,471.51628380343107,6878,547,3243089.0,3540.0,51.47,14.85,4.4
29-April-2014,474.0,478.95,471.1,477.1,475.82135583357575,6874,749,3270796.0,3440.0,50.04,7.85,3.1
30-April-2014,479.9,485.8,473.55,475.55,479.6109557493008,12158,1010,5831110.0,6553.0,53.9,12.25,-4.35
02-May-2014,480.75,481.0,467.55,471.3,475.28499061913686,5330,511,2533269.0,3408.0,63.94,13.45,-9.45
05-May-2014,475.9,476.0,463.0,467.0,470.41552839683675,6955,746,3271740.0,3018.0,43.39,13.0,-8.9
06-May-2014,474.0,478.2,457.9,460.15,464.4078250469845,17559,1954,8154537.0,6582.0,37.49,20.3,-13.85
07-May-2014,459.0,459.0,445.15,447.0,451.11195092562167,9129,865,4118201.0,5091.0,55.77,13.85,-12.0
08-May-2014,449.0,452.0,440.25,441.35,445.42912527259523,8254,1305,3676572.0,4209.0,50.99,11.75,-7.65
09-May-2014,444.8,445.95,437.0,441.6,441.31435445068166,7482,1123,3301914.0,3050.0,40.76,8.95,-3.2
12-May-2014,443.0,448.5,440.35,440.95,444.13483427141966,7995,916,3550858.0,4460.0,55.78,8.15,-2.05
13-May-2014,446.95,448.0,438.4,440.3,441.3730060262317,11284,747,4980453.0,8516.0,75.47,9.6,-6.65
14-May-2014,441.0,445.0,438.5,443.05,441.5780172954003,7979,613,3523351.0,5246.0,65.75,6.5,2.05
15-May-2014,445.9,450.0,438.0,440.1,442.80362511052164,11310,905,5008109.0,5185.0,45.84,12.0,-5.8
16-May-2014,444.0,455.6,434.05,448.0,446.0241238051888,17576,1139,7839320.0,11846.0,67.4,21.55,4.0
19-May-2014,444.0,454.85,429.0,429.95,433.80832642310133,41002,2345,17787009.0,27252.0,66.47,25.85,-14.05
20-May-2014,438.7,439.0,432.0,433.05,434.54723250018884,13243,739,5754709.0,9290.0,70.15,7.0,-5.65
21-May-2014,441.0,445.0,438.15,443.55,442.1979139504563,15340,1284,6783316.0,6907.0,45.03,6.85,2.55
22-May-2014,445.0,457.6,444.2,451.85,450.9967723828234,21378,1774,9641409.0,10754.0,50.3,13.4,6.85
23-May-2014,455.0,464.0,452.1,461.0,460.1183805603293,25021,1732,11512622.0,13354.0,53.37,11.9,6.0
26-May-2014,469.7,469.7,456.35,461.8,463.2907850458673,21693,1743,10050167.0,10573.0,48.74,13.35,-7.9
27-May-2014,459.0,463.0,455.5,457.7,459.0975455265241,6315,473,2899201.0,2536.0,40.16,7.5,-1.3
28-May-2014,452.1,463.5,452.1,462.0,461.2193530079455,7048,628,3250674.0,3126.0,44.35,11.4,9.9
29-May-2014,463.0,469.0,461.2,466.55,465.7524063379239,6753,741,3145226.0,3193.0,47.28,7.8,3.55
30-May-2014,463.0,469.7,461.9,464.1,464.79397781299525,5679,555,2639565.0,2982.0,52.51,7.8,1.1
02-June-2014,468.85,472.8,463.7,466.4,468.57251908396967,7205,958,3376065.0,4077.0,56.59,9.1,-2.45
03-June-2014,466.6,466.6,453.65,455.6,458.26489795918366,4900,516,2245498.0,2819.0,57.53,12.95,-11.0
04-June-2014,458.0,458.9,455.0,456.8,456.2803434671617,4309,397,1966112.0,2142.0,49.71,3.9,-1.2
05-June-2014,457.0,457.0,449.5,450.8,452.327516439049,11862,1434,5365509.0,7846.0,66.14,7.5,-6.2
06-June-2014,453.0,454.0,448.0,452.1,451.02670157068064,11460,1057,5168766.0,5245.0,45.77,6.0,-0.9
09-June-2014,454.0,463.9,454.0,457.3,457.8043258776018,25752,1796,11789377.0,13547.0,52.61,9.9,3.3
10-June-2014,457.0,493.2,457.0,484.3,480.17534250057196,78686,5017,37783077.0,28070.0,35.67,36.2,27.3
11-June-2014,489.0,499.9,485.1,493.95,494.2237290620533,54566,2841,26967812.0,30397.0,55.71,14.8,4.95
12-June-2014,497.35,510.9,487.55,509.2,502.04908967981834,41414,2578,20791861.0,23882.0,57.67,23.35,11.85
13-June-2014,509.0,515.5,500.0,504.7,507.37291947818255,26676,1980,13534680.0,11731.0,43.98,15.5,-4.3
16-June-2014,509.4,531.0,501.0,519.9,518.419513853476,47064,3882,24398896.0,13800.0,29.32,30.0,10.5
17-June-2014,520.1,521.4,511.0,512.6,516.2062577982532,10419,1120,5378353.0,3722.0,35.72,10.4,-7.5
18-June-2014,518.0,519.0,498.0,509.5,509.4740418894832,8976,984,4573039.0,3752.0,41.8,21.0,-8.5
19-June-2014,513.75,515.0,502.0,503.3,507.9299703264096,3370,624,1711724.0,1909.0,56.65,13.0,-10.45
20-June-2014,502.0,515.9,500.0,508.35,507.60493590969963,5227,718,2653251.0,2735.0,52.32,15.9,6.35
23-June-2014,515.8,525.75,502.1,505.85,510.33773553162837,11888,1178,6066895.0,6254.0,52.61,23.65,-9.95
24-June-2014,510.0,512.15,503.1,504.45,508.0629358437937,5736,757,2914249.0,2837.0,49.46,9.05,-5.55
25-June-2014,504.5,509.0,500.0,501.2,503.04283080414126,7051,799,3546955.0,3305.0,46.87,9.0,-3.3
26-June-2014,500.0,527.0,492.4,519.6,510.29790724263063,20117,2056,10265663.0,9505.0,47.25,34.6,19.6
27-June-2014,515.2,524.0,501.0,504.4,509.94843502091453,13866,1369,7070945.0,8572.0,61.82,23.0,-10.8
30-June-2014,507.0,511.0,505.0,507.45,507.66596194503165,7095,818,3601890.0,5397.0,76.07,6.0,0.45
01-July-2014,513.0,531.35,509.5,510.65,517.1958652168076,29796,1883,15410368.0,13806.0,46.34,21.85,-2.35
02-July-2014,515.0,548.0,515.0,538.1,532.9969178969178,38610,3119,20579011.0,16258.0,42.11,33.0,23.1
03-July-2014,544.8,551.0,536.1,541.65,542.3321793002915,5488,607,2976319.0,2569.0,46.81,14.9,-3.15
04-July-2014,545.0,554.5,540.65,543.4,547.6595774256325,14388,1730,7879726.0,5898.0,40.99,13.85,-1.6
07-July-2014,545.2,548.85,530.5,532.75,540.9080441388134,6253,1565,3382298.0,3342.0,53.45,18.35,-12.45
08-July-2014,531.0,537.8,512.0,514.75,517.3420662840216,10802,1707,5588329.0,5847.0,54.13,25.8,-16.25
09-July-2014,519.95,520.85,503.5,515.85,513.8657977311127,8286,998,4257892.0,3512.0,42.38,17.35,-4.1
10-July-2014,518.1,518.2,504.0,515.15,511.49264475743365,9585,1336,4902657.0,4980.0,51.96,14.2,-2.95
11-July-2014,522.5,528.2,510.0,520.95,517.1027871757693,6207,818,3209657.0,2897.0,46.67,18.2,-1.55
14-July-2014,522.0,529.6,508.15,514.1,516.9812807881773,4060,510,2098944.0,1454.0,35.81,21.45,-7.9
15-July-2014,518.4,522.8,512.4,519.1,517.2488601823709,2632,400,1361399.0,1191.0,45.25,10.4,0.7
16-July-2014,521.15,521.15,513.55,514.9,515.7955077211044,2137,359,1102255.0,1401.0,65.56,7.6,-6.25
17-July-2014,516.05,575.9,514.2,539.65,551.3956526536466,45315,5118,24986494.0,11069.0,24.43,61.7,23.6
18-July-2014,540.0,563.0,538.0,548.55,551.0767904882509,28428,3096,15666011.0,7624.0,26.82,25.0,8.55
21-July-2014,549.0,565.0,530.0,532.45,539.3986390412349,9846,1166,5310919.0,4477.0,45.47,35.0,-16.55
22-July-2014,536.7,542.0,534.5,539.7,538.7186581359156,5783,679,3115410.0,2008.0,34.72,7.5,3.0
23-July-2014,535.3,544.9,535.3,540.3,541.1712158808933,6045,1061,3271380.0,3090.0,51.12,9.6,5.0
24-July-2014,538.0,539.45,526.1,534.0,531.8526670632558,5043,599,2682133.0,1594.0,31.61,13.35,-4.0
25-July-2014,535.0,559.95,530.85,552.45,549.437194733489,18836,1954,10349199.0,8669.0,46.02,29.1,17.45
28-July-2014,548.75,552.0,535.1,543.4,543.1378768020969,7630,1044,4144142.0,2876.0,37.69,16.9,-5.35
30-July-2014,541.0,546.0,537.1,539.75,541.7801950487622,6665,972,3610965.0,3440.0,51.61,8.9,-1.25
31-July-2014,540.0,548.3,536.75,541.1,541.3056168335312,11786,1053,6379828.0,8036.0,68.18,11.55,1.1
01-August-2014,536.5,544.1,530.0,536.3,538.2567567567568,6290,798,3385635.0,3739.0,59.44,14.1,-0.2
04-August-2014,538.5,540.9,528.2,531.55,531.8190187258081,9559,581,5083658.0,8037.0,84.08,12.7,-6.95
05-August-2014,532.0,542.5,530.0,537.0,539.814654146003,96587,2954,52139078.0,87816.0,90.92,12.5,5.0
06-August-2014,538.7,543.0,533.0,534.65,539.9408407214204,42749,930,23081931.0,37026.0,86.61,10.0,-4.05
07-August-2014,538.5,542.2,532.5,533.55,536.2977601115234,53083,859,28468294.0,48467.0,91.3,9.7,-4.95
08-August-2014,529.25,537.0,529.0,535.5,535.2483237547892,25056,1136,13411182.0,15696.0,62.64,8.0,6.25
11-August-2014,551.7,565.0,545.0,561.25,556.5557471819424,72479,3371,40338604.0,43156.0,59.54,20.0,9.55
12-August-2014,570.0,584.15,567.5,579.95,576.4822626445532,48598,3586,28015885.0,15089.0,31.05,16.65,9.95
13-August-2014,580.0,593.7,572.5,587.8,582.4893582007679,18230,1911,10618781.0,5986.0,32.84,21.2,7.8
14-August-2014,594.4,602.0,589.2,599.25,595.4752842886979,12927,1018,7697709.0,4679.0,36.2,12.8,4.85
18-August-2014,605.0,615.0,587.0,609.4,607.6623106985833,16376,1650,9951078.0,6066.0,37.04,28.0,4.4
19-August-2014,613.0,631.85,612.2,618.1,621.758315861053,17647,2002,10972169.0,6863.0,38.89,19.65,5.1
20-August-2014,623.0,628.0,611.0,613.75,615.5201194369401,7033,882,4328953.0,2293.0,32.6,17.0,-9.25
21-August-2014,620.0,625.95,610.35,617.35,619.1575182967397,6012,897,3722375.0,2967.0,49.35,15.6,-2.65
22-August-2014,614.9,618.0,601.2,606.95,607.6202758373634,5583,805,3392344.0,3006.0,53.84,16.8,-7.95
25-August-2014,608.0,656.0,608.0,643.55,641.364273166447,45540,4136,29207729.0,17515.0,38.46,48.0,35.55
26-August-2014,650.0,673.95,648.95,669.25,661.6944320613409,44864,3820,29686259.0,12172.0,27.13,25.0,19.25
27-August-2014,670.0,673.85,646.75,656.95,659.6613911153378,14722,1705,9711535.0,4603.0,31.27,27.1,-13.05
28-August-2014,645.1,664.4,645.1,653.3,656.3699779563393,14063,1874,9230531.0,6270.0,44.59,19.3,8.2
01-September-2014,655.0,670.0,655.0,662.0,663.5682648654634,18062,1982,11985370.0,10956.0,60.66,15.0,7.0
02-September-2014,662.3,682.0,662.3,675.45,674.3991713524713,16895,1384,11393974.0,9920.0,58.72,19.7,13.15
03-September-2014,681.0,695.0,679.2,687.95,687.4235443156758,21313,2333,14651058.0,7843.0,36.8,15.8,6.95
04-September-2014,680.0,704.0,680.0,699.45,693.412256389952,22731,1348,15761954.0,13809.0,60.75,24.0,19.45
05-September-2014,705.0,720.0,675.15,697.3,709.6947746515009,35079,2675,24895383.0,13327.0,37.99,44.85,-7.7
08-September-2014,704.05,708.8,688.65,695.3,696.5179167594035,4493,571,3129455.0,1724.0,38.37,20.15,-8.75
09-September-2014,685.65,713.5,685.0,701.5,704.3151654235993,5229,755,3682864.0,2567.0,49.09,28.5,15.85
10-September-2014,695.0,704.9,686.45,692.95,695.1122409823482,5212,825,3622925.0,2392.0,45.89,18.45,-2.05
11-September-2014,693.6,717.2,692.45,713.2,707.772374379987,9274,1136,6563881.0,4521.0,48.75,24.75,19.6
12-September-2014,712.5,724.0,705.3,715.05,712.1600566572238,12002,1097,8547345.0,7227.0,60.21,18.7,2.55
15-September-2014,715.0,723.2,707.5,716.35,716.1448524795983,6372,892,4563275.0,2496.0,39.17,15.7,1.35
16-September-2014,710.0,725.65,701.0,713.6,719.476634397036,8367,1362,6019861.0,3583.0,42.82,24.65,3.6
17-September-2014,725.0,727.0,685.0,708.45,701.3944058976584,4612,777,3234831.0,1304.0,28.27,42.0,-16.55
18-September-2014,713.8,719.5,700.0,711.2,713.9776067179848,2858,426,2040548.0,1272.0,44.51,19.5,-2.6
19-September-2014,716.15,716.15,674.0,688.65,689.5693486590039,11745,1824,8098992.0,3808.0,32.42,42.15,-27.5
22-September-2014,689.75,693.6,671.65,678.55,682.61954866399,7223,1118,4930561.0,2866.0,39.68,21.95,-11.2
23-September-2014,676.0,677.0,665.0,669.35,669.780798925814,5958,1032,3990554.0,3091.0,51.88,12.0,-6.65
24-September-2014,670.1,702.8,665.3,697.85,683.41154405573,13063,1660,8927405.0,6644.0,50.86,37.5,27.75
25-September-2014,696.85,698.6,680.0,695.3,691.8086477987421,6360,712,4399903.0,1948.0,30.63,18.6,-1.55
26-September-2014,700.0,700.9,681.0,689.9,689.6422558922559,4752,700,3277180.0,2138.0,44.99,19.9,-10.1
29-September-2014,682.3,707.9,672.0,694.15,692.9985446783737,10307,1315,7142736.0,4019.0,38.99,35.9,11.85
30-September-2014,689.8,705.0,689.8,697.4,700.5019993848047,6502,988,4554664.0,1784.0,27.44,15.2,7.6
01-October-2014,700.9,703.55,690.0,694.65,695.8981419297068,4467,794,3108577.0,2411.0,53.97,13.55,-6.25
07-October-2014,690.0,706.8,688.0,694.85,699.4612447499045,5238,774,3663778.0,1988.0,37.95,18.8,4.85
08-October-2014,695.55,706.7,681.85,689.95,699.0916293929712,7825,1056,5470392.0,3663.0,46.81,24.85,-5.6
09-October-2014,695.0,704.4,693.0,697.4,699.5871578947368,4750,692,3323039.0,1866.0,39.28,11.4,2.4
10-October-2014,695.5,703.95,695.0,697.15,698.0844858689118,3326,384,2321829.0,1676.0,50.39,8.95,1.65
13-October-2014,699.0,734.75,699.0,702.55,718.7216832996022,28658,3219,20597126.0,5402.0,18.85,35.75,3.55
14-October-2014,711.8,723.0,661.0,675.45,686.5180343116988,19352,1743,13285497.0,9022.0,46.62,62.0,-36.35
16-October-2014,677.3,715.65,662.95,696.5,700.1039390561128,26910,3175,18839797.0,6660.0,24.75,52.7,19.2
17-October-2014,700.1,747.9,700.1,738.55,729.8223900653351,43162,3113,31500594.0,13408.0,31.06,47.8,38.45
20-October-2014,750.0,759.2,735.0,742.8,744.5693790036529,18889,1806,14064171.0,5906.0,31.27,24.2,-7.2
21-October-2014,735.0,775.0,723.0,767.75,755.9841189046117,39292,3022,29704128.0,12569.0,31.99,52.0,32.75
22-October-2014,755.9,784.4,754.45,779.85,771.5417655319354,20651,2221,15933109.0,5922.0,28.68,29.95,23.95
23-October-2014,784.0,790.4,777.15,780.45,783.0643496214727,2906,494,2275585.0,1520.0,52.31,13.25,-3.55
27-October-2014,780.0,792.65,766.05,773.6,781.6320033955858,4712,633,3683050.0,1388.0,29.46,26.6,-6.4
28-October-2014,769.1,775.0,756.2,759.2,763.392905634759,5892,618,4497911.0,3522.0,59.78,18.8,-9.9
29-October-2014,765.0,769.95,738.0,759.4,755.051781030544,23638,3121,17847914.0,2947.0,12.47,31.95,-5.6
30-October-2014,784.7,810.95,772.1,801.0,798.7877256189861,112967,8035,90236653.0,33117.0,29.32,38.85,16.3
31-October-2014,805.05,824.5,805.0,810.1,816.4327134644047,28178,2939,23005441.0,10277.0,36.47,19.5,5.05
03-November-2014,816.2,816.2,789.3,799.9,798.8842330439155,7947,916,6348733.0,3224.0,40.57,26.9,-16.3
05-November-2014,809.9,809.9,792.1,799.25,800.9580429328128,7174,901,5746073.0,2700.0,37.64,17.8,-10.65
07-November-2014,793.0,802.0,790.65,793.9,797.1223513328778,4389,647,3498570.0,1629.0,37.12,11.35,0.9
10-November-2014,799.15,800.0,779.0,784.05,787.9876302083333,6144,837,4841396.0,3170.0,51.6,21.0,-15.1
