Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,278.15,281.75,277.55,278.65,279.7998435166086,28118,843,7867412.0,9072.0,32.26,4.2,0.5
02-January-2014,280.0,282.0,267.1,270.55,277.205620397203,37613,1247,10426535.0,15339.0,40.78,14.9,-9.45
03-January-2014,272.7,272.7,267.5,270.8,269.37848646431496,19504,832,5253958.0,7962.0,40.82,5.2,-1.9
06-January-2014,277.8,281.75,271.0,279.3,276.7773043229861,42008,1576,11626861.0,15742.0,37.47,10.75,1.5
07-January-2014,282.0,283.0,272.85,274.0,276.58475981410993,42821,1143,11843636.0,12910.0,30.15,10.15,-8.0
08-January-2014,276.9,278.6,270.65,271.9,274.0802036043472,14538,632,3984578.0,6132.0,42.18,7.95,-5.0
09-January-2014,271.5,273.0,267.9,268.3,269.35276783834985,14253,539,3839085.0,5661.0,39.72,5.1,-3.2
10-January-2014,270.3,279.0,267.5,276.7,275.06998554954237,35293,1307,9708045.0,10812.0,30.63,11.5,6.4
13-January-2014,279.0,282.0,275.35,280.1,278.92254744087654,31671,1079,8833756.0,10444.0,32.98,6.65,1.1
14-January-2014,279.1,282.05,275.0,280.8,278.9862452591656,19775,692,5516953.0,6214.0,31.42,7.05,1.7
15-January-2014,282.0,286.5,280.55,285.3,284.16163260723107,35624,1232,10122974.0,15566.0,43.7,5.95,3.3
16-January-2014,287.55,293.5,281.1,289.95,288.2295564890077,36662,1167,10567072.0,13915.0,37.95,12.4,2.4
17-January-2014,291.95,292.0,286.5,289.25,289.3757191450048,23813,974,6890904.0,5603.0,23.53,5.5,-2.7
20-January-2014,287.9,295.8,285.5,292.7,292.55244936019346,54157,1568,15843763.0,24684.0,45.58,10.3,4.8
21-January-2014,293.4,295.6,287.55,288.7,292.0007130711425,18231,841,5323465.0,7084.0,38.86,8.05,-4.7
22-January-2014,288.0,291.0,285.15,287.05,287.727827614908,10813,529,3111201.0,2924.0,27.04,5.85,-0.95
23-January-2014,287.55,288.8,281.5,281.95,284.4375044060628,14185,719,4034746.0,5955.0,41.98,7.3,-5.6
24-January-2014,282.0,284.05,267.45,268.9,273.7653537651144,25059,1628,6860286.0,9852.0,39.32,16.6,-13.1
27-January-2014,268.5,270.0,258.4,268.6,263.952980608092,20885,1015,5512658.0,3473.0,16.63,11.6,0.1
28-January-2014,268.5,274.8,264.05,267.6,267.55802747269934,31959,1227,8550887.0,9193.0,28.76,10.75,-0.9
29-January-2014,268.0,283.75,267.05,281.05,276.98973271950456,60386,1888,16726302.0,27218.0,45.07,16.7,13.05
30-January-2014,280.0,280.25,261.9,264.25,269.29904651834727,44993,2048,12116572.0,18010.0,40.03,18.35,-15.75
31-January-2014,268.7,274.5,265.3,271.6,270.0634158188736,37057,1854,10007740.0,6914.0,18.66,9.2,2.9
03-February-2014,273.3,273.45,265.7,266.85,269.28705690060275,9789,533,2636051.0,3947.0,40.32,7.75,-6.45
04-February-2014,265.55,269.15,260.55,267.05,265.5678579422517,13403,695,3559406.0,4523.0,33.75,8.6,1.5
05-February-2014,267.2,279.75,267.0,277.4,275.09012580397234,49442,1701,13601006.0,20458.0,41.38,12.75,10.2
06-February-2014,278.0,283.95,273.6,275.3,278.3511437252766,52329,1615,14565837.0,17052.0,32.59,10.35,-2.7
07-February-2014,279.8,281.0,275.95,279.9,279.5232143643005,22723,923,6351606.0,7644.0,33.64,5.05,0.1
10-February-2014,275.2,280.0,268.6,269.3,273.0500212211241,49479,1726,13510242.0,13492.0,27.27,11.4,-5.9
11-February-2014,270.0,275.0,267.35,274.05,271.92000382909475,31339,1232,8521701.0,5959.0,19.01,7.65,4.05
12-February-2014,275.0,276.6,268.45,270.05,271.7695411649853,15365,562,4175739.0,5603.0,36.47,8.15,-4.95
13-February-2014,270.0,274.0,269.0,271.1,271.26487475013835,23513,967,6378251.0,6700.0,28.49,5.0,1.1
14-February-2014,271.65,272.0,265.9,269.65,268.90328708292043,12108,468,3255881.0,3871.0,31.97,6.1,-2.0
17-February-2014,270.0,274.0,265.45,273.05,270.69276034236805,11216,519,3036090.0,4075.0,36.33,8.55,3.05
18-February-2014,270.05,274.8,269.15,269.75,271.20348547717845,12050,525,3268002.0,4748.0,39.4,5.65,-0.3
19-February-2014,268.5,271.0,267.05,268.6,268.75783595113444,14325,533,3849956.0,3803.0,26.55,3.95,0.1
20-February-2014,268.7,269.0,266.0,267.2,267.41958531801623,14276,616,3817682.0,6561.0,45.96,3.0,-1.5
21-February-2014,267.0,270.6,267.0,268.3,269.0324951644101,10340,480,2781796.0,4059.0,39.26,3.6,1.3
