Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,2080.0,2099.85,2065.15,2086.05,2089.7725335606224,18772,1453,39229210.0,8025.0,42.75,34.7,6.05
02-January-2014,2083.6,2101.0,2075.0,2080.4,2088.678930202217,15330,1043,32019448.0,3815.0,24.89,26.0,-3.2
03-January-2014,2071.0,2115.0,2063.4,2096.5,2095.2877825090077,15265,1605,31984568.0,2660.0,17.43,51.6,25.5
06-January-2014,2100.0,2100.0,2065.5,2068.05,2077.190935946393,13879,1202,28829333.0,4572.0,32.94,34.5,-31.95
07-January-2014,2073.0,2094.2,2058.85,2067.75,2069.8123525329634,21615,1135,44738994.0,13176.0,60.96,35.35,-5.25
08-January-2014,2082.6,2089.0,2059.25,2064.95,2073.338775510204,8820,981,18286848.0,3542.0,40.16,29.75,-17.65
09-January-2014,2068.5,2080.0,2062.05,2068.25,2071.6451605483485,43476,1392,90066845.0,35691.0,82.09,17.95,-0.25
10-January-2014,2072.0,2072.0,2030.0,2035.15,2052.0891812865507,10944,1324,22458064.0,2417.0,22.09,42.0,-36.85
13-January-2014,2035.0,2049.0,2024.0,2038.75,2031.518621062228,29617,665,60167487.0,23745.0,80.17,25.0,3.75
14-January-2014,2033.0,2046.0,2027.0,2035.5,2035.460419765328,6051,576,12316571.0,1798.0,29.71,19.0,2.5
15-January-2014,2040.0,2096.0,2040.0,2074.05,2077.617772030297,16239,1921,33738435.0,4974.0,30.63,56.0,34.05
16-January-2014,2078.0,2108.0,2067.0,2073.9,2083.96783231296,9637,1139,20083198.0,2163.0,22.44,41.0,-4.1
17-January-2014,2078.0,2095.0,2066.1,2075.15,2091.2132579650565,103138,1884,215683553.0,93602.0,90.75,28.9,-2.85
20-January-2014,2075.0,2099.9,2062.35,2085.75,2087.0999440313417,12507,884,26103359.0,4866.0,38.91,37.55,10.75
21-January-2014,2090.0,2102.0,2068.55,2071.55,2081.8831502207613,9739,969,20275460.0,2321.0,23.83,33.45,-18.45
22-January-2014,2072.5,2072.5,2054.0,2059.75,2060.8033644476363,9749,810,20090772.0,4755.0,48.77,18.5,-12.75
23-January-2014,2060.0,2068.0,2047.3,2052.8,2055.3663872863826,9187,784,18882651.0,4083.0,44.44,20.7,-7.2
24-January-2014,2053.0,2061.0,2024.0,2035.2,2034.5709190672155,10935,1157,22248033.0,4473.0,40.91,37.0,-17.8
27-January-2014,2036.0,2036.1,2001.0,2014.8,2019.930728824688,6092,735,12305418.0,2065.0,33.9,35.1,-21.2
28-January-2014,2015.0,2031.2,1987.0,2013.45,2012.3258222314735,19216,1124,38668853.0,11511.0,59.9,44.2,-1.55
29-January-2014,2017.0,2078.4,2017.0,2070.85,2063.2876061740803,21898,1652,45181872.0,12842.0,58.64,61.4,53.85
30-January-2014,2085.0,2086.0,1982.0,1999.75,2019.990081594762,61401,9337,124029411.0,22739.0,37.03,104.0,-85.25
31-January-2014,1963.0,2028.65,1955.0,1970.45,1980.7112473045056,44055,4606,87260234.0,7402.0,16.8,73.65,7.45
03-February-2014,1970.0,2002.0,1945.1,1963.05,1983.703616520436,14019,2282,27809541.0,3844.0,27.42,56.9,-6.95
04-February-2014,1960.0,2003.0,1942.0,1988.15,1974.979555618656,14087,1577,27821537.0,3183.0,22.6,61.0,28.15
05-February-2014,2001.0,2001.0,1971.0,1983.4,1986.771262065197,5491,659,10909361.0,799.0,14.55,30.0,-17.6
06-February-2014,1987.0,2000.4,1958.5,1983.35,1968.8909406063171,56538,7664,111317156.0,39871.0,70.52,41.9,-3.65
07-February-2014,1990.0,2011.45,1985.0,2007.35,2001.8482535276432,8646,1011,17307980.0,3465.0,40.08,26.45,17.35
10-February-2014,2010.0,2020.15,1987.6,1997.4,1998.133095662508,6732,657,13451432.0,2133.0,31.68,32.55,-12.6
11-February-2014,2001.0,2004.0,1960.0,1960.85,1969.8419043166587,12834,2080,25280951.0,5119.0,39.89,44.0,-40.15
12-February-2014,1965.0,1984.05,1965.0,1974.8,1975.94046912114,6736,708,13309935.0,1457.0,21.63,19.05,9.8
13-February-2014,1980.0,1990.0,1959.0,1972.05,1971.172528283325,8132,884,16029575.0,1745.0,21.46,31.0,-7.95
14-February-2014,1972.0,1979.75,1915.0,1936.7,1942.5723315875025,11074,1467,21512046.0,3519.0,31.78,64.75,-35.3
17-February-2014,1944.0,2015.0,1920.0,1975.25,1971.48095285624,30057,2924,59256803.0,2689.0,8.95,95.0,31.25
18-February-2014,1979.0,1995.25,1973.0,1977.55,1984.5552638487795,11427,1128,22677513.0,2249.0,19.68,22.25,-1.45
19-February-2014,1981.0,1995.75,1942.25,1947.05,1956.0637371338087,15156,1685,29646102.0,5807.0,38.31,53.5,-33.95
20-February-2014,1951.0,1954.0,1921.0,1928.1,1937.887374081648,13203,1342,25585927.0,4320.0,32.72,33.0,-22.9
21-February-2014,1932.0,1945.3,1907.0,1918.35,1918.319096209912,20580,3674,39479007.0,10830.0,52.62,38.3,-13.65
24-February-2014,1920.0,1954.9,1918.85,1950.35,1941.342464554525,11426,1110,22181779.0,3495.0,30.59,36.05,30.35
25-February-2014,1952.0,1956.0,1930.15,1951.1,1943.716826411076,9390,834,18251501.0,2814.0,29.97,25.85,-0.9
26-February-2014,1957.6,1978.8,1935.0,1973.05,1964.225099763824,12279,1406,24118720.0,5052.0,41.14,43.8,15.45
28-February-2014,1973.05,1991.0,1943.05,1965.1,1959.8390298812933,19544,1998,38303094.0,4130.0,21.13,47.95,-7.95
03-March-2014,1964.0,1967.0,1952.1,1956.1,1956.2576961271106,6042,715,11819709.0,1299.0,21.5,14.9,-7.9
04-March-2014,1965.0,1986.0,1940.7,1978.95,1961.051067073171,11808,1265,23156091.0,2521.0,21.35,45.3,13.95
05-March-2014,1989.0,1990.0,1960.0,1971.75,1970.7514177693758,11638,913,22935605.0,2608.0,22.41,30.0,-17.25
06-March-2014,1977.0,2015.5,1972.0,2011.7,2004.5233934097946,10986,1268,22021694.0,2572.0,23.41,43.5,34.7
07-March-2014,2013.0,2058.05,1987.1,2003.2,2012.7037589498807,23464,1996,47226081.0,7352.0,31.33,70.95,-9.8
10-March-2014,2005.0,2028.8,1989.15,2016.65,2012.3131094890512,17125,1533,34460862.0,4299.0,25.1,39.65,11.65
11-March-2014,2020.0,2034.0,2001.05,2018.0,2018.2199696190692,17116,1125,34543853.0,10616.0,62.02,32.95,-2.0
12-March-2014,2019.0,2067.7,2017.0,2063.15,2052.6399348789528,33169,2174,68084014.0,17673.0,53.28,50.7,44.15
13-March-2014,2062.0,2113.0,2062.0,2100.6,2096.4165790228512,20918,1851,43852842.0,6387.0,30.53,51.0,38.6
14-March-2014,2090.05,2139.95,2080.0,2125.35,2112.5328323893905,17833,1790,37672798.0,3746.0,21.01,59.95,35.3
18-March-2014,2124.0,2149.5,2085.55,2129.6,2114.306329861258,23713,2591,50136546.0,3787.0,15.97,63.95,5.6
19-March-2014,2135.0,2145.25,2106.5,2117.15,2120.6226858654127,6806,708,14432958.0,1323.0,19.44,38.75,-17.85
20-March-2014,2105.25,2122.0,2060.0,2107.85,2101.744409699687,16949,1388,35622466.0,8148.0,48.07,62.0,2.6
21-March-2014,2100.0,2114.05,2055.85,2066.9,2083.681829378438,12179,1312,25377161.0,3743.0,30.73,58.2,-33.1
22-March-2014,2067.0,2082.9,2062.0,2071.2,2074.535677352637,967,134,2006076.0,247.0,25.54,20.9,4.2
24-March-2014,2070.0,2125.0,2066.0,2122.6,2103.9947972456007,13070,1255,27499212.0,5757.0,44.05,59.0,52.6
25-March-2014,2101.05,2198.4,2093.5,2190.6,2163.55916427758,25463,2134,55090707.0,12846.0,50.45,104.9,89.55
26-March-2014,2171.0,2203.95,2145.0,2176.75,2176.853975698145,32837,2908,71481354.0,6412.0,19.53,58.95,5.75
27-March-2014,2165.0,2257.0,2165.0,2244.45,2226.546423462089,27960,2983,62254238.0,6310.0,22.57,92.0,79.45
28-March-2014,2255.0,2260.0,2215.0,2246.5,2242.7193721754,16374,1440,36722287.0,1698.0,10.37,45.0,-8.5
31-March-2014,2245.25,2298.0,2243.0,2272.85,2278.3061279826456,14752,1260,33609572.0,4110.0,27.86,55.0,27.6
01-April-2014,2276.05,2281.25,2240.0,2248.55,2256.343881659021,10681,1096,24100009.0,1716.0,16.07,41.25,-27.5
02-April-2014,2271.0,2282.4,2245.0,2250.15,2260.506452769313,11158,1147,25222731.0,2277.0,20.41,37.4,-20.85
03-April-2014,2251.05,2258.05,2234.25,2250.65,2245.616950969009,11197,955,25144173.0,3537.0,31.59,23.8,-0.4
04-April-2014,2250.0,2258.0,2226.05,2250.1,2243.0484418757073,16783,1287,37645082.0,5161.0,30.75,31.95,0.1
07-April-2014,2250.0,2320.0,2218.0,2238.9,2232.7323843416366,11240,1442,25095912.0,3017.0,13.42,102.0,-11.1
