Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,323.3,323.5,321.35,322.1,322.55401641258294,119908,3462,38676807.0,56518.0,47.13,2.15,-1.2
02-January-2014,323.7,325.0,314.95,315.4,319.90263813876203,240700,3351,77000565.0,109774.0,45.61,10.05,-8.3
03-January-2014,315.0,315.65,311.0,314.85,313.7720228189957,1442833,15272,452720629.0,1066897.0,73.94,4.65,-0.15
06-January-2014,316.8,317.0,313.9,316.0,315.68871286492384,622390,6245,196481498.0,516425.0,82.97,3.1,-0.8
07-January-2014,316.1,317.5,313.0,316.75,315.97648373458316,479668,7658,151563808.0,369927.0,77.12,4.5,0.65
08-January-2014,317.8,317.8,313.9,316.8,316.60590257610545,404603,4471,128099698.0,297532.0,73.54,3.9,-1.0
09-January-2014,316.8,316.8,313.0,315.45,314.98675449443544,336416,4466,105966584.0,207330.0,61.63,3.8,-1.35
10-January-2014,317.0,324.45,314.1,322.45,320.9551268656884,445077,9612,142849745.0,188887.0,42.44,10.35,5.45
13-January-2014,324.0,326.1,322.6,325.5,324.8932533178237,378260,6050,122894122.0,236104.0,62.42,3.5,1.5
14-January-2014,325.95,329.95,323.55,324.15,326.6948648819978,268173,5296,87610742.0,110290.0,41.13,6.4,-1.8
15-January-2014,325.0,329.0,321.55,328.35,325.82700748943864,303227,5376,98799546.0,137914.0,45.48,7.45,3.35
16-January-2014,328.0,330.5,323.6,325.7,326.2794360077528,234755,3952,76595729.0,106892.0,45.53,6.9,-2.3
17-January-2014,326.15,328.2,322.5,324.85,325.04758289860837,648111,9374,210666914.0,242900.0,37.48,5.7,-1.3
20-January-2014,328.0,330.5,320.0,330.2,328.77504510035226,477269,8433,156914137.0,274814.0,57.58,10.5,2.2
21-January-2014,330.0,332.3,328.4,329.0,329.72578889455934,677974,4520,223545512.0,534010.0,78.77,3.9,-1.0
22-January-2014,329.5,329.5,323.15,327.4,325.4903416985332,162658,3956,52943608.0,34931.0,21.48,6.35,-2.1
23-January-2014,326.6,329.95,325.2,328.95,328.5606183474786,235531,4094,77386211.0,115035.0,48.84,4.75,2.35
24-January-2014,328.0,330.1,323.3,324.2,328.2868095006567,4689360,5071,1539455033.0,4518913.0,96.37,6.8,-3.8
27-January-2014,323.0,326.0,319.0,324.45,323.55307165831886,230999,6054,74740436.0,134434.0,58.2,7.0,1.45
28-January-2014,325.0,328.45,319.15,327.15,323.37898997761374,621808,7837,201079643.0,308174.0,49.56,9.3,2.15
29-January-2014,328.0,328.3,324.25,325.0,325.93137869953506,216784,9256,70656708.0,140500.0,64.81,4.05,-3.0
30-January-2014,321.0,325.6,318.35,324.55,320.6747025620428,415801,4912,133336862.0,184611.0,44.4,7.25,3.55
31-January-2014,325.0,325.65,322.4,325.1,324.48656294927093,194760,2565,63197003.0,108382.0,55.65,3.25,0.1
03-February-2014,324.05,324.8,320.0,320.5,322.25974326079506,125497,2791,40442631.0,50938.0,40.59,4.8,-3.55
04-February-2014,320.0,325.9,316.35,325.0,321.5097262731108,402518,5303,129413452.0,224408.0,55.75,9.55,5.0
05-February-2014,321.6,324.55,317.75,318.95,319.19166694237003,332483,5743,106125803.0,84697.0,25.47,6.8,-2.65
06-February-2014,320.0,325.7,316.5,324.6,320.4120703418089,834326,6390,267328121.0,616303.0,73.87,9.2,4.6
07-February-2014,325.25,326.65,320.2,323.4,322.69058780305346,451818,5063,145797416.0,306272.0,67.79,6.45,-1.85
10-February-2014,322.1,325.35,321.1,325.0,324.12474723278234,321442,2658,104187307.0,225884.0,70.27,4.25,2.9
11-February-2014,324.65,326.0,323.0,325.05,325.1071723035504,237720,2432,77284477.0,126626.0,53.27,3.0,0.4
12-February-2014,325.05,326.85,319.35,320.3,321.44753216463295,367873,4635,118251868.0,248984.0,67.68,7.5,-4.75
13-February-2014,321.0,322.8,315.3,316.75,319.28491701644487,171299,5327,54693187.0,81111.0,47.35,7.5,-4.25
14-February-2014,317.95,320.4,315.0,319.8,317.48836174821133,240543,4226,76369603.0,93119.0,38.71,5.4,1.85
17-February-2014,322.0,322.0,317.8,319.95,319.97780077560816,175862,3694,56271936.0,75658.0,43.02,4.2,-2.05
18-February-2014,319.0,321.55,316.75,317.4,318.9177231952394,902405,3357,287792948.0,813220.0,90.12,4.8,-1.6
19-February-2014,316.3,318.75,316.25,316.6,317.35657310864894,110199,2479,34972377.0,48168.0,43.71,2.5,0.3
