Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,915.0,925.4,911.95,916.6,919.4108059734887,89395,3710,82190729.0,35471.0,39.68,13.45,1.6
02-January-2014,915.0,921.7,902.0,906.25,912.524205592445,43523,1891,39715791.0,13814.0,31.74,19.7,-8.75
03-January-2014,906.0,939.9,897.0,933.15,920.8000082997023,96389,4411,88754992.0,35805.0,37.15,42.9,27.15
06-January-2014,934.25,951.0,934.25,937.7,942.3056105231966,104607,4290,98571763.0,41123.0,39.31,16.75,3.45
07-January-2014,945.0,949.65,928.0,932.6,936.5042993612044,85943,2615,80485989.0,44494.0,51.77,21.65,-12.4
08-January-2014,939.45,947.0,931.1,938.4,939.6868571428572,57750,2084,54266916.0,16599.0,28.74,15.9,-1.05
09-January-2014,940.0,944.8,930.9,934.35,936.5481886534517,30723,1438,28773570.0,9036.0,29.41,13.9,-5.65
10-January-2014,939.7,949.35,925.0,936.6,940.3388110048587,64626,3360,60770336.0,17857.0,27.63,24.35,-3.1
13-January-2014,940.0,947.0,890.75,920.65,919.1117135229554,121364,6071,111547074.0,22066.0,18.18,56.25,-19.35
14-January-2014,923.0,938.5,915.35,934.85,926.5243487367457,30556,1599,28310878.0,6399.0,20.94,23.15,11.85
15-January-2014,935.15,936.9,923.5,925.6,928.7115781446257,44584,1802,41405677.0,12960.0,29.07,13.4,-9.55
16-January-2014,932.0,932.15,913.15,915.7,919.738147392804,39717,1315,36529240.0,19804.0,49.86,19.0,-16.3
17-January-2014,916.0,923.5,905.2,909.5,914.0814509699707,22578,1293,20638131.0,6698.0,29.67,18.3,-6.5
20-January-2014,912.0,917.0,902.55,909.55,910.0616768031044,26801,1412,24390563.0,6471.0,24.14,14.45,-2.45
21-January-2014,912.0,915.9,905.35,907.95,909.8488625565925,17891,1056,16278106.0,4799.0,26.82,10.55,-4.05
22-January-2014,919.95,932.4,902.15,926.9,924.1269371249673,76660,3164,70843571.0,24219.0,31.59,30.25,6.95
23-January-2014,929.0,937.0,916.0,924.55,927.2908113804004,47450,2417,43999949.0,14482.0,30.52,21.0,-4.45
24-January-2014,920.0,927.0,908.0,913.6,915.504680782675,24889,1393,22785996.0,7066.0,28.39,19.0,-6.4
27-January-2014,905.0,918.0,891.15,895.75,904.7971095052808,48573,3284,43948710.0,12633.0,26.01,26.85,-9.25
28-January-2014,898.5,901.15,872.1,875.85,881.4768176122266,40699,2507,35875225.0,11052.0,27.16,29.05,-22.65
29-January-2014,878.0,888.9,862.0,865.9,873.0124217836124,53857,3736,47017830.0,23986.0,44.54,26.9,-12.1
30-January-2014,866.0,882.8,855.0,870.9,872.3206948696196,81339,3193,70953693.0,32242.0,39.64,27.8,4.9
31-January-2014,873.0,891.45,866.0,882.05,882.7705020423969,80053,2895,70668427.0,31935.0,39.89,25.45,9.05
03-February-2014,885.0,925.0,885.0,921.9,906.9933107847896,358338,16714,325010169.0,58713.0,16.38,40.0,36.9
04-February-2014,923.1,934.7,908.05,912.35,920.7314370170888,190123,6174,175052223.0,84511.0,44.45,26.65,-10.75
05-February-2014,917.95,923.45,910.0,914.95,917.229127157216,84368,3025,77384787.0,28338.0,33.59,13.45,-3.0
06-February-2014,915.45,922.45,904.0,908.85,912.291084593416,45169,2128,41207276.0,10166.0,22.51,18.45,-6.6
07-February-2014,916.95,923.55,911.25,919.95,917.6481999300943,40054,2564,36755481.0,12411.0,30.99,12.3,3.0
10-February-2014,923.0,930.45,918.0,924.55,925.1216308384064,39587,2010,36622790.0,13171.0,33.27,12.45,1.55
11-February-2014,926.0,926.0,910.95,913.1,916.0482313914047,26829,1586,24576658.0,7592.0,28.3,15.05,-12.9
12-February-2014,915.0,921.0,908.0,909.9,914.9038528155188,25981,1448,23770117.0,7120.0,27.4,13.0,-5.1
13-February-2014,903.65,908.75,890.0,894.4,898.4091389408852,66244,4025,59514215.0,19355.0,29.22,18.75,-9.25
14-February-2014,895.95,906.5,893.0,901.25,899.9848519325162,30763,1380,27686234.0,9882.0,32.12,13.5,5.3
17-February-2014,901.35,917.4,900.0,914.65,913.4723757238659,83061,1948,75873929.0,10678.0,12.86,17.4,13.3
18-February-2014,917.55,930.6,916.0,920.35,923.9199709545393,45446,2201,41988467.0,16207.0,35.66,14.6,2.8
19-February-2014,922.0,944.5,920.0,942.25,934.4320702152977,73944,3244,69095645.0,18579.0,25.13,24.5,20.25
20-February-2014,944.1,948.35,935.25,937.7,941.5499882167396,55163,2872,51938722.0,11965.0,21.69,13.1,-6.4
21-February-2014,941.05,950.5,932.55,935.0,940.8111019779988,57179,3307,53794638.0,16595.0,29.02,17.95,-6.05
24-February-2014,942.4,958.4,932.5,955.8,951.1926353489343,86277,4797,82066047.0,30836.0,35.74,25.9,13.4
25-February-2014,956.05,968.0,950.1,953.95,959.0711142867888,53182,3122,51005320.0,13422.0,25.24,17.9,-2.1
26-February-2014,956.0,966.3,948.8,960.45,957.4325447046737,67163,3608,64304042.0,18950.0,28.21,17.5,4.45
28-February-2014,956.5,1001.0,950.7,993.45,983.1643150850599,173642,7052,170718618.0,58272.0,33.56,50.3,36.95
03-March-2014,994.15,1003.0,977.15,982.3,988.5454005808904,47169,2655,46628698.0,10666.0,22.61,25.85,-11.85
04-March-2014,990.3,1002.5,982.2,988.5,992.5681415220024,99829,3236,99087085.0,52788.0,52.88,20.3,-1.8
05-March-2014,993.0,1002.0,983.35,989.5,992.1676248040174,44009,1985,43664305.0,10007.0,22.74,18.65,-3.5
06-March-2014,989.0,994.0,976.15,983.45,982.059265719744,48156,2057,47292046.0,11453.0,23.78,17.85,-5.55
07-March-2014,980.0,992.65,953.35,965.75,966.2611542756116,85976,5623,83075269.0,31071.0,36.14,39.3,-14.25
10-March-2014,965.0,979.0,957.0,960.4,967.6463346040872,48003,2389,46449927.0,11945.0,24.88,22.0,-4.6
11-March-2014,955.0,972.5,953.95,962.85,961.8158345656407,42603,1876,40976240.0,9109.0,21.38,18.55,7.85
12-March-2014,965.0,974.0,959.3,961.4,965.908588362683,35094,2219,33897596.0,8160.0,23.25,14.7,-3.6
13-March-2014,965.0,969.6,945.0,950.1,954.528237372926,43577,2170,41595477.0,10079.0,23.13,24.6,-14.9
14-March-2014,950.1,958.0,942.0,945.55,950.1258630653647,32877,1649,31237288.0,8013.0,24.37,16.0,-4.55
18-March-2014,945.55,951.5,928.5,930.65,938.1591602651795,57018,2545,53491959.0,16268.0,28.53,23.0,-14.9
