Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,36.15,36.25,35.95,36.0,36.00698261773882,107696,1975,3877808.0,95718.0,88.88,0.3,-0.15
02-January-2014,36.2,37.15,33.65,35.3,36.32787205233625,486699,3473,17680739.0,319818.0,65.71,3.5,-0.9
03-January-2014,35.45,36.35,35.25,36.2,35.853816203451146,133811,926,4797635.0,90982.0,67.99,1.1,0.75
06-January-2014,36.35,36.35,36.0,36.15,36.141424342678036,57430,365,2075602.0,39085.0,68.06,0.35,-0.2
07-January-2014,36.3,36.35,35.6,35.7,35.91565792289948,84098,436,3020435.0,65266.0,77.61,0.75,-0.6
08-January-2014,35.95,36.2,35.7,36.0,35.897323299343476,114544,635,4111823.0,76251.0,66.57,0.5,0.05
09-January-2014,36.1,36.35,35.85,36.0,36.153406236146004,67670,568,2446501.0,39102.0,57.78,0.5,-0.1
10-January-2014,35.85,36.2,35.6,35.75,35.901874576197045,45717,320,1641326.0,28937.0,63.3,0.6,-0.1
13-January-2014,36.1,36.1,35.4,35.6,35.748172734013636,28321,278,1012424.0,18988.0,67.05,0.7,-0.5
14-January-2014,36.0,36.0,35.6,35.7,35.79453734671126,26910,264,963231.0,14243.0,52.93,0.4,-0.3
15-January-2014,35.7,36.0,35.65,35.7,35.76038765088207,34464,224,1232446.0,25668.0,74.48,0.35,0.0
16-January-2014,35.8,35.95,35.45,35.5,35.636030382122634,34099,310,1215153.0,22668.0,66.48,0.5,-0.3
17-January-2014,35.95,35.95,35.15,35.25,35.37840425531915,37600,315,1330228.0,25942.0,68.99,0.8,-0.7
20-January-2014,35.15,35.6,35.15,35.45,35.454345585709376,29110,272,1032076.0,17808.0,61.17,0.45,0.3
21-January-2014,35.5,35.8,35.5,35.6,35.58848614072494,28140,259,1001460.0,18582.0,66.03,0.3,0.1
22-January-2014,36.0,36.0,35.3,35.55,35.56072412904249,50433,317,1793434.0,36925.0,73.22,0.7,-0.45
23-January-2014,35.5,36.55,35.5,36.15,36.22631771787489,95525,837,3460519.0,48422.0,50.69,1.05,0.65
24-January-2014,36.15,36.35,35.85,35.9,36.04203282501938,61904,424,2231146.0,40597.0,65.58,0.5,-0.25
27-January-2014,35.85,35.85,35.0,35.0,35.16435687038612,72878,597,2562708.0,50419.0,69.18,0.85,-0.85
28-January-2014,34.95,35.55,34.9,35.1,35.12589750900749,77158,560,2710244.0,44643.0,57.86,0.65,0.15
