Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,1774.0,1774.0,1761.0,1765.3,1767.5985131996633,98601,6670,174286981.0,12124.0,12.3,13.0,-8.7
02-January-2014,1766.9,1805.8,1733.0,1742.5,1777.5550327813266,404041,22624,718205113.0,95691.0,23.68,72.8,-24.4
03-January-2014,1730.0,1735.95,1710.4,1716.1,1719.9425719536664,237236,14504,408032296.0,63673.0,26.84,25.55,-13.9
06-January-2014,1720.0,1721.5,1681.0,1687.65,1694.7387313132044,220811,14947,374216954.0,61327.0,27.77,40.5,-32.35
07-January-2014,1695.0,1702.0,1653.15,1659.75,1671.0988957320649,305089,20016,509833891.0,81293.0,26.65,48.85,-35.25
08-January-2014,1665.0,1675.95,1650.0,1655.4,1664.4723769222048,264670,15845,440535904.0,62021.0,23.43,25.95,-9.6
09-January-2014,1654.9,1662.7,1630.5,1639.1,1642.111262640855,259575,21589,426251031.0,74790.0,28.81,32.2,-15.8
10-January-2014,1639.9,1656.65,1600.0,1608.85,1631.3977749808569,340851,27524,556063563.0,85768.0,25.16,56.65,-31.05
13-January-2014,1614.0,1647.1,1611.75,1641.95,1630.6610242945983,237666,15422,387552683.0,44963.0,18.92,35.35,27.95
14-January-2014,1634.0,1648.5,1622.05,1626.9,1636.1510464641754,171530,11910,280648989.0,42861.0,24.99,26.45,-7.1
15-January-2014,1635.0,1658.0,1633.25,1643.55,1646.0014511125876,245329,16217,403811890.0,61466.0,25.05,24.75,8.55
16-January-2014,1645.0,1650.55,1634.0,1637.0,1640.5515247740702,124707,8542,204588259.0,20952.0,16.8,16.55,-8.0
17-January-2014,1632.65,1644.9,1618.25,1622.05,1628.6425953036926,173498,11964,282566233.0,34456.0,19.86,26.65,-10.6
20-January-2014,1622.95,1645.9,1617.0,1641.0,1633.9510962658444,151788,9757,248014169.0,27722.0,18.26,28.9,18.05
21-January-2014,1652.6,1671.4,1646.4,1658.6,1660.4468474521295,172654,11705,286682790.0,31369.0,18.17,25.0,6.0
22-January-2014,1657.0,1657.0,1635.4,1645.75,1647.4423373622344,144539,8995,238119668.0,17641.0,12.21,21.6,-11.25
23-January-2014,1640.0,1662.0,1635.5,1657.05,1652.605064209441,157142,10166,259693665.0,18623.0,11.85,26.5,17.05
24-January-2014,1649.45,1664.1,1618.25,1621.95,1636.113955078213,222342,13735,363776849.0,48185.0,21.67,45.85,-27.5
27-January-2014,1600.0,1604.15,1584.25,1594.55,1593.9071076447647,244638,16266,389930247.0,65488.0,26.77,19.9,-5.45
28-January-2014,1600.0,1628.0,1580.0,1595.95,1599.6660359445887,304413,19265,486959137.0,40133.0,13.18,48.0,-4.05
29-January-2014,1611.35,1621.9,1570.15,1573.65,1581.2676682747854,281281,18227,444780551.0,76783.0,27.3,51.75,-37.7
30-January-2014,1559.6,1559.6,1514.1,1517.55,1534.2719632761468,307593,21002,471931316.0,119293.0,38.78,45.5,-42.05
