Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,4330.05,4340.0,4313.9,4336.3,4329.269230769232,78,40,337683.0,47.0,60.26,26.1,6.25
02-January-2014,4360.0,4397.0,4300.0,4353.1,4361.184060721062,527,290,2298344.0,324.0,61.48,97.0,-6.9
03-January-2014,4391.6,4410.0,4355.2,4405.5,4393.008403361345,119,50,522768.0,86.0,72.27,54.8,13.9
06-January-2014,4410.0,4468.0,4380.0,4460.35,4449.976325257856,41690,229,185519513.0,41591.0,99.76,88.0,50.35
07-January-2014,4461.05,4461.05,4356.65,4402.4,4411.29192546584,161,99,710218.0,77.0,47.83,104.4,-58.65
08-January-2014,4459.0,4540.0,4444.85,4513.2,4502.807987711213,651,154,2931328.0,491.0,75.42,95.15,54.2
09-January-2014,4451.0,4505.0,4451.0,4490.0,4486.598484848485,132,84,592231.0,51.0,38.64,54.0,39.0
10-January-2014,4549.25,4590.1,4427.0,4470.75,4505.393129770991,262,191,1180413.0,96.0,36.64,163.1,-78.5
13-January-2014,4508.9,4526.15,4403.0,4413.7,4455.5090909090895,55,36,245053.0,35.0,63.64,123.15,-95.2
14-January-2014,4476.55,4532.0,4465.0,4509.7,4485.128440366973,109,54,488879.0,82.0,75.23,67.0,33.15
15-January-2014,4525.0,4525.0,4477.1,4514.8,4507.0,94,63,423658.0,59.0,62.77,47.9,-10.2
16-January-2014,4514.45,4550.0,4498.9,4500.0,4533.458635781384,18736,122,84938881.0,18687.0,99.74,51.1,-14.45
17-January-2014,4514.7,4514.7,4470.0,4474.0,4491.7464788732395,71,53,318914.0,32.0,45.07,44.7,-40.7
20-January-2014,4470.0,4488.95,4386.0,4434.05,4445.944444444444,72,59,320108.0,40.0,55.56,102.95,-35.95
21-January-2014,4434.2,4493.9,4434.2,4469.5,4460.470198675497,302,168,1347062.0,153.0,50.66,59.7,35.3
22-January-2014,4450.0,4503.55,4416.0,4449.9,4444.193181818182,88,63,391089.0,43.0,48.86,87.55,-0.1
23-January-2014,4420.0,4472.0,4410.15,4465.5,4451.325503355706,298,62,1326495.0,288.0,96.64,61.85,45.5
24-January-2014,4466.3,4475.0,4380.0,4397.8,4459.27899639423,6656,42,29680961.0,6636.0,99.7,95.0,-68.5
27-January-2014,4310.05,4349.0,4100.1,4325.65,4241.0217748562045,2434,1219,10322647.0,468.0,19.23,248.9,15.6
28-January-2014,4242.0,4397.85,4140.15,4316.05,4200.991579679888,14370,367,60368249.0,13912.0,96.81,257.7,74.05
29-January-2014,4275.0,4440.0,4263.0,4398.9,4363.978181818181,1100,338,4800376.0,624.0,56.73,177.0,123.9
30-January-2014,4399.85,4453.35,4324.05,4339.55,4380.4850299401205,167,118,731541.0,59.0,35.33,129.3,-60.3
31-January-2014,4415.65,4449.8,4285.95,4419.35,4397.718806921676,4392,250,19314781.0,4110.0,93.58,163.85,3.7
03-February-2014,4460.0,4460.0,4375.0,4388.65,4401.416666666665,24,24,105634.0,12.0,50.0,85.0,-71.35
04-February-2014,4397.45,4397.45,4305.0,4329.1,4344.4375,96,52,417066.0,60.0,62.5,92.45,-68.35
05-February-2014,4397.5,4397.5,4310.0,4336.2,4322.866666666666,120,42,518744.0,91.0,75.83,87.5,-61.3
06-February-2014,4320.05,4400.05,4284.4,4367.35,4340.593137254901,204,178,885481.0,103.0,50.49,115.65,47.3
07-February-2014,4437.85,4437.85,4315.0,4339.75,4382.6834532374105,139,84,609193.0,74.0,53.24,122.85,-98.1
10-February-2014,4293.9,4325.0,4280.0,4306.1,4297.194520547945,365,149,1568476.0,209.0,57.26,45.0,12.2
11-February-2014,4300.0,4314.7,4250.0,4276.5,4293.666666666665,90,73,386430.0,48.0,53.33,64.7,-23.5
12-February-2014,4299.95,4310.0,4250.0,4300.65,4269.006896551724,145,54,619006.0,112.0,77.24,60.0,0.7
13-February-2014,4350.0,4355.05,4290.0,4302.0,4316.536585365854,287,92,1238846.0,182.0,63.41,65.05,-48.0
14-February-2014,4252.05,4292.0,4250.0,4251.35,4255.972222222223,108,38,459645.0,84.0,77.78,42.0,-0.7
17-February-2014,4315.6,4315.6,4234.0,4274.35,4268.191489361702,47,39,200605.0,21.0,44.68,81.6,-41.25
18-February-2014,4301.0,4301.0,4260.0,4274.2,4285.101694915255,59,45,252821.0,26.0,44.07,41.0,-26.8
19-February-2014,4306.25,4400.0,4289.0,4372.8,4336.949339207047,454,272,1968975.0,344.0,75.77,111.0,66.55
20-February-2014,4357.0,4397.9,4349.95,4385.95,4354.138576779025,267,104,1162555.0,225.0,84.27,47.95,28.95
21-February-2014,4400.0,4569.85,4399.0,4545.25,4491.5233333333335,600,307,2694914.0,375.0,62.5,170.85,145.25
24-February-2014,4599.9,4816.25,4536.05,4757.25,4660.170920340293,1293,522,6025601.0,541.0,41.84,280.2,157.35
25-February-2014,4784.0,4839.8,4610.0,4714.5,4779.064944649447,1355,281,6475633.0,1006.0,74.24,229.8,-69.5
26-February-2014,4756.4,4756.4,4601.0,4680.2,4697.770833333331,336,220,1578451.0,159.0,47.32,155.4,-76.2
28-February-2014,4650.0,4750.0,4601.8,4678.8,4679.2734375,384,245,1796841.0,153.0,39.84,148.2,28.8
03-March-2014,4659.0,4739.5,4621.0,4710.05,4691.918367346938,98,67,459808.0,43.0,43.88,118.5,51.05
04-March-2014,4710.0,4822.0,4710.0,4759.65,4749.776536312847,895,205,4251050.0,823.0,91.96,112.0,49.65
05-March-2014,4832.6,4834.95,4792.0,4815.9,4819.903927137401,20422,99,98432078.0,20346.0,99.63,42.95,-16.7
06-March-2014,4824.95,5069.85,4824.95,5024.95,5024.514427181151,35142,354,176571486.0,605.0,1.72,244.9,200.0
07-March-2014,4850.05,5139.8,4850.05,5104.55,5072.097861842105,1216,465,6167671.0,648.0,53.29,289.75,254.5
10-March-2014,5062.3,5218.9,5062.3,5179.0,5120.309301970369,6547,553,33522665.0,965.0,14.74,156.6,116.7
11-March-2014,5170.0,5235.0,5140.75,5209.5,5199.8361904761905,525,262,2729914.0,231.0,44.0,94.25,39.5
12-March-2014,5200.0,5270.0,5147.1,5264.1,5225.984210526316,570,346,2978811.0,203.0,35.61,122.9,64.1
13-March-2014,5240.0,5263.9,5030.75,5081.0,5137.029774872911,1377,490,7073690.0,826.0,59.99,233.15,-159.0
14-March-2014,5081.0,5140.85,5080.95,5100.1,5107.762376237624,101,65,515884.0,72.0,71.29,59.9,19.1
18-March-2014,5050.0,5199.95,5050.0,5176.7,5175.440677966102,118,73,610702.0,62.0,52.54,149.95,126.7
19-March-2014,5141.0,5231.05,5140.0,5209.45,5188.251256281407,199,102,1032462.0,73.0,36.68,91.05,68.45
20-March-2014,5220.2,5225.0,5185.05,5214.8,5213.231213872833,519,253,2705667.0,244.0,47.01,39.95,-5.4
21-March-2014,5220.0,5250.0,5033.0,5087.5,5121.682403433476,233,162,1193352.0,147.0,63.09,217.0,-132.5
22-March-2014,5138.0,5138.0,5101.8,5101.8,5119.5,2,2,10239.0,1.0,50.0,36.2,-36.2
24-March-2014,5087.25,5315.95,5087.25,5297.55,5242.15404699739,1149,378,6023235.0,834.0,72.58,228.7,210.3
25-March-2014,5300.0,5319.4,5275.0,5299.95,5293.125,96,46,508140.0,64.0,66.67,44.4,-0.05
26-March-2014,5329.95,5369.8,5300.0,5354.4,5328.929577464789,213,94,1135062.0,107.0,50.23,69.8,24.45
27-March-2014,5300.0,5527.2,5299.95,5500.0,5499.819551348217,203454,346,1118960287.0,203136.0,99.84,227.25,200.0
28-March-2014,5490.0,5675.0,5490.0,5612.3,5569.536146447408,3223,286,17950615.0,475.0,14.74,185.0,122.3
31-March-2014,5620.65,5699.9,5420.0,5638.4,5662.271149674621,461,230,2610307.0,260.0,56.4,279.9,17.75
01-April-2014,5640.0,5748.95,5550.0,5712.7,5683.385786802031,394,253,2239254.0,141.0,35.79,198.95,72.7
02-April-2014,5700.0,5745.0,5550.85,5737.95,5685.502702702705,185,117,1051818.0,104.0,56.22,194.15,37.95
