Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-January-2014,2180.0,2185.0,2151.05,2153.7,2160.159809004093,36650,2693,79169857.0,9262.0,25.27,33.95,-26.3
02-January-2014,2160.0,2187.15,2150.0,2162.3,2167.9188230882,58662,3654,127174454.0,7813.0,13.32,37.15,2.3
03-January-2014,2175.0,2228.25,2151.0,2222.0,2208.7444948428915,133602,12482,295092682.0,49688.0,37.19,77.25,47.0
06-January-2014,2226.0,2243.65,2197.0,2239.6,2226.5923318546274,72586,7218,161619431.0,20405.0,28.11,46.65,13.6
07-January-2014,2238.3,2254.8,2200.6,2208.2,2227.8497157745146,67552,5342,150495704.0,19440.0,28.78,54.2,-30.1
08-January-2014,2214.85,2242.5,2205.1,2233.0,2230.248328243471,75968,6708,169427505.0,21231.0,27.95,37.4,18.15
09-January-2014,2230.0,2254.75,2223.0,2243.65,2241.4281732300765,72828,5614,163238731.0,33075.0,45.42,31.75,13.65
10-January-2014,2250.0,2307.0,2236.4,2281.8,2279.9334187419463,133476,14072,304316393.0,31942.0,23.93,70.6,31.8
13-January-2014,2290.0,2382.25,2289.0,2370.3,2345.996547462733,129470,11004,303736173.0,41339.0,31.93,93.25,80.3
14-January-2014,2380.0,2384.2,2322.8,2328.15,2340.2845708851733,88333,6989,206724357.0,20958.0,23.73,61.4,-51.85
15-January-2014,2343.0,2377.0,2328.15,2354.25,2355.237082778501,136678,7307,321909094.0,72686.0,53.18,48.85,11.25
16-January-2014,2380.0,2380.0,2321.1,2351.35,2348.781533796988,139184,10277,326912809.0,40062.0,28.78,58.9,-28.65
17-January-2014,2300.0,2300.0,2210.05,2215.65,2242.7897201007213,384031,32544,861300779.0,88500.0,23.05,89.95,-84.35
20-January-2014,2220.0,2348.9,2216.0,2338.25,2295.624848928637,281324,24641,645814365.0,89200.0,31.71,132.9,118.25
21-January-2014,2330.15,2340.0,2275.85,2280.65,2298.049406743262,149008,11245,342427746.0,34885.0,23.41,64.15,-49.5
