Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,AXISBANK,EQ,1299.55,1301.5,1305.0,1288.2,1293.25,1292.2,1293.87,569885,73735626165000.0,17853,81391,0.1428
02-January-2014,AXISBANK,EQ,1292.2,1292.0,1325.0,1263.35,1264.95,1272.3,1301.48,2594412,337658278290000.0,71619,777058,0.2995
03-January-2014,AXISBANK,EQ,1272.3,1258.0,1269.5,1245.6,1264.15,1260.9,1256.26,2403748,301972212955000.0,87664,1030566,0.4287
06-January-2014,AXISBANK,EQ,1260.9,1257.55,1262.0,1241.6,1257.0,1256.3,1251.92,1836289,229887895795000.0,52814,943112,0.5136000000000001
07-January-2014,AXISBANK,EQ,1256.3,1257.5,1265.8,1215.5,1235.0,1234.25,1231.23,3020062,371837771515000.0,112267,1305619,0.4323
08-January-2014,AXISBANK,EQ,1234.25,1240.0,1245.0,1207.15,1208.1,1211.75,1218.72,2780369,338848995260000.0,82520,1265801,0.4553
09-January-2014,AXISBANK,EQ,1211.75,1205.0,1210.55,1176.2,1185.6,1184.85,1188.06,5110747,607186643215000.0,172403,3182598,0.6227
10-January-2014,AXISBANK,EQ,1184.85,1193.95,1196.55,1158.9,1166.0,1164.05,1171.74,3975548,465829047575000.0,122576,2067106,0.52
13-January-2014,AXISBANK,EQ,1164.05,1165.0,1200.0,1165.0,1194.9,1184.9,1177.55,1694072,199484880910000.0,68887,658717,0.3888
14-January-2014,AXISBANK,EQ,1184.9,1185.0,1193.55,1169.25,1176.9,1177.05,1179.67,2420113,285492729440000.0,110464,1416160,0.5852
15-January-2014,AXISBANK,EQ,1177.05,1185.0,1188.0,1166.4,1183.0,1178.3,1176.45,2840552,334178128885000.0,86131,1329088,0.4679
16-January-2014,AXISBANK,EQ,1178.3,1185.0,1197.5,1168.7,1173.75,1176.15,1182.93,3795978,449038074790000.0,117326,1263193,0.33280000000000004
17-January-2014,AXISBANK,EQ,1176.15,1178.0,1188.0,1145.0,1149.75,1152.95,1160.37,3786564,439380049065000.0,90114,2267782,0.5989
20-January-2014,AXISBANK,EQ,1152.95,1142.7,1168.0,1132.3,1160.55,1163.2,1150.92,1975048,227312826530000.03,67315,651939,0.3301
21-January-2014,AXISBANK,EQ,1163.2,1164.9,1192.2,1158.5,1188.8,1188.55,1174.92,2195982,258010657220000.0,100972,856281,0.3899
22-January-2014,AXISBANK,EQ,1188.55,1186.0,1202.4,1173.1,1183.0,1188.85,1188.42,2367932,281409841595000.0,104981,930271,0.3929
23-January-2014,AXISBANK,EQ,1188.85,1183.25,1220.2,1181.35,1214.9,1216.0,1203.25,3005432,361627620585000.0,114967,1478984,0.4921
24-January-2014,AXISBANK,EQ,1216.0,1203.0,1228.8,1195.0,1201.0,1204.6,1211.36,2812868,340739581305000.0,90440,993310,0.3531
