Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,BALMLAWRIE,EQ,319.55,321.0,327.0,318.25,318.55,320.9,323.61,23693,766720120000.0,911,12034,0.5079
02-January-2014,BALMLAWRIE,EQ,320.9,324.5,335.0,320.1,322.05,321.6,325.82,42387,1381059130000.0,1161,28306,0.6678000000000001
03-January-2014,BALMLAWRIE,EQ,321.6,320.1,324.3,315.6,319.4,318.7,319.15,10102,322400460000.0,322,6664,0.6597
06-January-2014,BALMLAWRIE,EQ,318.7,320.5,324.95,314.0,315.7,315.4,318.21,7736,246167480000.0,314,5544,0.7166
07-January-2014,BALMLAWRIE,EQ,315.4,318.95,318.95,314.5,315.5,315.45,316.29,8546,270301870000.00006,338,6453,0.7551000000000001
08-January-2014,BALMLAWRIE,EQ,315.45,318.0,319.7,314.6,318.0,317.45,317.58,11044,350739385000.0,232,8943,0.8098000000000001
09-January-2014,BALMLAWRIE,EQ,317.45,323.5,323.5,315.15,316.15,316.55,317.8,3810,121081350000.0,196,3086,0.81
10-January-2014,BALMLAWRIE,EQ,316.55,316.1,318.8,313.9,314.1,314.75,316.45,5085,160917190000.0,253,3511,0.6905
13-January-2014,BALMLAWRIE,EQ,314.75,315.0,319.95,313.0,315.0,314.2,314.78,4869,153266230000.0,463,2980,0.612
14-January-2014,BALMLAWRIE,EQ,314.2,314.2,316.0,312.1,312.15,312.7,314.3,2879,90485760000.0,170,1846,0.6412000000000001
15-January-2014,BALMLAWRIE,EQ,312.7,315.8,320.0,312.1,313.25,312.75,315.94,16096,508538735000.0,652,9977,0.6198
16-January-2014,BALMLAWRIE,EQ,312.75,312.75,314.55,308.0,311.05,311.0,311.24,10219,318053985000.0,328,7437,0.7278
17-January-2014,BALMLAWRIE,EQ,311.0,308.0,316.6,308.0,313.5,313.75,312.95,6331,198130140000.0,384,3502,0.5532
20-January-2014,BALMLAWRIE,EQ,313.75,313.75,319.0,309.55,310.05,311.35,311.78,4819,150246240000.0,261,4102,0.8512000000000001
21-January-2014,BALMLAWRIE,EQ,311.35,311.4,314.0,310.0,311.9,311.3,311.86,2826,88132630000.0,183,2087,0.7384999999999999
22-January-2014,BALMLAWRIE,EQ,311.3,311.9,313.9,309.6,310.05,310.25,310.78,2485,77229240000.0,164,1852,0.7453000000000001
23-January-2014,BALMLAWRIE,EQ,310.25,313.0,313.0,306.9,309.95,309.55,308.53,7731,238522590000.0,313,5286,0.6837000000000001
24-January-2014,BALMLAWRIE,EQ,309.55,316.95,316.95,307.6,309.5,308.7,310.15,4677,145056550000.0,238,2935,0.6275000000000001
27-January-2014,BALMLAWRIE,EQ,308.7,306.0,308.7,305.25,306.0,306.0,306.36,4958,151891860000.0,340,3444,0.6946
28-January-2014,BALMLAWRIE,EQ,306.0,306.0,308.4,305.25,306.5,305.85,306.54,4075,124916250000.0,206,2928,0.7184999999999999
29-January-2014,BALMLAWRIE,EQ,305.85,306.55,307.0,303.0,303.0,304.1,304.97,7944,242268935000.0,315,6503,0.8186
30-January-2014,BALMLAWRIE,EQ,304.1,304.0,304.5,302.0,302.9,303.45,303.21,4021,121921110000.00003,200,2582,0.6421
31-January-2014,BALMLAWRIE,EQ,303.45,303.0,305.75,299.9,301.5,300.65,302.25,9378,283445890000.0,532,6276,0.6692
03-February-2014,BALMLAWRIE,EQ,300.65,300.0,306.65,299.5,299.75,300.45,300.97,8941,269093995000.00006,344,7121,0.7964
04-February-2014,BALMLAWRIE,EQ,300.45,306.45,306.45,300.0,301.05,301.75,302.05,5602,169205805000.0,235,4080,0.7283
05-February-2014,BALMLAWRIE,EQ,301.75,301.75,303.95,299.0,301.9,300.45,300.25,13764,413265985000.0,258,12111,0.8799
06-February-2014,BALMLAWRIE,EQ,300.45,301.95,306.2,300.5,306.2,304.7,301.81,5094,153742570000.0,167,4002,0.7856000000000001
07-February-2014,BALMLAWRIE,EQ,304.7,306.2,308.95,301.1,302.0,304.35,306.34,5998,183740890000.0,276,3681,0.6137
10-February-2014,BALMLAWRIE,EQ,304.35,303.0,303.95,299.1,299.55,300.15,300.34,7525,226007595000.00006,338,6119,0.8131999999999999
11-February-2014,BALMLAWRIE,EQ,300.15,299.1,302.9,299.1,300.0,299.75,299.96,11070,332060140000.0,627,8934,0.807
12-February-2014,BALMLAWRIE,EQ,299.75,299.0,300.9,298.25,298.55,299.2,299.49,7639,228783005000.0,382,5978,0.7826000000000001
13-February-2014,BALMLAWRIE,EQ,299.2,298.0,302.0,294.5,299.0,296.7,298.15,10034,299160395000.0,309,8491,0.8462000000000001
14-February-2014,BALMLAWRIE,EQ,296.7,293.7,298.95,293.45,295.0,295.85,295.74,10401,307602845000.0,535,8515,0.8187000000000001
17-February-2014,BALMLAWRIE,EQ,295.85,299.95,299.95,294.15,298.3,296.1,296.1,4285,126879760000.00003,250,3123,0.7288
18-February-2014,BALMLAWRIE,EQ,296.1,300.0,300.0,289.6,290.0,291.0,292.52,18861,551714565000.0,894,15676,0.8311000000000001
19-February-2014,BALMLAWRIE,EQ,291.0,289.65,294.5,289.0,290.4,290.2,290.33,14173,411478540000.0,428,11224,0.7919
20-February-2014,BALMLAWRIE,EQ,290.2,292.0,292.0,287.0,288.05,288.0,288.93,12835,370839065000.0,416,10023,0.7809
21-February-2014,BALMLAWRIE,EQ,288.0,288.75,291.0,288.0,288.6,289.3,289.52,4863,140794755000.0,230,3722,0.7654000000000001
24-February-2014,BALMLAWRIE,EQ,289.3,293.45,295.0,290.2,295.0,293.9,292.73,12137,355283120000.0,311,10066,0.8294
25-February-2014,BALMLAWRIE,EQ,293.9,297.0,297.0,291.0,293.55,292.35,293.65,5502,161564775000.0,298,4113,0.7475
26-February-2014,BALMLAWRIE,EQ,292.35,293.95,293.95,285.0,290.0,290.15,290.18,11943,346558800000.0,520,7576,0.6343
28-February-2014,BALMLAWRIE,EQ,290.15,289.9,292.5,288.35,290.0,289.6,289.84,8418,243983745000.00006,639,5829,0.6924
03-March-2014,BALMLAWRIE,EQ,289.6,289.6,290.3,288.0,288.0,288.2,288.79,9897,285810740000.0,384,7327,0.7403000000000001
04-March-2014,BALMLAWRIE,EQ,288.2,289.0,291.2,287.2,291.0,290.5,289.62,8338,241489170000.00006,448,7178,0.8609
05-March-2014,BALMLAWRIE,EQ,290.5,292.25,303.2,292.0,301.5,300.75,299.63,18536,555398920000.0,869,10532,0.5682
06-March-2014,BALMLAWRIE,EQ,300.75,303.2,308.55,300.5,307.0,306.35,305.06,13548,413289165000.0,1439,7803,0.5760000000000001
07-March-2014,BALMLAWRIE,EQ,306.35,306.0,309.35,303.0,306.0,306.75,306.83,15574,477854150000.0,1004,9854,0.6327
