Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,BHARTIARTL,EQ,330.25,331.0,339.0,330.2,338.7,337.75,335.11,1697629,56888644650000.0,19899,624499,0.3679
02-January-2014,BHARTIARTL,EQ,337.75,338.0,339.0,326.5,329.2,328.7,332.9,4755449,158306997760000.0,52845,3352167,0.7049
03-January-2014,BHARTIARTL,EQ,328.7,328.0,331.9,324.05,331.0,329.35,328.58,4237118,139222251959999.98,66154,2737918,0.6462000000000001
06-January-2014,BHARTIARTL,EQ,329.35,328.5,330.65,325.75,329.85,329.35,328.95,2437800,80191466055000.0,38962,1532116,0.6285000000000001
07-January-2014,BHARTIARTL,EQ,329.35,330.5,334.5,326.5,331.8,331.7,330.2,3704661,122326502995000.0,42251,2338401,0.6312
08-January-2014,BHARTIARTL,EQ,331.7,333.0,334.0,327.7,332.0,332.4,331.9,5683302,188627080160000.0,37002,4446800,0.7824
09-January-2014,BHARTIARTL,EQ,332.4,332.4,333.0,327.25,331.0,329.6,331.04,3362087,111297920715000.02,22952,2643271,0.7862
10-January-2014,BHARTIARTL,EQ,329.6,327.0,333.15,327.0,331.0,330.55,330.61,3413854,112864046580000.0,37463,2337568,0.6847
13-January-2014,BHARTIARTL,EQ,330.55,330.0,333.8,329.05,331.1,331.0,331.23,2302991,76281336575000.0,42240,1585599,0.6885
14-January-2014,BHARTIARTL,EQ,331.0,331.0,332.0,326.0,329.3,327.95,328.87,2230254,73347302295000.0,36335,1438490,0.645
15-January-2014,BHARTIARTL,EQ,327.95,329.9,333.2,329.2,332.5,331.5,331.08,2524252,83574003960000.0,29766,1671569,0.6622
16-January-2014,BHARTIARTL,EQ,331.5,332.95,332.95,313.55,315.05,315.55,317.8,9471235,300996429115000.0,110079,5795054,0.6119
17-January-2014,BHARTIARTL,EQ,315.55,316.0,318.55,306.25,311.0,310.9,312.39,5862244,183130391180000.0,118569,3125579,0.5332
20-January-2014,BHARTIARTL,EQ,310.9,311.1,312.8,307.15,307.65,308.55,309.28,4702669,145444373565000.0,70104,3042451,0.647
21-January-2014,BHARTIARTL,EQ,308.55,311.0,311.0,302.65,305.4,304.9,305.57,7067976,215975618235000.0,130655,5172403,0.7318000000000001
22-January-2014,BHARTIARTL,EQ,304.9,305.2,311.8,305.2,309.5,309.75,309.7,5363524,166107707250000.0,95281,3503411,0.6531999999999999
23-January-2014,BHARTIARTL,EQ,309.75,309.0,315.9,306.4,315.0,314.65,313.55,4757394,149166921190000.0,80139,3193248,0.6712
24-January-2014,BHARTIARTL,EQ,314.65,313.0,314.75,307.75,313.0,313.15,311.57,4558851,142039124090000.0,87288,3349199,0.7347
27-January-2014,BHARTIARTL,EQ,313.15,307.9,312.15,303.85,305.55,306.9,307.7,5018364,154412974885000.0,118383,2848677,0.5677000000000001
28-January-2014,BHARTIARTL,EQ,306.9,306.9,309.5,302.15,307.2,306.0,305.31,5189372,158435853090000.0,119359,3362275,0.6479
29-January-2014,BHARTIARTL,EQ,306.0,310.0,314.75,300.95,302.0,301.9,306.56,7761126,237921500705000.03,140441,3466604,0.4467
30-January-2014,BHARTIARTL,EQ,301.9,302.0,310.65,300.1,308.6,308.65,308.03,8481543,261256014910000.0,101565,5237493,0.6175
31-January-2014,BHARTIARTL,EQ,308.65,310.0,316.25,309.1,315.0,315.0,313.47,3312518,103836274180000.0,53646,2129835,0.643
03-February-2014,BHARTIARTL,EQ,315.0,313.1,313.1,303.8,306.5,305.85,306.88,3630373,111409235134999.98,93418,2088630,0.5753
04-February-2014,BHARTIARTL,EQ,305.85,302.9,317.7,299.45,315.0,316.25,308.73,6882938,212494857875000.0,128464,3488039,0.5068
05-February-2014,BHARTIARTL,EQ,316.25,316.9,317.7,311.4,314.95,314.3,314.73,4594081,144590868540000.0,67793,3108188,0.6766
06-February-2014,BHARTIARTL,EQ,314.3,314.5,319.45,312.5,314.5,315.1,315.34,6842879,215786371530000.03,91168,5127783,0.7494
07-February-2014,BHARTIARTL,EQ,315.1,314.75,318.25,307.45,315.0,315.55,313.43,8313742,260576234995000.0,148478,6010841,0.723
10-February-2014,BHARTIARTL,EQ,315.55,314.8,314.8,305.3,308.0,307.0,309.69,9433701,292153866690000.0,93660,7888936,0.8362999999999999
11-February-2014,BHARTIARTL,EQ,307.0,305.0,307.05,299.6,306.85,304.6,302.92,10065050,304887984615000.0,116443,7159195,0.7112999999999999
12-February-2014,BHARTIARTL,EQ,304.6,305.1,308.5,301.65,308.15,307.95,306.4,6539715,200379819175000.0,100969,4447661,0.6801
13-February-2014,BHARTIARTL,EQ,307.95,307.45,310.1,301.1,302.35,302.9,304.02,3311192,100666123000000.0,73055,2036095,0.6149
14-February-2014,BHARTIARTL,EQ,302.9,304.0,317.5,302.0,305.8,305.4,308.01,12761731,393075288030000.0,167977,8304011,0.6507
17-February-2014,BHARTIARTL,EQ,305.4,310.85,310.9,303.0,304.65,304.65,305.45,3485844,106476825725000.0,79060,2003715,0.5748
18-February-2014,BHARTIARTL,EQ,304.65,307.0,308.65,299.45,302.35,302.25,302.87,6676786,202221126620000.0,85817,3690161,0.5527000000000001
19-February-2014,BHARTIARTL,EQ,302.25,302.0,305.7,301.35,302.55,302.55,303.65,2293597,69646009325000.0,26954,959774,0.4185
20-February-2014,BHARTIARTL,EQ,302.55,304.0,304.0,296.15,297.5,296.9,298.44,4313306,128727943509999.98,61637,2240839,0.5195000000000001
21-February-2014,BHARTIARTL,EQ,296.9,297.5,298.4,286.1,288.4,288.15,291.21,5639852,164237425160000.0,65442,3032986,0.5378000000000001
24-February-2014,BHARTIARTL,EQ,288.15,289.9,292.0,281.9,283.1,282.8,286.12,6484211,185526799170000.0,101446,3757758,0.5795
25-February-2014,BHARTIARTL,EQ,282.8,283.8,289.4,283.8,286.9,287.1,287.37,5313164,152686638790000.0,56356,3486471,0.6562
26-February-2014,BHARTIARTL,EQ,287.1,287.25,291.9,285.1,287.65,288.2,289.28,7257494,209945653035000.0,66834,4283451,0.5902000000000001
28-February-2014,BHARTIARTL,EQ,288.2,290.0,292.35,283.3,288.1,287.6,287.32,4542273,130510744784999.98,71922,2808125,0.6182
03-March-2014,BHARTIARTL,EQ,287.6,290.4,290.9,285.1,286.3,286.65,287.44,3374224,96987902110000.0,48077,2016324,0.5976
04-March-2014,BHARTIARTL,EQ,286.65,288.5,290.9,285.85,287.4,287.35,287.96,3795552,109296019940000.02,43147,2370059,0.6244
05-March-2014,BHARTIARTL,EQ,287.35,290.4,290.4,281.9,282.3,282.75,283.9,7637920,216842349515000.0,87033,5669744,0.7423000000000001
06-March-2014,BHARTIARTL,EQ,282.75,284.0,286.5,283.5,285.9,285.85,285.52,7491046,213882925895000.0,51727,5870076,0.7836
07-March-2014,BHARTIARTL,EQ,285.85,288.0,305.75,287.55,301.0,301.9,299.08,12842274,384083945305000.0,121827,7259173,0.5653
10-March-2014,BHARTIARTL,EQ,301.9,301.95,309.9,300.9,304.0,305.15,306.11,9133615,279585471195000.0,132298,6855676,0.7506
11-March-2014,BHARTIARTL,EQ,305.15,306.75,306.75,298.8,304.0,303.05,302.25,4009342,121181848734999.98,50161,2395208,0.5974
12-March-2014,BHARTIARTL,EQ,303.05,305.0,307.0,298.1,299.55,300.15,301.02,3709139,111653133859999.98,43205,2265557,0.6108
13-March-2014,BHARTIARTL,EQ,300.15,301.0,303.95,298.0,301.45,300.9,301.91,2058471,62148257854999.99,40698,1274209,0.619
14-March-2014,BHARTIARTL,EQ,300.9,300.6,302.3,290.35,295.85,295.0,294.78,3784387,111557676790000.02,46293,1972368,0.5212
18-March-2014,BHARTIARTL,EQ,295.0,297.5,299.0,293.7,295.75,295.1,295.93,3104006,91855791320000.0,45566,2173024,0.7001000000000001
19-March-2014,BHARTIARTL,EQ,295.1,296.95,301.9,295.6,300.0,299.7,299.54,4696950,140693475565000.02,81946,3768084,0.8022
20-March-2014,BHARTIARTL,EQ,299.7,299.05,304.1,295.0,295.7,295.5,300.62,3228869,97064938150000.0,53840,2045903,0.6336
21-March-2014,BHARTIARTL,EQ,295.5,299.3,300.0,291.55,292.35,292.45,294.1,4551519,133858362045000.0,68045,3225506,0.7087000000000001
22-March-2014,BHARTIARTL,EQ,292.45,292.5,294.9,292.5,293.9,293.9,294.02,170901,5024763950000.0,1787,96899,0.5670000000000001
24-March-2014,BHARTIARTL,EQ,293.9,295.0,297.75,292.2,293.75,293.95,294.1,4794591,141011202215000.0,104603,3873030,0.8078000000000001
25-March-2014,BHARTIARTL,EQ,293.95,294.0,296.4,289.55,295.5,294.85,292.65,6894113,201752962910000.0,130259,5524640,0.8014
26-March-2014,BHARTIARTL,EQ,294.85,296.5,299.5,295.0,299.1,298.55,297.21,7109047,211290483070000.0,111129,5483975,0.7714
