Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,CUMMINSIND,EQ,479.15,477.5,479.7,471.1,472.0,472.8,474.59,46770,2219660945000.0,2282,22571,0.4826
02-January-2014,CUMMINSIND,EQ,472.8,473.0,476.5,458.0,461.0,459.15,466.1,125830,5864919185000.0,3192,98915,0.7861
03-January-2014,CUMMINSIND,EQ,459.15,456.0,468.0,455.0,460.95,460.7,461.38,131778,6079917735000.0,9097,92618,0.7028
06-January-2014,CUMMINSIND,EQ,460.7,462.1,482.0,462.1,470.0,471.2,473.85,379621,17988159650000.0,19739,247239,0.6513
07-January-2014,CUMMINSIND,EQ,471.2,471.5,480.0,471.5,475.0,474.9,476.15,329360,15682439550000.0,19040,266141,0.8081
08-January-2014,CUMMINSIND,EQ,474.9,477.0,478.55,470.0,472.0,471.6,472.21,59246,2797645180000.0,5481,34096,0.5755
09-January-2014,CUMMINSIND,EQ,471.6,469.1,477.0,468.0,471.0,470.35,471.09,119024,5607080735000.0,3516,88159,0.7406999999999999
10-January-2014,CUMMINSIND,EQ,470.35,472.05,475.7,457.25,459.55,459.95,464.72,159451,7410010995000.0,3459,134342,0.8425
13-January-2014,CUMMINSIND,EQ,459.95,468.75,468.75,446.0,452.4,452.8,453.74,71363,3238017230000.0,3037,53408,0.7484000000000001
14-January-2014,CUMMINSIND,EQ,452.8,451.1,472.5,451.1,470.2,470.0,463.99,109932,5100688435000.0,4773,68435,0.6225
15-January-2014,CUMMINSIND,EQ,470.0,473.0,475.0,462.25,464.1,464.85,465.62,102215,4759357850000.0,4653,71428,0.6988
16-January-2014,CUMMINSIND,EQ,464.85,465.45,472.0,460.6,465.0,465.95,468.9,222292,10423340860000.0,3159,189005,0.8503000000000001
17-January-2014,CUMMINSIND,EQ,465.95,461.15,466.45,452.7,455.5,454.85,457.21,53976,2467812220000.0,3418,40487,0.7501000000000001
20-January-2014,CUMMINSIND,EQ,454.85,451.2,459.0,451.2,453.0,454.3,455.56,51651,2353020710000.0,1420,40483,0.7837999999999999
21-January-2014,CUMMINSIND,EQ,454.3,454.9,464.5,451.3,459.8,460.35,463.17,238506,11046845250000.0,1865,215503,0.9036
22-January-2014,CUMMINSIND,EQ,460.35,460.35,466.9,456.0,457.0,458.9,462.19,39143,1809164310000.0,1189,18735,0.4786
23-January-2014,CUMMINSIND,EQ,458.9,459.0,463.85,455.15,456.0,456.15,460.21,45380,2088416475000.0,1844,35282,0.7775
24-January-2014,CUMMINSIND,EQ,456.15,456.0,458.0,445.0,448.5,448.3,450.62,44603,2009883325000.0,1994,30302,0.6794
27-January-2014,CUMMINSIND,EQ,448.3,452.0,452.8,430.5,430.6,434.5,440.75,139608,6153159175000.0,5370,115843,0.8298000000000001
28-January-2014,CUMMINSIND,EQ,434.5,434.0,445.5,430.0,436.5,436.0,436.39,167543,7311438950000.0,1564,150038,0.8955
29-January-2014,CUMMINSIND,EQ,436.0,438.0,441.5,425.25,430.0,428.05,433.46,50061,2169932000000.0,2511,30436,0.608
30-January-2014,CUMMINSIND,EQ,428.05,428.05,440.0,422.45,434.9,431.5,433.2,113945,4936105155000.0,5763,77158,0.6772
31-January-2014,CUMMINSIND,EQ,431.5,436.9,443.9,429.0,439.9,436.25,433.43,148611,6441200910000.0,5015,108305,0.7288
03-February-2014,CUMMINSIND,EQ,436.25,442.0,449.0,433.3,440.65,440.15,443.28,294665,13061794260000.0,4669,265014,0.8994
04-February-2014,CUMMINSIND,EQ,440.15,435.05,445.0,434.15,440.0,437.25,438.57,183517,8048459055000.0,3439,153039,0.8339
05-February-2014,CUMMINSIND,EQ,437.25,442.4,451.7,435.55,442.5,444.85,447.02,440842,19706404350000.0,16431,312028,0.7078
06-February-2014,CUMMINSIND,EQ,444.85,442.2,446.0,432.65,435.5,435.0,436.18,471111,20548741175000.0,6199,409941,0.8702
07-February-2014,CUMMINSIND,EQ,435.0,438.6,448.95,432.15,447.0,446.55,440.56,116743,5143197285000.0,6154,75217,0.6443000000000001
