Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,EMAMILTD,EQ,474.05,476.0,485.7,474.25,477.5,476.95,480.15,37915,1820498740000.0,1805,19388,0.5114
02-January-2014,EMAMILTD,EQ,476.95,478.95,484.45,478.0,481.0,481.9,482.25,81884,3948882875000.0,1926,63043,0.7698999999999999
03-January-2014,EMAMILTD,EQ,481.9,475.0,484.9,474.0,482.0,480.65,480.32,77845,3739031880000.0,1387,59724,0.7672
06-January-2014,EMAMILTD,EQ,480.65,480.0,484.85,475.1,476.0,476.15,479.28,195346,9362492200000.0,1203,185368,0.9489
07-January-2014,EMAMILTD,EQ,476.15,476.15,482.0,476.15,476.6,477.75,478.43,58937,2819730495000.0,1163,50593,0.8584
08-January-2014,EMAMILTD,EQ,477.75,482.95,482.95,471.3,477.0,473.2,474.53,132430,6284266515000.0,8064,103465,0.7813
09-January-2014,EMAMILTD,EQ,473.2,472.0,479.85,472.0,475.0,477.4,477.4,115610,5519235010000.0,1613,105579,0.9132
10-January-2014,EMAMILTD,EQ,477.4,470.25,480.0,470.25,473.0,474.55,475.11,65960,3133856060000.0,2116,52265,0.7924
13-January-2014,EMAMILTD,EQ,474.55,474.55,478.55,468.0,469.0,469.0,472.69,42943,2029852645000.0,3276,31883,0.7424
14-January-2014,EMAMILTD,EQ,469.0,469.0,473.85,460.0,461.5,461.9,467.72,256097,11978098805000.0,6243,228059,0.8905
15-January-2014,EMAMILTD,EQ,461.9,463.0,464.9,457.1,458.0,458.2,461.97,150298,6943285900000.0,5312,138022,0.9183
16-January-2014,EMAMILTD,EQ,458.2,460.45,463.8,446.1,446.5,448.35,453.59,122130,5539697900000.0,6132,101748,0.8331000000000001
17-January-2014,EMAMILTD,EQ,448.35,449.0,449.05,431.4,441.0,436.6,437.56,207772,9091253925000.0,8415,146835,0.7067
20-January-2014,EMAMILTD,EQ,436.6,438.0,445.95,438.0,443.2,443.55,442.77,175680,7778555155000.0,5737,132040,0.7515999999999999
21-January-2014,EMAMILTD,EQ,443.55,458.7,477.7,447.0,447.5,448.75,456.94,403829,18452688965000.0,12234,195684,0.4846
22-January-2014,EMAMILTD,EQ,448.75,450.95,456.25,448.0,448.4,453.1,452.13,214850,9713947425000.0,13209,163638,0.7615999999999999
23-January-2014,EMAMILTD,EQ,453.1,452.95,459.9,450.0,456.65,456.85,456.09,88489,4035935220000.001,7238,54970,0.6212
24-January-2014,EMAMILTD,EQ,456.85,453.7,459.9,446.95,452.0,451.25,450.99,121695,5488313345000.0,3770,97086,0.7978000000000001
27-January-2014,EMAMILTD,EQ,451.25,451.45,451.45,432.35,444.9,441.8,440.23,314603,13849901700000.0,7398,243241,0.7732
28-January-2014,EMAMILTD,EQ,441.8,441.0,443.95,420.0,435.75,434.0,431.87,349365,15088027085000.0,17694,255908,0.7325
29-January-2014,EMAMILTD,EQ,434.0,438.85,451.9,425.15,449.95,448.4,435.26,672082,29253162960000.004,14374,541534,0.8058
