Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,GODREJIND,EQ,277.25,278.9,281.45,277.4,279.4,279.1,279.68,156533,4377863415000.0,4076,53140,0.3395
02-January-2014,GODREJIND,EQ,279.1,280.85,282.0,267.05,267.1,270.9,276.58,295246,8165783180000.0,7150,130237,0.4411
03-January-2014,GODREJIND,EQ,270.9,272.9,272.9,267.0,271.0,270.5,269.28,186095,5011189180000.0,6719,71392,0.3836
06-January-2014,GODREJIND,EQ,270.5,274.95,281.7,270.5,281.7,279.3,275.99,281653,7773423540000.001,5884,131468,0.4668
07-January-2014,GODREJIND,EQ,279.3,283.4,283.4,273.0,274.1,274.05,276.41,249828,6905490495000.0,6369,61947,0.24800000000000005
08-January-2014,GODREJIND,EQ,274.05,275.95,278.9,270.65,270.85,271.9,273.84,106246,2909439590000.0,3029,31239,0.294
09-January-2014,GODREJIND,EQ,271.9,271.9,272.0,267.3,269.0,268.75,269.82,108607,2930406895000.0,2745,27271,0.2511
10-January-2014,GODREJIND,EQ,268.75,269.0,282.0,267.5,279.0,277.6,275.82,615533,16977708335000.0,9524,335722,0.5454
13-January-2014,GODREJIND,EQ,277.6,281.8,284.95,276.05,283.9,281.7,278.94,471785,13159758875000.0,4860,312424,0.6622
14-January-2014,GODREJIND,EQ,281.7,279.0,283.7,275.0,281.9,281.35,279.53,156805,4383124700000.0,4203,64200,0.4094
15-January-2014,GODREJIND,EQ,281.35,282.8,287.9,280.6,285.75,286.0,284.24,273359,7769854734999.999,7052,122241,0.4472
16-January-2014,GODREJIND,EQ,286.0,286.0,298.1,281.1,293.0,291.35,289.62,416066,12050115150000.0,6657,199606,0.4797
17-January-2014,GODREJIND,EQ,291.35,291.0,292.75,284.15,288.0,290.65,289.72,318738,9234412940000.0,11201,165853,0.5203
20-January-2014,GODREJIND,EQ,290.65,290.6,296.4,286.2,293.5,293.25,292.23,212837,6219772160000.0,5360,93943,0.4414
21-January-2014,GODREJIND,EQ,293.25,290.2,295.6,288.05,288.85,288.95,292.13,211529,6179296850000.0,7581,78373,0.3705
22-January-2014,GODREJIND,EQ,288.95,288.85,291.35,285.1,287.5,287.75,287.9,133376,3839899000000.0,4777,44305,0.3322
23-January-2014,GODREJIND,EQ,287.75,287.2,289.75,281.5,282.75,282.5,284.38,111540,3171929335000.0,4759,38719,0.3471
24-January-2014,GODREJIND,EQ,282.5,280.8,284.4,267.4,268.05,268.5,274.18,227552,6239003010000.0,10258,82614,0.3631
27-January-2014,GODREJIND,EQ,268.5,265.0,270.5,259.1,266.65,269.25,264.13,1523340,40235356605000.0,7783,1364314,0.8956000000000001
28-January-2014,GODREJIND,EQ,269.25,268.0,270.8,264.25,266.3,266.55,267.62,145592,3896386100000.0,5201,33621,0.2309
29-January-2014,GODREJIND,EQ,266.55,267.5,285.0,267.5,283.85,282.1,275.69,340959,9399935350000.0,11242,118176,0.3466
30-January-2014,GODREJIND,EQ,282.1,279.0,280.95,262.7,264.0,264.45,269.68,324013,8737966909999.999,12551,134748,0.4159000000000001
31-January-2014,GODREJIND,EQ,264.45,265.15,275.4,265.15,271.35,272.5,270.43,231730,6266754695000.0,6884,70961,0.3062
03-February-2014,GODREJIND,EQ,272.5,270.0,273.8,265.0,265.35,266.3,269.34,128627,3464396695000.0005,4318,47690,0.3708
04-February-2014,GODREJIND,EQ,266.3,261.1,269.4,260.1,266.3,266.7,264.88,170904,4526956325000.0,7479,43765,0.2561
05-February-2014,GODREJIND,EQ,266.7,269.8,279.8,267.0,278.05,277.65,273.46,352475,9638614605000.0,8723,94688,0.2686
06-February-2014,GODREJIND,EQ,277.65,280.0,283.9,273.0,276.0,275.7,279.09,312052,8709026925000.0,6265,80899,0.25920000000000004
07-February-2014,GODREJIND,EQ,275.7,279.8,281.9,275.55,280.0,280.45,279.29,336525,9398799685000.0,5756,171448,0.5095000000000001
10-February-2014,GODREJIND,EQ,280.45,277.0,279.75,269.25,269.85,269.95,272.91,301621,8231561640000.001,6548,114016,0.37799999999999995
11-February-2014,GODREJIND,EQ,269.95,269.95,275.6,267.35,273.5,274.25,271.34,268794,7293346165000.001,5073,73943,0.2751
12-February-2014,GODREJIND,EQ,274.25,275.0,276.3,269.05,270.15,270.4,272.61,324087,8834798620000.0,2833,257165,0.7935
13-February-2014,GODREJIND,EQ,270.4,270.4,274.25,269.0,271.0,270.9,271.67,109533,2975722900000.0,3486,17439,0.1592
14-February-2014,GODREJIND,EQ,270.9,271.0,273.0,265.7,271.6,270.25,268.56,159597,4286192190000.0,3659,62678,0.3927000000000001
17-February-2014,GODREJIND,EQ,270.25,270.4,274.2,267.35,273.05,273.25,270.78,122926,3328541840000.0,3070,29984,0.2439
