Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,HDFCBANK,EQ,665.85,668.0,669.8,663.0,667.0,665.15,666.09,1123109,74808986065000.0,17714,692756,0.6168
02-January-2014,HDFCBANK,EQ,665.15,665.0,674.75,653.55,658.0,657.0,665.37,1807248,120248685445000.0,23269,921852,0.5101
03-January-2014,HDFCBANK,EQ,657.0,652.0,666.0,650.0,665.0,663.1,661.19,1628296,107661400320000.0,24880,922515,0.5666
06-January-2014,HDFCBANK,EQ,663.1,663.0,663.0,657.0,662.25,661.7,660.56,1490855,98479476835000.0,14257,934131,0.6265999999999999
07-January-2014,HDFCBANK,EQ,661.7,667.1,670.95,653.3,664.55,664.4,662.03,1974230,130699522215000.02,30008,1137028,0.5759000000000001
08-January-2014,HDFCBANK,EQ,664.4,665.2,666.95,660.0,665.2,664.7,664.6,1162370,77251338795000.0,15690,693210,0.5964
09-January-2014,HDFCBANK,EQ,664.7,663.2,666.05,657.1,664.5,662.95,662.46,944368,62560413710000.0,17569,520654,0.5513
10-January-2014,HDFCBANK,EQ,662.95,662.95,674.7,656.3,663.0,662.05,666.8,1537627,102528997515000.0,30620,803001,0.5222
13-January-2014,HDFCBANK,EQ,662.05,660.1,676.95,656.9,674.0,672.85,670.07,1188145,79614062865000.0,21556,582579,0.4903
14-January-2014,HDFCBANK,EQ,672.85,669.05,676.0,668.3,672.2,672.3,673.28,894280,60209690070000.01,20488,475004,0.5312
15-January-2014,HDFCBANK,EQ,672.3,673.0,682.7,669.6,680.0,680.55,678.04,1156960,78445952730000.0,21551,535734,0.4631
16-January-2014,HDFCBANK,EQ,680.55,684.4,685.0,670.35,671.9,673.05,678.03,1125294,76298455090000.0,18790,500580,0.4448
17-January-2014,HDFCBANK,EQ,673.05,675.0,675.0,659.05,672.15,665.0,665.93,10843714,722110819225000.0,87824,6401717,0.5904
20-January-2014,HDFCBANK,EQ,665.0,668.1,676.7,666.4,669.85,670.05,671.35,1400092,93994836955000.0,23252,737039,0.5264
21-January-2014,HDFCBANK,EQ,670.05,672.95,678.8,670.0,678.5,676.1,675.41,1562981,105564660430000.0,26865,983714,0.6294
22-January-2014,HDFCBANK,EQ,676.1,675.5,684.7,674.65,676.0,677.1,680.02,1758334,119569897640000.02,24178,881049,0.5011
23-January-2014,HDFCBANK,EQ,677.1,675.0,681.1,672.75,680.0,679.5,678.77,1370685,93037511885000.0,14390,1056193,0.7706000000000001
24-January-2014,HDFCBANK,EQ,679.5,670.0,674.95,663.7,673.8,673.4,672.61,2210725,148696296135000.0,27035,1574589,0.7123
27-January-2014,HDFCBANK,EQ,673.4,664.9,664.9,645.6,655.0,649.2,652.74,4265112,278401256850000.0,49205,2817731,0.6606000000000001
28-January-2014,HDFCBANK,EQ,649.2,648.0,656.0,638.6,645.0,644.45,645.82,4598856,297002091380000.0,67271,3156790,0.6864
29-January-2014,HDFCBANK,EQ,644.45,647.5,650.9,640.55,647.05,645.45,645.59,2742731,177069266700000.0,24511,2179158,0.7945000000000001
30-January-2014,HDFCBANK,EQ,645.45,637.5,639.9,627.65,631.3,631.8,633.09,2856365,180833823380000.0,40925,2086173,0.7304
31-January-2014,HDFCBANK,EQ,631.8,630.0,636.3,625.1,628.0,628.5,628.37,2405246,151138239055000.0,43444,1696548,0.7054
03-February-2014,HDFCBANK,EQ,628.5,629.95,634.0,625.1,626.4,626.5,629.26,1194205,75146465360000.0,18364,638239,0.5344
04-February-2014,HDFCBANK,EQ,626.5,621.65,635.5,616.8,633.3,630.6,627.63,1852326,116256908620000.0,30498,1056878,0.5706
05-February-2014,HDFCBANK,EQ,630.6,631.0,639.8,625.1,637.0,637.45,633.9,1726346,109433672715000.02,27596,1085258,0.6286
06-February-2014,HDFCBANK,EQ,637.45,638.75,649.6,629.5,647.5,647.0,640.68,3366736,215700022220000.0,34141,2218436,0.6589
07-February-2014,HDFCBANK,EQ,647.0,652.4,654.5,642.1,646.85,647.75,648.4,1007367,65317756190000.0,18131,576595,0.5724
10-February-2014,HDFCBANK,EQ,647.75,647.65,650.15,636.0,644.5,643.9,643.35,1570205,101018692620000.0,29684,1114840,0.71
