Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,HEROMOTOCO,EQ,2075.3,2083.0,2101.45,2061.85,2085.0,2085.85,2087.57,93575,19534422285000.0,7682,28448,0.304
02-January-2014,HEROMOTOCO,EQ,2085.85,2089.0,2104.0,2071.3,2075.0,2080.55,2090.76,100402,20991684495000.0,6094,57152,0.5692
03-January-2014,HEROMOTOCO,EQ,2080.55,2075.05,2119.0,2055.0,2099.9,2101.05,2098.19,310195,65084858890000.0,21201,154312,0.4975
06-January-2014,HEROMOTOCO,EQ,2101.05,2101.05,2101.05,2061.1,2068.0,2068.9,2075.35,254511,52820026710000.0,18191,93775,0.3685
07-January-2014,HEROMOTOCO,EQ,2068.9,2071.1,2095.65,2055.8,2065.75,2069.0,2071.07,257093,53245886360000.0,16699,130191,0.5064
08-January-2014,HEROMOTOCO,EQ,2069.0,2075.0,2089.6,2057.0,2067.05,2064.65,2075.91,262835,54562214585000.0,32449,131218,0.4992
09-January-2014,HEROMOTOCO,EQ,2064.65,2069.45,2080.0,2059.4,2066.3,2068.3,2070.55,128253,26555430320000.0,16587,76292,0.5949
10-January-2014,HEROMOTOCO,EQ,2068.3,2063.05,2073.7,2032.0,2034.5,2039.1,2053.22,252477,51839024280000.0,21520,108936,0.4315
13-January-2014,HEROMOTOCO,EQ,2039.1,2032.05,2049.95,2021.0,2036.0,2037.0,2036.81,257418,52431216490000.0,16191,144842,0.5627000000000001
14-January-2014,HEROMOTOCO,EQ,2037.0,2036.0,2049.8,2026.45,2040.35,2037.2,2037.58,198930,40533643120000.0,11965,136902,0.6881999999999999
15-January-2014,HEROMOTOCO,EQ,2037.2,2040.1,2096.9,2040.1,2071.0,2073.5,2075.53,198099,41116055695000.0,19335,62385,0.3149
16-January-2014,HEROMOTOCO,EQ,2073.5,2076.25,2108.95,2065.25,2072.25,2076.65,2083.63,240797,50173110960000.0,17503,80188,0.333
17-January-2014,HEROMOTOCO,EQ,2076.65,2078.85,2098.0,2066.0,2066.9,2075.75,2085.57,191608,39961161705000.0,20958,95074,0.4962
20-January-2014,HEROMOTOCO,EQ,2075.75,2080.0,2102.0,2056.1,2084.0,2086.0,2086.59,294083,61363043104999.99,15545,192070,0.6531
21-January-2014,HEROMOTOCO,EQ,2086.0,2091.1,2104.0,2065.0,2067.85,2068.05,2082.38,178068,37080599765000.0,13487,90941,0.5107
22-January-2014,HEROMOTOCO,EQ,2068.05,2071.0,2072.5,2050.0,2058.0,2059.9,2060.19,220535,45434382470000.0,15530,133201,0.604
23-January-2014,HEROMOTOCO,EQ,2059.9,2065.0,2069.0,2051.0,2054.0,2053.6,2056.31,150469,30941018255000.0,15196,111745,0.7426
24-January-2014,HEROMOTOCO,EQ,2053.6,2049.0,2062.15,2022.5,2031.0,2036.65,2036.58,271283,55249072490000.0,18465,190934,0.7038
27-January-2014,HEROMOTOCO,EQ,2036.65,2029.7,2035.5,2007.45,2022.0,2016.75,2023.4,574374,116218698159999.98,20665,496988,0.8653000000000001
28-January-2014,HEROMOTOCO,EQ,2016.75,2014.7,2031.0,1987.0,2011.6,2013.15,2010.95,222697,44783275405000.0,17160,141082,0.6335000000000001
29-January-2014,HEROMOTOCO,EQ,2013.15,2015.1,2080.0,2015.1,2070.35,2071.5,2061.99,273137,56320625285000.0,18852,184742,0.6764
30-January-2014,HEROMOTOCO,EQ,2071.5,2094.0,2094.0,1980.05,2002.0,1998.1,2019.85,728691,147184600205000.0,47335,376234,0.5163
31-January-2014,HEROMOTOCO,EQ,1998.1,1965.0,2027.8,1953.25,1979.65,1969.2,1980.72,763748,151277023430000.0,39886,375188,0.4912
03-February-2014,HEROMOTOCO,EQ,1969.2,1972.0,2003.0,1951.0,1953.2,1962.0,1981.28,138027,27347008960000.004,11387,47660,0.3453
04-February-2014,HEROMOTOCO,EQ,1962.0,1950.0,2007.1,1939.2,1998.45,1986.1,1971.44,304380,60006577595000.01,22107,172693,0.5674
05-February-2014,HEROMOTOCO,EQ,1986.1,1994.8,1999.0,1970.0,1990.0,1988.2,1987.96,193619,38490758100000.0,20017,126335,0.6525
06-February-2014,HEROMOTOCO,EQ,1988.2,1995.25,2001.9,1959.85,1985.0,1984.2,1972.76,221073,43612318265000.0,21706,129162,0.5843
07-February-2014,HEROMOTOCO,EQ,1984.2,2000.0,2011.3,1984.6,1998.0,2005.5,2000.28,192251,38455629680000.0,16871,121119,0.63
10-February-2014,HEROMOTOCO,EQ,2005.5,1999.0,2019.9,1985.1,1995.25,1999.75,1998.9,58916,11776718735000.0,5755,19318,0.3279
11-February-2014,HEROMOTOCO,EQ,1999.75,2005.1,2007.65,1960.0,1961.65,1961.8,1969.85,327816,64574817310000.0,22401,208348,0.6356
12-February-2014,HEROMOTOCO,EQ,1961.8,1970.1,1986.0,1966.0,1978.75,1974.85,1975.44,105852,20910419045000.0,13371,47821,0.4518
13-February-2014,HEROMOTOCO,EQ,1974.85,1981.25,1989.0,1960.0,1963.0,1967.5,1969.26,135293,26642684070000.0,16929,79853,0.5902000000000001
14-February-2014,HEROMOTOCO,EQ,1967.5,1964.25,1995.6,1912.2,1941.0,1937.3,1940.86,309792,60126236625000.0,36395,206243,0.6657
