Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,INFY,EQ,3485.65,3492.0,3499.0,3462.05,3465.4,3468.0,3473.69,184836,64206388540000.0,11876,51658,0.2795
02-January-2014,INFY,EQ,3468.0,3463.25,3508.0,3463.25,3484.2,3480.55,3483.33,550593,191789870895000.0,28599,342682,0.6224000000000001
03-January-2014,INFY,EQ,3480.55,3475.0,3575.0,3454.25,3561.2,3565.15,3539.91,1255793,444538936400000.0,74223,865191,0.6890000000000001
06-January-2014,INFY,EQ,3565.15,3575.1,3580.5,3468.6,3510.9,3517.9,3520.33,1387291,488372708155000.0,79022,898450,0.6476000000000001
07-January-2014,INFY,EQ,3517.9,3519.05,3525.9,3446.7,3460.0,3457.15,3478.47,964211,335398332650000.0,66664,712188,0.7386
08-January-2014,INFY,EQ,3457.15,3461.0,3475.0,3421.0,3432.4,3428.1,3437.05,1123799,386255070050000.0,94416,788138,0.7012999999999999
09-January-2014,INFY,EQ,3428.1,3440.0,3482.0,3417.85,3448.3,3450.8,3453.73,1573851,543565911825000.0,122460,888041,0.5642
10-January-2014,INFY,EQ,3450.8,3490.0,3575.0,3448.0,3556.0,3551.25,3534.32,3782272,1336775910040000.0,190570,1739108,0.4598
13-January-2014,INFY,EQ,3551.25,3582.0,3675.0,3582.0,3664.0,3665.0,3660.54,2139989,783352197825000.0,132647,1448502,0.6769
14-January-2014,INFY,EQ,3665.0,3645.0,3695.0,3640.45,3691.9,3686.75,3668.22,928229,340494821465000.0,59808,578811,0.6236
15-January-2014,INFY,EQ,3686.75,3695.3,3724.35,3681.0,3718.0,3712.05,3707.19,2141268,793809329095000.0,130924,1572474,0.7343999999999999
16-January-2014,INFY,EQ,3712.05,3699.0,3737.45,3693.65,3721.95,3725.05,3721.34,2201029,819077782680000.0,96512,1885095,0.8565
17-January-2014,INFY,EQ,3725.05,3729.0,3764.65,3720.0,3741.0,3729.75,3747.76,3208487,1202465312705000.0,95916,2496805,0.7782
20-January-2014,INFY,EQ,3729.75,3712.0,3759.95,3704.45,3755.5,3749.3,3733.07,1220243,455525190415000.0,77103,949324,0.778
21-January-2014,INFY,EQ,3749.3,3750.0,3770.0,3718.35,3758.0,3758.35,3745.09,1512808,566560104225000.0,51076,1155148,0.7636000000000001
22-January-2014,INFY,EQ,3758.35,3741.2,3778.0,3740.05,3770.0,3765.9,3763.46,846220,318471395515000.0,81973,628820,0.7431
23-January-2014,INFY,EQ,3765.9,3784.1,3799.0,3760.85,3796.5,3792.5,3780.22,988418,373644165965000.0,90117,709935,0.7183
24-January-2014,INFY,EQ,3792.5,3765.0,3796.95,3754.7,3764.8,3758.15,3773.3,859573,324342778445000.0,58213,644313,0.7495999999999999
27-January-2014,INFY,EQ,3758.15,3720.0,3763.9,3711.2,3739.2,3732.2,3739.09,1012381,378537976680000.0,51163,822022,0.812
28-January-2014,INFY,EQ,3732.2,3707.0,3708.7,3666.85,3685.0,3675.1,3683.48,1763568,649607328865000.0,81381,1473958,0.8358
29-January-2014,INFY,EQ,3675.1,3666.0,3743.7,3653.65,3718.0,3717.8,3708.69,1012760,375601254535000.0,48870,753792,0.7443000000000001
