Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,IOC,EQ,214.15,212.6,214.8,207.5,207.95,208.55,210.62,434131,9143518550000.0,6096,244932,0.5642
02-January-2014,IOC,EQ,208.55,210.9,212.2,205.1,205.7,205.8,208.92,925310,19331804525000.0,8873,477180,0.5157
03-January-2014,IOC,EQ,205.8,205.8,207.25,202.6,204.2,203.45,204.09,304665,6217904965000.0,7577,126723,0.4159000000000001
06-January-2014,IOC,EQ,203.45,205.5,206.5,203.0,204.3,204.55,204.74,1005131,20578705105000.0,14307,579312,0.5764
07-January-2014,IOC,EQ,204.55,204.0,205.0,198.1,198.45,199.75,201.39,922477,18577645960000.0,18656,550207,0.5964
08-January-2014,IOC,EQ,199.75,199.75,202.35,195.0,195.4,195.5,196.73,1240027,24395078450000.0,18614,683822,0.5515
09-January-2014,IOC,EQ,195.5,196.7,200.75,193.75,199.25,198.85,198.22,1024051,20298933550000.0,13415,284016,0.2773
10-January-2014,IOC,EQ,198.85,200.4,203.6,199.55,200.6,200.7,201.26,874603,17602003110000.0,11355,283389,0.324
13-January-2014,IOC,EQ,200.7,201.9,208.9,201.6,206.8,207.35,204.99,778592,15960273930000.002,11352,366811,0.4711
14-January-2014,IOC,EQ,207.35,205.5,208.4,203.85,205.0,206.1,206.08,416467,8582351225000.0,9647,142630,0.3425
15-January-2014,IOC,EQ,206.1,205.15,210.0,205.15,209.1,209.55,208.53,390233,8137678030000.0,7616,184103,0.4718
16-January-2014,IOC,EQ,209.55,210.05,213.0,209.35,212.0,212.25,211.32,485614,10262033405000.0,10548,246892,0.5084000000000001
17-January-2014,IOC,EQ,212.25,214.0,227.9,214.0,224.5,225.1,222.7,3298324,73454793400000.0,44529,1460121,0.4427
20-January-2014,IOC,EQ,225.1,224.0,226.15,220.2,223.7,224.75,223.37,884380,19754322880000.0,21029,296047,0.3348
21-January-2014,IOC,EQ,224.75,225.0,227.9,222.8,224.9,225.1,224.7,377422,8480852055000.0,6060,134304,0.3558
22-January-2014,IOC,EQ,225.1,226.5,229.9,225.5,228.4,228.75,227.33,381172,8665059840000.001,6172,145933,0.3829
23-January-2014,IOC,EQ,228.75,228.55,230.6,226.65,228.65,227.95,228.59,464583,10619844715000.0,7150,252819,0.5442
24-January-2014,IOC,EQ,227.95,227.0,229.1,225.1,227.5,227.85,227.55,334388,7609034725000.0,9216,105117,0.3144
27-January-2014,IOC,EQ,227.85,225.0,227.2,221.5,223.6,223.6,224.24,412891,9258686040000.0,6075,167057,0.4046
