Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,LUPIN,EQ,908.15,916.5,925.9,911.0,916.9,916.5,919.85,520076,47839073190000.0,17687,198780,0.3822
02-January-2014,LUPIN,EQ,916.5,918.5,921.85,901.1,907.4,906.0,912.45,278407,25403218625000.0,9010,130027,0.467
03-January-2014,LUPIN,EQ,906.0,905.0,940.75,896.1,935.0,932.9,921.11,745502,68668811595000.01,18858,343367,0.4606
06-January-2014,LUPIN,EQ,932.9,935.6,950.95,934.15,940.0,938.0,941.35,718304,67617736360000.0,18165,274436,0.3821
07-January-2014,LUPIN,EQ,938.0,943.0,949.7,927.0,933.0,932.9,936.49,476144,44590413960000.0,15700,192194,0.4036
08-January-2014,LUPIN,EQ,932.9,936.2,947.5,931.4,938.0,938.35,940.47,346294,32567976540000.0,11010,155881,0.4501
09-January-2014,LUPIN,EQ,938.35,940.0,945.0,930.5,935.0,934.0,935.77,676550,63309498335000.0,22064,443423,0.6554000000000001
10-January-2014,LUPIN,EQ,934.0,935.95,949.6,933.55,937.0,936.75,941.49,488575,45998630665000.0,15993,179741,0.3679
13-January-2014,LUPIN,EQ,936.75,936.75,947.55,891.7,920.7,919.95,919.65,914950,84143589270000.0,28006,244621,0.2674
14-January-2014,LUPIN,EQ,919.95,926.4,939.0,915.3,937.1,934.35,925.97,251163,23256864725000.0,8210,72253,0.2877
15-January-2014,LUPIN,EQ,934.35,935.4,936.85,923.0,927.85,925.25,928.2,269325,24998658385000.0,8730,97718,0.3628
16-January-2014,LUPIN,EQ,925.25,934.7,934.7,912.3,916.8,916.0,920.97,310138,28562874700000.0,9906,159174,0.5132
17-January-2014,LUPIN,EQ,916.0,916.0,924.45,905.15,911.0,909.35,913.54,251215,22949423750000.0,11367,113310,0.451
20-January-2014,LUPIN,EQ,909.35,911.35,917.45,901.75,910.0,909.85,910.5,257266,23424134305000.0,10138,112841,0.4386
21-January-2014,LUPIN,EQ,909.85,910.25,915.9,905.35,908.0,907.5,909.45,321629,29250468330000.0,9696,139722,0.4344
22-January-2014,LUPIN,EQ,907.5,910.05,932.0,902.4,928.5,926.95,924.91,562966,52069308860000.0,15880,216463,0.3845000000000001
23-January-2014,LUPIN,EQ,926.95,927.1,937.65,915.25,924.0,921.9,928.01,317591,29472915395000.0,11183,78732,0.2479
24-January-2014,LUPIN,EQ,921.9,920.0,927.8,908.1,913.45,913.75,914.88,252879,23135494965000.0,7472,112347,0.4443
27-January-2014,LUPIN,EQ,913.75,908.0,917.9,892.0,897.0,896.4,904.87,445043,40270811960000.0,19620,201846,0.4535
28-January-2014,LUPIN,EQ,896.4,900.0,901.05,871.75,874.95,876.25,880.94,527276,46449670340000.0,21006,260194,0.4935000000000001
29-January-2014,LUPIN,EQ,876.25,879.3,888.5,862.0,868.0,866.25,877.0,697874,61203802354999.99,17747,458157,0.6565000000000001
30-January-2014,LUPIN,EQ,866.25,871.0,883.9,855.4,872.15,869.85,871.75,1528982,133288927570000.0,27693,936211,0.6123
31-January-2014,LUPIN,EQ,869.85,874.0,891.4,865.55,883.95,881.9,879.61,498201,43822021520000.0,13734,239316,0.4804
03-February-2014,LUPIN,EQ,881.9,882.0,925.0,882.0,922.1,921.8,907.04,2556001,231840703530000.03,64881,460725,0.1803
04-February-2014,LUPIN,EQ,921.8,925.0,932.15,906.55,913.05,912.05,920.95,1509197,138989948695000.0,34979,468271,0.3103
05-February-2014,LUPIN,EQ,912.05,915.0,923.0,908.3,915.05,915.45,916.47,437272,40074686965000.0,13327,150785,0.3448
06-February-2014,LUPIN,EQ,915.45,916.0,922.7,902.65,910.0,908.95,911.06,367874,33515639025000.0,9336,118486,0.3221
07-February-2014,LUPIN,EQ,908.95,912.95,923.55,911.15,919.85,919.3,917.69,457267,41962959035000.0,10895,218412,0.4776
10-February-2014,LUPIN,EQ,919.3,923.1,930.9,917.8,923.85,924.55,925.6,330829,30621446835000.004,16004,111422,0.3368
11-February-2014,LUPIN,EQ,924.55,926.2,926.25,910.2,913.0,913.2,915.93,244057,22353797280000.0,19073,101220,0.4147
12-February-2014,LUPIN,EQ,913.2,915.3,920.9,907.75,909.5,910.0,915.19,193919,17747318765000.0,10878,83804,0.4322
13-February-2014,LUPIN,EQ,910.0,904.5,908.5,889.05,892.5,894.05,899.42,832679,74892916705000.0,30037,428433,0.5145000000000001
14-February-2014,LUPIN,EQ,894.05,895.95,907.0,892.65,902.05,901.35,900.52,293287,26411152550000.0,11469,157017,0.5354
17-February-2014,LUPIN,EQ,901.35,900.0,917.65,899.25,916.65,914.3,910.87,286071,26057312820000.0,8865,121390,0.4243
18-February-2014,LUPIN,EQ,914.3,920.0,931.0,915.45,923.4,922.75,924.57,378643,35008354300000.0,11163,183525,0.4847
19-February-2014,LUPIN,EQ,922.75,920.7,944.45,920.1,942.5,942.15,934.39,459407,42926334300000.0,16630,146449,0.3188
20-February-2014,LUPIN,EQ,942.15,944.0,948.4,935.2,937.0,937.45,941.8,392575,36972526550000.0,10894,127490,0.3248
21-February-2014,LUPIN,EQ,937.45,943.0,950.75,933.25,935.0,935.8,941.15,472259,44446469915000.0,17523,211967,0.4488
24-February-2014,LUPIN,EQ,935.8,937.0,958.4,931.3,957.45,956.2,951.43,551076,52430757710000.0,23433,243623,0.4421
25-February-2014,LUPIN,EQ,956.2,959.8,968.4,951.2,953.2,953.55,957.9,462199,44274094810000.0,18459,208648,0.4514
26-February-2014,LUPIN,EQ,953.55,958.6,967.1,948.0,959.95,960.15,958.45,651964,62487314745000.01,24892,318122,0.4879
28-February-2014,LUPIN,EQ,960.15,951.5,1002.4,951.0,998.0,995.45,981.26,1048807,102915275715000.0,35317,353453,0.337
03-March-2014,LUPIN,EQ,995.45,998.0,1002.0,976.55,979.5,982.75,988.15,382069,37754180600000.0,14568,172006,0.4502
04-March-2014,LUPIN,EQ,982.75,982.15,1003.7,980.0,987.0,988.95,993.14,572393,56846728454999.99,16743,248535,0.4342
05-March-2014,LUPIN,EQ,988.95,994.6,999.65,983.0,990.0,988.85,992.06,346674,34392263645000.0,12623,143679,0.4144
06-March-2014,LUPIN,EQ,988.85,990.0,993.95,974.65,981.7,982.8,981.52,423931,41609510195000.0,14895,195921,0.4622
07-March-2014,LUPIN,EQ,982.8,988.0,993.3,952.4,975.0,966.3,966.96,682576,66002445510000.0,24161,316304,0.4634
10-March-2014,LUPIN,EQ,966.3,974.0,979.75,954.0,956.7,958.25,965.96,520690,50296551815000.0,17576,252900,0.4857
11-March-2014,LUPIN,EQ,958.25,960.9,972.7,953.15,966.75,963.35,962.14,371977,35789250660000.0,11312,142956,0.3843
12-March-2014,LUPIN,EQ,963.35,963.0,974.9,959.1,961.05,961.05,966.45,272280,26314476085000.0,8847,62400,0.2292
