Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,M&M,EQ,944.2,948.0,953.0,942.5,947.9,948.0,948.36,311759,29565920640000.0,7834,107014,0.3433
02-January-2014,M&M,EQ,948.0,944.0,959.0,930.0,931.0,936.1,949.56,503776,47836587625000.0,18923,297554,0.5906
03-January-2014,M&M,EQ,936.1,928.0,934.0,897.5,901.15,900.25,907.56,1045971,94928035255000.0,43489,590112,0.5642
06-January-2014,M&M,EQ,900.25,903.7,904.9,887.4,900.6,895.4,894.41,638053,57068241865000.0,29853,337483,0.5289
07-January-2014,M&M,EQ,895.4,896.0,908.05,890.1,906.95,903.1,898.46,899197,80788879735000.0,40821,519470,0.5777
08-January-2014,M&M,EQ,903.1,908.0,914.9,899.05,910.0,908.6,908.12,588184,53413963935000.0,21092,292331,0.4970000000000001
09-January-2014,M&M,EQ,908.6,910.0,917.45,890.0,891.4,894.35,906.17,459440,41632925105000.0,18181,172610,0.3757
10-January-2014,M&M,EQ,894.35,894.0,896.0,864.8,872.65,874.55,876.38,896627,78579035540000.0,48319,450918,0.5029
13-January-2014,M&M,EQ,874.55,873.0,891.05,873.0,888.7,888.25,884.33,507675,44895007485000.0,20329,245067,0.4827
14-January-2014,M&M,EQ,888.25,883.0,900.85,882.65,890.0,891.05,893.16,671699,59993655070000.01,18723,381358,0.5678
15-January-2014,M&M,EQ,891.05,891.5,907.0,886.95,905.65,904.9,896.11,824994,73928638320000.0,34094,403960,0.4897
16-January-2014,M&M,EQ,904.9,905.5,906.1,888.35,893.5,892.65,893.9,826060,73841328365000.0,48292,588588,0.7125
17-January-2014,M&M,EQ,892.65,891.0,905.4,891.0,900.0,899.55,900.08,916751,82514739495000.0,30908,703001,0.7668
20-January-2014,M&M,EQ,899.55,891.0,913.25,891.0,906.0,906.75,907.44,508424,46136288995000.0,24765,240766,0.4736
21-January-2014,M&M,EQ,906.75,906.0,921.75,898.0,900.8,903.6,911.9,519638,47385841565000.0,29401,265822,0.5115999999999999
22-January-2014,M&M,EQ,903.6,898.15,918.0,898.15,914.45,916.45,912.98,955815,87264038335000.0,24462,646322,0.6762
23-January-2014,M&M,EQ,916.45,916.45,917.0,886.7,890.0,890.1,893.92,1047415,93630508870000.0,62356,712610,0.6804000000000001
24-January-2014,M&M,EQ,890.1,882.5,892.5,874.0,886.5,884.8,881.49,1991029,175506500680000.0,81596,1531982,0.7694
27-January-2014,M&M,EQ,884.8,861.2,875.0,858.25,867.0,866.85,866.54,1304447,113035390355000.0,44546,992549,0.7609
28-January-2014,M&M,EQ,866.85,865.0,880.0,863.05,875.8,875.1,874.69,1129327,98781457280000.0,41334,846996,0.75
29-January-2014,M&M,EQ,875.1,878.95,886.55,859.0,863.4,861.95,874.76,784718,68643673985000.0,41680,576623,0.7348
30-January-2014,M&M,EQ,861.95,859.0,878.0,849.95,871.1,867.9,865.14,774710,67023353425000.0,22936,515933,0.6659999999999999
31-January-2014,M&M,EQ,867.9,874.0,898.6,869.05,887.5,890.2,890.76,942208,83928523075000.0,27440,640175,0.6794
03-February-2014,M&M,EQ,890.2,882.2,891.6,867.0,885.05,884.85,880.72,990012,87192483860000.0,37793,708349,0.7155
04-February-2014,M&M,EQ,884.85,875.0,876.0,846.6,858.0,853.75,854.34,1822968,155744281095000.0,67737,1250753,0.6861
05-February-2014,M&M,EQ,853.75,857.0,881.0,856.0,876.0,878.35,870.43,917994,79905386495000.0,29388,562515,0.6128
06-February-2014,M&M,EQ,878.35,875.5,899.7,866.9,898.0,896.95,884.32,1110998,98247720875000.0,35215,745921,0.6714
07-February-2014,M&M,EQ,896.95,902.55,903.0,886.45,895.0,895.55,893.06,721608,64443581795000.01,17089,467239,0.6475
10-February-2014,M&M,EQ,895.55,895.25,902.5,887.0,895.0,894.2,891.68,790281,70467593740000.0,30246,628371,0.7951
11-February-2014,M&M,EQ,894.2,898.1,902.3,887.0,896.5,897.05,894.46,696770,62323475275000.0,33227,488384,0.7009000000000001
12-February-2014,M&M,EQ,897.05,897.7,900.85,889.95,895.1,895.5,895.8,438370,39269348910000.0,21552,325763,0.7431
13-February-2014,M&M,EQ,895.5,895.0,911.0,895.0,905.75,906.65,906.04,804727,72911767280000.0,48046,449559,0.5586
14-February-2014,M&M,EQ,906.65,907.0,913.7,886.65,906.0,904.4,901.39,1268648,114354340700000.0,39725,565839,0.446
17-February-2014,M&M,EQ,904.4,904.95,935.7,897.3,934.0,928.1,917.28,1121503,102873548675000.0,26849,472840,0.4216
18-February-2014,M&M,EQ,928.1,935.0,939.9,924.5,935.0,935.15,933.93,1021824,95431416005000.0,36837,549815,0.5381
19-February-2014,M&M,EQ,935.15,936.0,947.3,935.95,943.0,943.2,942.42,891891,84053986440000.0,27394,526557,0.5904
20-February-2014,M&M,EQ,943.2,936.15,941.6,927.1,931.0,929.95,934.94,825663,77194631910000.0,21959,612590,0.7419
21-February-2014,M&M,EQ,929.95,930.3,939.0,922.85,931.0,930.0,931.56,467313,43532896695000.0,25458,306746,0.6564
24-February-2014,M&M,EQ,930.0,930.0,946.0,928.05,943.1,944.1,941.9,391298,36856250565000.0,13417,195029,0.4984000000000001
25-February-2014,M&M,EQ,944.1,945.9,949.3,935.55,942.0,943.9,942.92,955190,90066679490000.0,33247,747066,0.7820999999999999
26-February-2014,M&M,EQ,943.9,943.0,970.0,936.45,965.2,964.7,957.69,854094,81795607800000.0,24422,577658,0.6763
28-February-2014,M&M,EQ,964.7,965.0,978.9,949.0,973.0,974.5,965.69,953836,92111320495000.0,34294,582411,0.6106
03-March-2014,M&M,EQ,974.5,972.7,977.95,950.0,951.8,952.25,964.11,534471,51528907160000.0,23293,322412,0.6032000000000001
04-March-2014,M&M,EQ,952.25,950.1,965.35,944.6,954.0,955.8,956.26,575424,55025402020000.01,27225,349587,0.6075
05-March-2014,M&M,EQ,955.8,957.5,958.75,940.2,950.0,948.55,946.52,609756,57714755735000.0,22408,358421,0.5878
06-March-2014,M&M,EQ,948.55,950.3,961.0,948.55,954.15,955.35,954.93,958756,91554875415000.0,28645,680773,0.7101000000000001
07-March-2014,M&M,EQ,955.35,960.0,991.95,951.55,980.15,983.55,978.34,1001714,98001620350000.0,27708,449166,0.4484
10-March-2014,M&M,EQ,983.55,979.3,1021.0,975.0,1018.8,1015.85,1003.76,1234628,123927397909999.98,44820,660120,0.5347
11-March-2014,M&M,EQ,1015.85,1012.0,1021.85,984.1,991.95,994.5,994.94,767406,76352449910000.0,38041,427629,0.5572
12-March-2014,M&M,EQ,994.5,989.4,998.0,983.3,996.0,991.25,988.72,1633533,161510374100000.0,32509,1228165,0.7518000000000001
13-March-2014,M&M,EQ,991.25,1001.9,1025.0,994.35,1017.5,1016.05,1015.05,1215049,123333197540000.02,48259,815059,0.6708
14-March-2014,M&M,EQ,1016.05,1012.9,1035.5,996.0,1029.05,1027.0,1012.21,1237442,125255368890000.02,48585,837319,0.6767000000000001
18-March-2014,M&M,EQ,1027.0,1028.45,1054.9,1005.05,1010.8,1009.6,1026.76,1271369,130539087900000.0,80508,810195,0.6373
19-March-2014,M&M,EQ,1009.6,1011.0,1021.9,978.0,980.1,980.45,997.7,2025079,202042637590000.0,53459,1550593,0.7656999999999999
20-March-2014,M&M,EQ,980.45,982.9,992.0,972.25,977.0,978.3,979.58,753676,73828246805000.0,31527,398757,0.5291
21-March-2014,M&M,EQ,978.3,985.0,990.0,965.5,973.8,970.45,977.24,1073949,104950487835000.0,27353,794929,0.7402
22-March-2014,M&M,EQ,970.45,981.1,982.75,971.0,971.0,973.9,975.99,39379,3843344970000.001,1518,14675,0.3727
24-March-2014,M&M,EQ,973.9,980.0,995.0,976.45,985.5,987.8,988.4,1091726,107906256270000.0,26483,811252,0.7431
25-March-2014,M&M,EQ,987.8,987.0,995.0,971.0,973.15,973.4,978.66,757147,74099282035000.0,27644,495961,0.655
26-March-2014,M&M,EQ,973.4,980.0,983.3,952.05,961.0,958.95,972.1,1213646,117978776630000.0,41992,798537,0.6579999999999999
27-March-2014,M&M,EQ,958.95,960.0,975.0,958.65,966.6,964.85,967.7,2217504,214588157865000.0,80447,1683068,0.7590000000000001
28-March-2014,M&M,EQ,964.85,969.0,973.0,955.5,965.5,968.25,964.44,1562397,150683268310000.0,81262,1217771,0.7794
31-March-2014,M&M,EQ,968.25,972.3,985.0,966.0,980.0,980.7,978.85,1665520,163029352460000.0,44100,1294287,0.7770999999999999
01-April-2014,M&M,EQ,980.7,985.0,1003.35,980.7,1000.0,1000.15,994.25,1075558,106937707735000.0,34354,592607,0.551
02-April-2014,M&M,EQ,1000.15,1006.5,1009.0,992.0,999.0,1002.0,1001.02,1105540,110666978795000.0,45547,720901,0.6520999999999999
03-April-2014,M&M,EQ,1002.0,1004.7,1011.0,989.55,1009.0,1007.2,999.74,643179,64301277935000.0,30603,369641,0.5747
04-April-2014,M&M,EQ,1007.2,1006.0,1006.0,991.15,1000.6,999.0,997.71,678999,67744658100000.0,25543,426117,0.6276
07-April-2014,M&M,EQ,999.0,1000.0,1018.35,1000.0,1014.0,1014.1,1009.37,899498,90792363525000.0,34518,595273,0.6618
09-April-2014,M&M,EQ,1014.1,1018.0,1025.0,1011.55,1023.0,1023.15,1017.7,980468,99781967525000.0,41437,763377,0.7786
10-April-2014,M&M,EQ,1023.15,1019.0,1027.6,996.2,1021.0,1021.15,1014.59,929301,94285623510000.0,37837,573645,0.6173
11-April-2014,M&M,EQ,1021.15,1012.1,1019.0,1000.0,1001.0,1005.5,1006.94,610992,61523239350000.0,23294,359109,0.5877
15-April-2014,M&M,EQ,1005.5,996.5,1005.7,975.6,985.0,984.7,982.85,852330,83771462390000.0,52098,568437,0.6668999999999999
16-April-2014,M&M,EQ,984.7,985.0,993.3,965.05,975.65,976.55,977.71,1162213,113630606390000.02,42512,592508,0.5098
17-April-2014,M&M,EQ,976.55,980.0,1000.0,978.25,995.35,996.95,990.4,671953,66549915145000.01,23132,297438,0.4426
21-April-2014,M&M,EQ,996.95,1000.0,1039.9,991.4,1033.15,1033.15,1026.87,1506204,154668304900000.0,47558,1087790,0.7222
22-April-2014,M&M,EQ,1033.15,1035.0,1046.0,1021.0,1024.0,1026.4,1029.47,731931,75350195400000.0,19507,458073,0.6258
23-April-2014,M&M,EQ,1026.4,1026.65,1042.0,1023.75,1038.7,1039.15,1036.52,1211192,125542711250000.0,34649,772781,0.638
25-April-2014,M&M,EQ,1039.15,1038.0,1080.9,1032.05,1065.9,1070.7,1061.52,1321499,140279434680000.0,42278,687582,0.5203
28-April-2014,M&M,EQ,1070.7,1065.0,1074.0,1056.9,1065.6,1067.0,1068.25,913827,97619551410000.0,20267,641284,0.7018000000000001
29-April-2014,M&M,EQ,1067.0,1067.0,1083.0,1061.6,1067.25,1068.0,1069.21,855403,91460647945000.0,23731,512898,0.5996
30-April-2014,M&M,EQ,1068.0,1070.0,1091.95,1062.1,1076.85,1074.2,1077.13,1355176,145969855455000.0,41821,961924,0.7098000000000001
02-May-2014,M&M,EQ,1074.2,1059.0,1061.65,1045.1,1057.85,1057.85,1055.43,798421,84267403800000.0,39283,467084,0.585
05-May-2014,M&M,EQ,1057.85,1050.0,1072.45,1050.0,1057.05,1059.6,1063.0,617292,65617852510000.0,30901,245757,0.3981
06-May-2014,M&M,EQ,1059.6,1062.5,1069.0,1056.3,1067.0,1065.5,1062.9,328008,34864023635000.004,16413,194702,0.5936
07-May-2014,M&M,EQ,1065.5,1066.0,1073.0,1060.0,1063.45,1061.95,1063.94,411121,43740634215000.0,14236,229208,0.5575
08-May-2014,M&M,EQ,1061.95,1065.0,1073.65,1057.1,1068.0,1064.15,1063.41,489585,52063161205000.0,16021,357077,0.7293000000000001
09-May-2014,M&M,EQ,1064.15,1070.0,1110.0,1061.05,1109.25,1102.55,1092.68,858295,93784386975000.0,31134,547002,0.6373
12-May-2014,M&M,EQ,1102.55,1101.0,1139.75,1100.0,1137.5,1129.75,1118.32,811004,90695940115000.0,42711,460787,0.5682
13-May-2014,M&M,EQ,1129.75,1141.0,1177.3,1106.2,1126.85,1122.9,1145.62,790272,90535361210000.0,47714,388810,0.4920000000000001
14-May-2014,M&M,EQ,1122.9,1105.0,1111.65,1073.75,1081.65,1085.45,1080.39,10204162,1102450198720000.0,70108,7445667,0.7297
15-May-2014,M&M,EQ,1085.45,1080.0,1113.4,1079.5,1101.05,1104.55,1101.46,1056404,116358199959999.98,55579,639252,0.6051
16-May-2014,M&M,EQ,1104.55,1120.0,1183.9,1102.4,1119.45,1114.7,1145.97,1676026,192068042945000.0,57013,846130,0.5048
19-May-2014,M&M,EQ,1114.7,1139.9,1139.9,1076.8,1090.0,1099.6,1101.57,1095507,120677685900000.0,62835,567917,0.5184000000000001
20-May-2014,M&M,EQ,1099.6,1101.0,1152.25,1076.3,1134.0,1136.45,1125.49,1029777,115900476020000.0,43055,437071,0.4244
21-May-2014,M&M,EQ,1136.45,1127.0,1163.3,1122.1,1156.0,1150.3,1140.12,896177,102174891935000.0,56224,584611,0.6523000000000001
22-May-2014,M&M,EQ,1150.3,1154.7,1172.0,1125.55,1131.0,1137.6,1146.61,831455,95335634845000.0,48774,414090,0.498
23-May-2014,M&M,EQ,1137.6,1133.0,1165.9,1133.0,1161.1,1159.3,1150.6,996854,114698079150000.0,53529,501152,0.5027
26-May-2014,M&M,EQ,1159.3,1173.9,1253.75,1170.0,1244.7,1229.15,1223.55,2270149,277764335070000.0,67195,1169586,0.5152
27-May-2014,M&M,EQ,1229.15,1240.15,1240.15,1173.75,1200.0,1198.0,1193.65,812712,97009442565000.0,44357,398136,0.4899000000000001
28-May-2014,M&M,EQ,1198.0,1200.0,1207.0,1156.1,1165.5,1161.6,1167.85,1177751,137543167330000.0,57007,796986,0.6767000000000001
29-May-2014,M&M,EQ,1161.6,1165.0,1184.0,1164.35,1172.95,1176.95,1174.94,1198529,140819889540000.0,51555,837694,0.6989
30-May-2014,M&M,EQ,1176.95,1189.0,1278.7,1150.0,1233.05,1235.5,1215.41,4215542,512359866210000.06,104139,2413294,0.5725
02-June-2014,M&M,EQ,1235.5,1235.0,1269.5,1198.0,1238.15,1239.25,1234.27,1078154,133073586795000.0,39636,444759,0.4125
03-June-2014,M&M,EQ,1239.25,1240.5,1242.0,1218.5,1226.0,1230.75,1232.13,1040600,128215723740000.02,48704,702823,0.6754000000000001
04-June-2014,M&M,EQ,1230.75,1231.1,1248.0,1203.0,1214.3,1219.85,1223.99,849936,104030990780000.0,72341,457331,0.5381
