Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,MAHABANK,EQ,36.0,36.4,36.4,35.9,36.0,36.0,36.0,398564,1434761395000.0,1963,320657,0.8045
02-January-2014,MAHABANK,EQ,36.0,36.2,37.2,34.0,35.2,35.3,36.39,1502425,5467794100000.0,5254,916726,0.6102000000000001
03-January-2014,MAHABANK,EQ,35.3,35.4,36.45,35.05,36.45,36.25,35.86,481198,1725561545000.0,3097,347945,0.7231000000000001
06-January-2014,MAHABANK,EQ,36.25,36.5,36.7,35.9,36.1,36.15,36.12,181528,655659335000.0,858,102739,0.5660000000000001
07-January-2014,MAHABANK,EQ,36.15,36.05,36.3,35.6,35.7,35.7,35.88,201755,723942255000.0,1037,147823,0.7327
08-January-2014,MAHABANK,EQ,35.7,35.95,36.2,35.6,35.85,35.9,35.88,323447,1160508345000.0,1403,162280,0.5017
09-January-2014,MAHABANK,EQ,35.9,36.2,36.4,35.7,35.95,36.0,36.17,295629,1069230765000.0,1518,174445,0.5901
10-January-2014,MAHABANK,EQ,36.0,36.0,36.15,35.7,35.75,35.75,35.91,161776,580996550000.0,869,104045,0.6431
13-January-2014,MAHABANK,EQ,35.75,36.25,36.25,35.35,35.75,35.65,35.71,125586,448426075000.0,893,84785,0.6751
14-January-2014,MAHABANK,EQ,35.65,35.65,36.05,35.55,35.8,35.65,35.78,85363,305404910000.0,570,53998,0.6325999999999999
15-January-2014,MAHABANK,EQ,35.65,35.65,35.9,35.6,35.8,35.65,35.73,162662,581180390000.0,1336,105466,0.6484000000000001
16-January-2014,MAHABANK,EQ,35.65,35.7,36.0,35.4,35.4,35.45,35.59,165384,588602935000.0,857,121732,0.7361
17-January-2014,MAHABANK,EQ,35.45,35.95,35.95,35.1,35.3,35.25,35.36,128451,454151650000.0,1024,99136,0.7718
20-January-2014,MAHABANK,EQ,35.25,35.25,35.6,35.2,35.45,35.35,35.38,87028,307895250000.0,644,49657,0.5706
21-January-2014,MAHABANK,EQ,35.35,35.7,35.75,35.35,35.6,35.6,35.59,94012,334630340000.0,609,68735,0.7311
22-January-2014,MAHABANK,EQ,35.6,35.4,35.6,35.4,35.45,35.45,35.5,74226,263490725000.0,541,40972,0.552
23-January-2014,MAHABANK,EQ,35.45,35.55,36.6,35.4,36.3,36.25,36.22,307339,1113173145000.0,1556,149639,0.4869
24-January-2014,MAHABANK,EQ,36.25,36.0,36.25,35.65,35.8,35.8,35.94,192875,693109810000.0,911,142783,0.7403000000000001
27-January-2014,MAHABANK,EQ,35.8,35.4,35.95,35.0,35.1,35.1,35.25,213119,751185145000.0,1136,141752,0.6651
28-January-2014,MAHABANK,EQ,35.1,35.1,35.6,34.95,35.15,35.05,35.16,144958,509715410000.0,1022,69848,0.4818
29-January-2014,MAHABANK,EQ,35.05,35.5,35.8,35.05,35.15,35.1,35.32,148461,524303115000.0001,1063,71803,0.4836
30-January-2014,MAHABANK,EQ,35.1,35.0,35.05,34.6,34.85,34.8,34.85,149670,521544065000.0001,970,110772,0.7401000000000001
31-January-2014,MAHABANK,EQ,34.8,35.0,35.4,34.7,34.75,34.8,34.97,301982,1056170385000.0,1460,221865,0.7347
03-February-2014,MAHABANK,EQ,34.8,34.4,34.4,33.2,33.7,33.75,33.81,282156,953981785000.0,1640,150610,0.5338
04-February-2014,MAHABANK,EQ,33.75,33.25,33.85,33.15,33.75,33.8,33.67,228509,769275905000.0,1161,158923,0.6955
05-February-2014,MAHABANK,EQ,33.8,34.8,34.8,33.65,33.75,33.8,33.79,400870,1354539170000.0,1422,338962,0.8456
06-February-2014,MAHABANK,EQ,33.8,33.25,33.25,32.65,32.75,32.7,32.77,459323,1505360855000.0,2211,340975,0.7423000000000001
07-February-2014,MAHABANK,EQ,32.7,32.95,33.2,32.65,32.9,32.7,32.76,233904,766258235000.0,945,170828,0.7303000000000001
10-February-2014,MAHABANK,EQ,32.7,32.7,32.95,32.35,32.6,32.5,32.66,172693,564056895000.0,1425,130055,0.7531
11-February-2014,MAHABANK,EQ,32.5,32.7,32.7,32.2,32.35,32.25,32.42,104368,338322145000.0,796,69544,0.6663
12-February-2014,MAHABANK,EQ,32.25,32.25,32.3,31.35,31.45,31.45,31.82,283296,901589015000.0,1683,224710,0.7931999999999999
13-February-2014,MAHABANK,EQ,31.45,31.5,31.6,30.8,31.0,30.95,31.13,182262,567333955000.0,1195,132359,0.7262000000000001
14-February-2014,MAHABANK,EQ,30.95,31.4,31.4,30.25,30.25,30.35,30.55,203512,621634685000.0,1276,154114,0.7573000000000001
17-February-2014,MAHABANK,EQ,30.35,30.35,30.6,29.4,29.5,29.5,29.76,303785,904089235000.0,1868,250160,0.8235
18-February-2014,MAHABANK,EQ,29.5,29.5,29.6,29.1,29.25,29.3,29.41,418838,1231724420000.0,2407,343027,0.8190000000000001
19-February-2014,MAHABANK,EQ,29.3,29.1,30.15,29.1,30.15,30.0,29.72,145939,433763060000.0,1170,94737,0.6492
20-February-2014,MAHABANK,EQ,30.0,30.0,30.2,29.7,29.85,29.85,29.95,133347,399428000000.0,842,94194,0.7064
