Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-January-2014,SBIN,EQ,1766.5,1772.0,1774.9,1761.25,1770.0,1765.05,1767.01,590478,104338296760000.0,26013,83547,0.1415
02-January-2014,SBIN,EQ,1765.05,1765.9,1806.0,1732.2,1736.0,1742.6,1778.15,1945190,345884700055000.0,84897,466573,0.2399
03-January-2014,SBIN,EQ,1742.6,1727.0,1736.0,1711.0,1719.0,1719.65,1721.21,1375959,236830871330000.03,58063,314028,0.2282
06-January-2014,SBIN,EQ,1719.65,1721.9,1724.0,1682.0,1685.0,1688.15,1695.02,1390783,235740271530000.03,66356,381718,0.2745
07-January-2014,SBIN,EQ,1688.15,1692.9,1702.0,1655.0,1656.2,1661.4,1670.51,1735291,289881326330000.0,79314,483821,0.2788
08-January-2014,SBIN,EQ,1661.4,1664.25,1677.95,1651.0,1653.7,1657.15,1665.48,1424879,237310844215000.0,76537,392760,0.2756
09-January-2014,SBIN,EQ,1657.15,1653.0,1662.75,1630.0,1639.05,1639.8,1641.88,1479110,242852837445000.0,85642,485208,0.328
10-January-2014,SBIN,EQ,1639.8,1639.55,1656.0,1600.0,1602.8,1608.15,1631.94,2047307,334108387315000.0,120531,708667,0.3461
13-January-2014,SBIN,EQ,1608.15,1610.15,1645.1,1610.15,1644.0,1641.25,1630.12,1556485,253726421175000.0,79530,582144,0.374
14-January-2014,SBIN,EQ,1641.25,1635.0,1649.0,1623.35,1626.0,1627.5,1637.17,1019700,166941792565000.0,47139,307832,0.3019
15-January-2014,SBIN,EQ,1627.5,1632.0,1658.0,1632.0,1638.2,1640.7,1644.84,1362498,224109055725000.0,68910,431292,0.3165
16-January-2014,SBIN,EQ,1640.7,1644.15,1651.75,1632.45,1633.05,1636.2,1640.3,724197,118789853205000.0,32903,149748,0.2068
17-January-2014,SBIN,EQ,1636.2,1634.55,1644.5,1617.0,1624.0,1621.55,1628.78,1120738,182543318000000.0,48584,353017,0.315
20-January-2014,SBIN,EQ,1621.55,1621.55,1645.9,1616.65,1645.9,1641.85,1634.04,946865,154721616850000.0,45292,266328,0.2813
21-January-2014,SBIN,EQ,1641.85,1653.9,1672.7,1646.2,1656.45,1659.5,1660.49,1235189,205102023420000.0,51119,355592,0.2879
22-January-2014,SBIN,EQ,1659.5,1654.0,1657.95,1635.25,1644.0,1646.85,1647.41,982192,161807447090000.0,42457,242111,0.2465
23-January-2014,SBIN,EQ,1646.85,1639.0,1663.0,1636.15,1659.55,1658.3,1652.52,924131,152714831140000.0,41297,159569,0.1727
24-January-2014,SBIN,EQ,1658.3,1649.0,1664.9,1618.0,1623.6,1621.2,1635.21,1661656,271715920360000.0,63182,640603,0.3855
27-January-2014,SBIN,EQ,1621.2,1597.9,1604.0,1583.05,1598.75,1594.5,1593.68,1568804,250016815025000.0,78214,596515,0.3802
28-January-2014,SBIN,EQ,1594.5,1603.05,1628.0,1578.25,1601.8,1596.3,1599.75,1829691,292704372635000.0,78638,444030,0.2427
29-January-2014,SBIN,EQ,1596.3,1613.0,1621.8,1570.0,1572.3,1573.65,1582.49,1759455,278431622585000.0,87705,542765,0.3085
30-January-2014,SBIN,EQ,1573.65,1555.0,1558.0,1510.05,1518.05,1516.6,1531.39,2095532,320907230295000.0,84121,1046631,0.4995000000000001
31-January-2014,SBIN,EQ,1516.6,1530.5,1539.0,1513.0,1526.15,1523.85,1527.37,1317495,201230763505000.0,68542,394331,0.2993
03-February-2014,SBIN,EQ,1523.85,1525.0,1529.0,1485.0,1486.95,1488.35,1502.77,1415023,212645103755000.0,81744,452241,0.3196
04-February-2014,SBIN,EQ,1488.35,1474.0,1522.0,1466.8,1519.2,1515.4,1503.41,1800204,270644430365000.0,86733,362349,0.2013
05-February-2014,SBIN,EQ,1515.4,1518.9,1529.9,1501.1,1519.0,1521.7,1518.68,1322719,200878248140000.0,61138,288200,0.2179
06-February-2014,SBIN,EQ,1521.7,1522.1,1537.9,1493.45,1502.0,1504.85,1513.93,1611630,243988719995000.0,67814,516708,0.32060000000000005
07-February-2014,SBIN,EQ,1504.85,1520.05,1534.7,1503.5,1525.15,1527.6,1520.21,1820340,276729298250000.0,67347,958962,0.5268
10-February-2014,SBIN,EQ,1527.6,1530.35,1532.85,1507.3,1508.1,1514.1,1521.94,1049464,159722441420000.0,42195,389293,0.3709000000000001
11-February-2014,SBIN,EQ,1514.1,1514.95,1527.5,1514.5,1518.05,1519.7,1520.34,711872,108229039990000.02,31334,188574,0.2649
12-February-2014,SBIN,EQ,1519.7,1527.1,1540.0,1518.05,1531.65,1532.5,1532.12,1553993,238090550875000.0,57500,803131,0.5168
13-February-2014,SBIN,EQ,1532.5,1533.0,1535.8,1496.05,1503.0,1500.55,1510.07,1325191,200112606010000.0,57036,375367,0.2833
14-February-2014,SBIN,EQ,1500.55,1502.3,1514.8,1455.1,1473.0,1475.1,1478.91,4582335,677687796420000.0,202699,1241806,0.271
17-February-2014,SBIN,EQ,1475.1,1470.0,1484.9,1463.25,1476.35,1473.6,1473.36,1660115,244595141330000.03,84315,527155,0.3175
18-February-2014,SBIN,EQ,1473.6,1477.0,1509.8,1471.1,1497.3,1500.95,1497.27,1398172,209343952120000.0,63609,325855,0.2331
19-February-2014,SBIN,EQ,1500.95,1499.9,1515.0,1498.0,1508.4,1508.05,1506.47,975385,146938711225000.0,45667,228722,0.2345
20-February-2014,SBIN,EQ,1508.05,1497.0,1501.05,1476.35,1476.35,1480.6,1486.25,1036332,154025091935000.0,65525,316362,0.3053
21-February-2014,SBIN,EQ,1480.6,1485.0,1505.0,1485.0,1496.9,1502.1,1498.27,943005,141287401415000.0,46866,231976,0.246
24-February-2014,SBIN,EQ,1502.1,1500.75,1517.4,1489.2,1510.0,1510.5,1505.82,1029595,155038777210000.0,47353,198801,0.1931
25-February-2014,SBIN,EQ,1510.5,1517.0,1521.0,1499.1,1504.8,1506.0,1509.06,944549,142538027460000.0,44666,218703,0.2315
26-February-2014,SBIN,EQ,1506.0,1510.0,1534.8,1505.3,1521.8,1520.4,1522.23,3176961,483607775310000.06,98584,1812874,0.5706
28-February-2014,SBIN,EQ,1520.4,1529.2,1539.4,1518.0,1532.0,1533.25,1530.27,1310941,200608927015000.0,52493,499987,0.3814
03-March-2014,SBIN,EQ,1533.25,1530.0,1558.6,1515.1,1516.0,1518.35,1535.1,1617931,248368190390000.0,65669,456916,0.2824
04-March-2014,SBIN,EQ,1518.35,1518.0,1554.85,1515.0,1551.25,1550.35,1534.73,1724946,264733244845000.0,62685,604223,0.3503
05-March-2014,SBIN,EQ,1550.35,1560.0,1582.0,1540.0,1572.0,1576.6,1566.25,2500103,391578303910000.0,79884,948953,0.3796
06-March-2014,SBIN,EQ,1576.6,1583.5,1583.5,1562.0,1575.0,1577.4,1576.39,2260431,356331021350000.0,68935,881929,0.3902000000000001
07-March-2014,SBIN,EQ,1577.4,1584.0,1664.45,1582.3,1647.0,1649.65,1639.02,5152557,844516104180000.0,163599,2424500,0.4705
10-March-2014,SBIN,EQ,1649.65,1644.0,1711.0,1640.0,1693.8,1692.15,1687.13,4418064,745386310655000.0,152704,2003834,0.4536
11-March-2014,SBIN,EQ,1692.15,1690.0,1722.1,1666.05,1680.0,1674.8,1693.49,2562523,433960593560000.06,97164,967465,0.3775
12-March-2014,SBIN,EQ,1674.8,1659.3,1674.0,1637.5,1644.1,1645.1,1652.55,1720671,284349842320000.0,63865,607740,0.3532
13-March-2014,SBIN,EQ,1645.1,1650.0,1696.0,1642.9,1657.0,1652.1,1674.12,2930649,490624620920000.0,87859,1465121,0.4999
14-March-2014,SBIN,EQ,1652.1,1636.0,1668.8,1634.0,1659.05,1654.15,1647.36,1704372,280772067510000.0,66216,618309,0.3628
18-March-2014,SBIN,EQ,1654.15,1655.0,1709.0,1655.0,1701.0,1701.3,1695.42,2919358,494953608640000.0,127182,1500275,0.5139
19-March-2014,SBIN,EQ,1701.3,1710.0,1719.5,1696.55,1703.9,1708.85,1709.06,1779849,304186016355000.0,72819,753190,0.4232
20-March-2014,SBIN,EQ,1708.85,1706.0,1706.0,1672.5,1680.0,1677.95,1685.63,1405262,236874495580000.03,65876,676806,0.4816
21-March-2014,SBIN,EQ,1677.95,1698.0,1711.8,1689.0,1701.4,1702.15,1702.27,1690293,287733705040000.0,71389,782794,0.4631
22-March-2014,SBIN,EQ,1702.15,1703.4,1708.0,1697.5,1708.0,1703.5,1702.38,88411,15050869505000.002,4016,27011,0.3055
24-March-2014,SBIN,EQ,1703.5,1710.95,1739.9,1710.95,1728.0,1725.6,1730.49,1649477,285441058040000.0,65839,739715,0.4485
25-March-2014,SBIN,EQ,1725.6,1732.8,1747.7,1728.1,1741.0,1743.4,1739.79,1678965,292104373120000.0,60337,793605,0.4727000000000001
26-March-2014,SBIN,EQ,1743.4,1754.15,1774.0,1741.55,1770.05,1767.5,1759.17,2027938,356748771455000.0,89189,1101246,0.5429999999999999
27-March-2014,SBIN,EQ,1767.5,1780.0,1853.8,1780.0,1843.0,1837.0,1827.16,4858515,887726866579999.9,173775,2351793,0.4841
28-March-2014,SBIN,EQ,1837.0,1856.5,1915.95,1856.5,1908.6,1901.95,1892.51,3329874,630181244650000.0,114225,1548276,0.465
31-March-2014,SBIN,EQ,1901.95,1915.0,1938.8,1885.2,1916.1,1917.7,1916.81,2592447,496922008035000.06,113911,1055314,0.4071
01-April-2014,SBIN,EQ,1917.7,1928.0,1933.55,1867.5,1896.0,1893.65,1898.49,2227216,422834319245000.0,106736,522914,0.2348
02-April-2014,SBIN,EQ,1893.65,1920.0,1940.0,1887.8,1938.3,1934.9,1910.69,1920273,366903846620000.0,80445,605988,0.3156
03-April-2014,SBIN,EQ,1934.9,1934.0,1938.0,1883.6,1894.0,1896.2,1899.4,2042547,387960601315000.0,91122,813448,0.3983
04-April-2014,SBIN,EQ,1896.2,1899.0,1912.3,1870.15,1909.7,1902.8,1897.15,2080050,394616191540000.0,92647,890610,0.4282
07-April-2014,SBIN,EQ,1902.8,1909.7,1925.7,1898.4,1923.1,1922.4,1914.87,2263030,433341243590000.0,109781,1111940,0.4914
09-April-2014,SBIN,EQ,1922.4,1930.05,1992.0,1930.05,1992.0,1985.0,1962.6,2663173,522675237090000.0,125107,1308099,0.4912
10-April-2014,SBIN,EQ,1985.0,1995.0,2040.0,1990.2,2024.5,2028.05,2024.04,2879654,582854440760000.0,105251,1269700,0.4409000000000001
11-April-2014,SBIN,EQ,2028.05,2015.0,2029.7,1984.4,1986.35,1994.15,2006.96,2089556,419366413225000.0,77039,883379,0.4228
15-April-2014,SBIN,EQ,1994.15,1995.0,2004.75,1947.65,1959.0,1964.05,1973.5,1686352,332801749280000.0,77612,506971,0.3006
16-April-2014,SBIN,EQ,1964.05,1966.0,1994.65,1950.1,1961.0,1959.4,1972.14,1937626,382127408915000.0,105144,775954,0.4005
17-April-2014,SBIN,EQ,1959.4,1967.15,2022.0,1962.75,2015.0,2017.3,1999.03,2151380,430067801560000.06,96036,784138,0.3645000000000001
21-April-2014,SBIN,EQ,2017.3,2022.0,2078.8,2022.0,2074.5,2072.1,2055.45,1887242,387913598810000.0,72975,723459,0.3833
22-April-2014,SBIN,EQ,2072.1,2074.0,2077.0,2040.2,2051.0,2048.55,2057.17,1836410,377781181435000.0,77061,939788,0.5118
