Symbol,Date,Expiry,Strike Price,Put Price,Call Price,Close,Volatility
NIFTY,22-Jan-2014,29-Jun-2017,7700,425.05,2558.6,6338.95,0.453391495257202
NIFTY,14-Jan-2014,30-Jun-2016,4000,99,2612.45,6241.85,0.205148557898305
NIFTY,12-Mar-2014,28-Dec-2017,4200,0.85,3122.55,6516.9,0.91650240024065
NIFTY,05-Feb-2014,28-Dec-2017,6300,55.1,2868.9,6022.4,
NIFTY,30-Jan-2014,30-Jan-2014,5500,0.05,1583.25,6073.7,
NIFTY,10-Jan-2014,24-Dec-2014,3800,5.95,1356.75,6171.45,
NIFTY,09-Jan-2014,24-Dec-2014,2700,20,250,6168.35,0.534085159170837
NIFTY,14-Jan-2014,29-Dec-2016,3600,173.3,1443.85,6241.85,0.357775490488321
NIFTY,21-Jan-2014,25-Sep-2014,7000,1041.35,1193.85,6313.8,1.01791424515756
NIFTY,01-Jan-2014,25-Jun-2015,4300,237,1635.5,6301.65,0.2198887752228
NIFTY,22-Jan-2014,25-Sep-2014,7700,1487.1,502.85,6338.95,0.115496001066145
NIFTY,10-Jan-2014,28-Dec-2017,6400,62.65,2130,6171.45,0.537744380214953
NIFTY,17-Feb-2014,27-Mar-2014,4800,3.05,1587.5,6073.3,0.222132906424959
NIFTY,10-Mar-2014,27-Dec-2018,7600,360.35,1860.05,6537.25,0.139862404018665
NIFTY,28-Jan-2014,28-Jun-2018,6500,406.85,1934.65,6126.25,0.157490783172955
NIFTY,28-Jan-2014,27-Dec-2018,4900,33.95,2375.95,6126.25,
NIFTY,20-Mar-2014,31-Dec-2015,4200,266,3558.65,6483.1,
NIFTY,11-Mar-2014,31-Dec-2015,3800,6.75,255.6,6511.9,
NIFTY,06-Feb-2014,29-Jun-2017,5900,194.95,2166.25,6036.3,0.505714084423726
NIFTY,14-Jan-2014,24-Dec-2014,3900,48,610.15,6241.85,0.303788892526839
NIFTY,04-Mar-2014,24-Dec-2014,4400,392.95,3110.6,6297.95,
NIFTY,14-Jan-2014,27-Dec-2018,7300,300.05,1860.05,6241.85,1.00381341229984
NIFTY,13-Feb-2014,26-Jun-2014,6200,295.55,3070,6001.1,0.351750224813916
NIFTY,07-Mar-2014,28-Dec-2017,5600,19.45,2189.45,6526.65,
NIFTY,03-Mar-2014,27-Mar-2014,4600,0.4,1961.05,6221.45,0.622356734782178
NIFTY,10-Feb-2014,24-Dec-2014,7400,437.85,1241.9,6053.45,0.489016489350907
NIFTY,06-Feb-2014,25-Jun-2015,6400,315.35,920,6036.3,-0.123079641094673
NIFTY,08-Jan-2014,25-Jun-2015,5500,610,920,6174.6,0.385177045297008
NIFTY,25-Feb-2014,24-Apr-2014,5500,9.3,9.7,6200.05,0.351286347870744
NIFTY,24-Feb-2014,27-Mar-2014,7100,680,866.7,6186.1,0.221059410132504
NIFTY,14-Jan-2014,27-Dec-2018,4000,8.5,2375.95,6241.85,
NIFTY,07-Jan-2014,27-Mar-2014,5450,8.3,48,6162.25,0.335784959002622
NIFTY,20-Jan-2014,29-Dec-2016,6900,573.05,2323.55,6303.95,0.460961648099354
NIFTY,17-Feb-2014,25-Sep-2014,7300,1224.45,135,6073.3,
NIFTY,13-Jan-2014,26-Feb-2014,5500,6.05,11.6,6272.75,0.309668900564089
NIFTY,21-Feb-2014,26-Jun-2014,7000,811.5,3043.45,6155.45,
NIFTY,31-Jan-2014,24-Apr-2014,7300,1077.4,230.35,6089.5,
